"Cell iname"	"Cell lineage"	"Primary disease"	"Collection"	"Cell type"	"Growth medium"	"Growth pattern"	"Doubling time"	"Provider name"	"Provider catalog ID"	"Donor disease age of onset"	"Donor tumor phase"	"Donor age of death"	"Subtype"	"Donor age"	"Donor ethnicity"	"Metastatic site"	"Comments"	"Cell histology"	"CCLE name"	"Alias"	"Donor sex"	"Cellosaurus ID"	"Cellosaurus Doubling time sd"	"Cellosaurus Doubling time"	"ploidy"
"JHOS2"	"ovary"	"ovarian cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM/F12 (Hyclone Cat.# SH323.1)"	"adherent"	"72.00"	"RIKEN"	"-666"	-666	"primary"	-666	"adenocarcinoma"	"-666"	"-666"	"-666"	NA	"carcinoma"	"JHOS2_OVARY"	"JHOS2"	"F"	"CVCL_4647"	NA	61	2.758190473
"JHOS4"	"ovary"	"ovarian cancer"	"ACHILLES, CCLE"	"-666"	"DMEM/F12 (Hyclone Cat.# SH323.1)"	"adherent"	"70.00"	"RIKEN"	"-666"	-666	"primary"	-666	"carcinoma"	"-666"	"-666"	"-666"	NA	"-666"	"JHOS4_OVARY"	"JHOS4"	"F"	"CVCL_4649"	NA	70	3.934260258
"JHUEM1"	"endometrium"	"endometrial cancer"	"ACHILLES, CCLE"	"-666"	"DMEM/F12 (Hyclone Cat.# SH323.1)"	"adherent"	">120"	"RIKEN"	"-666"	-666	"primary"	-666	"carcinoma"	"-666"	"-666"	"-666"	NA	"carcinoma"	"JHUEM1_ENDOMETRIUM"	"JHUEM1"	"F"	"CVCL_4655"	NA	NA	NA
"JHUEM2"	"endometrium"	"endometrial cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM/F12 (Hyclone Cat.# SH323.1)"	"adherent"	"48.00"	"RIKEN"	"-666"	-666	"primary"	-666	"carcinoma"	"-666"	"-666"	"-666"	NA	"carcinoma"	"JHUEM2_ENDOMETRIUM"	"JHUEM2"	"F"	"CVCL_4656"	NA	NA	NA
"JHUEM3"	"endometrium"	"endometrial cancer"	"CCLE"	"-666"	"DMEM:F12 + 1% FBS"	"adherent"	">120"	"RIKEN"	"-666"	-666	"-666"	-666	"adenocarcinoma"	"-666"	"-666"	"-666"	NA	"carcinoma"	"JHUEM3_ENDOMETRIUM"	"JHUEM3"	"F"	"CVCL_4657"	NA	NA	NA
"JHUEM7"	"endometrium"	"endometrial cancer"	"CCLE, PRISM-PR300"	"-666"	"DMEM/F12 (Hyclone Cat.# SH323.1)"	"adherent"	">120"	"RIKEN"	"-666"	-666	"-666"	-666	"adenocarcinoma"	"-666"	"-666"	"-666"	NA	"carcinoma"	"JHUEM7_ENDOMETRIUM"	"JHUEM7"	"F"	"CVCL_4658"	NA	NA	NA
"JIMT1"	"breast"	"breast cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"30-40"	"DSMZ"	"-666"	-666	"metastatic"	-666	"carcinoma"	"62"	"unknown"	"effusion, pleura, pleural"	NA	"carcinoma"	"JIMT1_BREAST"	"JIMT, JIMT1"	"F"	"CVCL_2077"	NA	35	2.510993088
"JJN3"	"haematopoietic_and_lymphoid_tissue"	"myeloma"	"ACHILLES, CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"4%DMEM+ 4%IMDM +2%FBS"	"suspension"	"20-35"	"DSMZ"	"-666"	-666	"primary"	-666	"myeloma"	"-666"	"unknown"	"-666"	NA	"-666"	"JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"JJN3"	"F"	"CVCL_2078"	2.47487373415292	25.75	2.664536258
"JK1"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"50.00"	"DSMZ"	"-666"	-666	"-666"	-666	"chronic myelogenous leukemia (cml)"	"-666"	"-666"	"-666"	NA	"-666"	"JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"JK1"	"M"	"CVCL_2079"	1.4142135623731	49	NA
"JL1"	"lung"	"lung cancer"	"CCLE, PRISM-HURON, PRISM-PR300"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"70-80"	"DSMZ"	"-666"	-666	"metastatic"	-666	"mesothelioma"	"54"	"unknown"	"pleural_effusion"	NA	"mesothelioma"	"JL1_PLEURA"	"JL1"	"M"	"CVCL_2080"	19.7989898732233	61	NA
"JMSU1"	"urinary_tract"	"bladder cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	"30.00"	"DSMZ"	"-666"	-666	"metastatic"	-666	"carcinoma"	"-666"	"-666"	"-666"	NA	"carcinoma"	"JMSU1_URINARY_TRACT"	"JMSU1"	"M"	"CVCL_2081"	1.4142135623731	31	NA
"JM1"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"IMDM ATCC catalog #3-25"	"suspension"	"-666.00"	"ATCC"	"CRL-10423"	-666	"-666"	-666	"acute lymphoblastic leukemia (all)"	"-666"	"-666"	"-666"	NA	"-666"	"JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"JM1"	"M"	"CVCL_3532"	NA	NA	2.272725065
"JR"	"soft_tissue"	"soft tissue cancer"	"ACHILLES"	"-666"	"-666"	"adherent"	"29.00"	"-666"	"-666"	-666	"-666"	-666	"rhabdomyosarcoma"	"-666"	"-666"	"-666"	NA	"-666"	"JR_SOFT_TISSUE"	"-666"	"-666"	"-666"	NA	NA	NA
"JURKAT"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"25-35"	"DSMZ"	"-666"	-666	"-666"	-666	"acute lymphoblastic leukemia (all)"	"-666"	"-666"	"-666"	NA	"lymphoid_neoplasm"	"JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"FCCH1024, FHCRC subclone 11, FHCRC-11, JM, JM-Jurkat, JURKAT, Jurkat FHCRC, Jurkat-FHCRC"	"M"	"CVCL_0065"	2.82842712474619	28	1.939631396
