gene,gene_symbol,contrast_id,t_statistic,p_value,fdr,resolution_rank,retained_for_gsea,model_id
GRCh38-DYM,DYM,primary_adjacent_state,0.11287022200659433,0.910234885407139,0.9448644517890056,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Dync1h1,Dync1h1,primary_adjacent_state,1.8967070527841874,0.05915773453497419,0.13984143835067622,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNC1H1,DYNC1H1,primary_adjacent_state,-0.2512470572664656,0.8018542415291477,0.8730067953097994,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNC1I1,DYNC1I1,primary_adjacent_state,1.1880242048530372,0.23619571425011157,0.3764605118230865,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Dync1i2,Dync1i2,primary_adjacent_state,1.275039170559766,0.20362088267948233,0.338857340979145,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNC1I2,DYNC1I2,primary_adjacent_state,0.9922636134766487,0.32214333330122646,0.4689465213276662,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Dync1li1,Dync1li1,primary_adjacent_state,0.22512581977356005,0.822087356194589,0.8875749097095497,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNC1LI1,DYNC1LI1,primary_adjacent_state,-2.278567325824684,0.023638685998608362,0.07311116573628236,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Dync1li2,Dync1li2,primary_adjacent_state,2.572913768092473,0.01073260859017021,0.04258300493838514,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNC1LI2,DYNC1LI2,primary_adjacent_state,-0.8703689167134294,0.38503384479340386,0.5315996209239463,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Dync2h1,Dync2h1,primary_adjacent_state,3.6986932137225774,2.728796537821737e-4,0.004623447771932061,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNC2H1,DYNC2H1,primary_adjacent_state,-1.2034037585167408,0.23009481995736675,0.36936240122145536,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNC2I1,DYNC2I1,primary_adjacent_state,0.49335618501705325,0.6222459615808185,0.741844009161933,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNC2I2,DYNC2I2,primary_adjacent_state,-4.193223511706874,3.966559269750314e-5,0.0018383509512470166,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNC2LI1,DYNC2LI1,primary_adjacent_state,0.13768055487013084,0.8906169993691573,0.932262933613998,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Dynll1,Dynll1,primary_adjacent_state,-0.048688637944380934,0.9612109662704027,0.9754436339113189,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNLL1,DYNLL1,primary_adjacent_state,-0.23205728760227132,0.8167061241716725,0.8837794935194041,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Dynll2,Dynll2,primary_adjacent_state,1.5932024733158865,0.11252977981514792,0.22208026556217728,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNLL2,DYNLL2,primary_adjacent_state,0.5935966218559633,0.5533829573250315,0.684615531343766,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Dynlrb1,Dynlrb1,primary_adjacent_state,0.8044852563986079,0.4219727578994673,0.5673777826112689,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNLRB1,DYNLRB1,primary_adjacent_state,-1.2238387853903192,0.22230326953994115,0.3608809587805443,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNLRB2,DYNLRB2,primary_adjacent_state,1.926639136585494,0.05529433735980015,0.13293622818953782,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNLRB2-AS1,DYNLRB2-AS1,primary_adjacent_state,1.9179786787730084,0.056391440245497,0.13495682538521012,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNLT1,DYNLT1,primary_adjacent_state,-3.147625211027982,0.001870610311707323,0.013696282392931273,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNLT2,DYNLT2,primary_adjacent_state,1.9416604173706382,0.05343670113440441,0.12977548662433824,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Dynlt2b,Dynlt2b,primary_adjacent_state,1.073199297059474,0.28434051722226605,0.42958914793916386,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNLT2B,DYNLT2B,primary_adjacent_state,-0.861229053928301,0.39003606030055127,0.536227738556474,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Dynlt3,Dynlt3,primary_adjacent_state,3.2582940927269615,0.0012957077654487843,0.010963856053923271,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNLT3,DYNLT3,primary_adjacent_state,-2.2015972746350005,0.02871788531047515,0.0836855092140617,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYNLT4,DYNLT4,primary_adjacent_state,2.1973413780946616,0.029024452605674683,0.08426472779174093,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Dyrk1a,Dyrk1a,primary_adjacent_state,-0.14447997888566544,0.8852518257930402,0.9290292043234789,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYRK1A,DYRK1A,primary_adjacent_state,0.07160251088969245,0.9429823536144872,0.9648956716634164,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYRK1B,DYRK1B,primary_adjacent_state,2.111571358089108,0.03583528891656226,0.09760130201005875,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYRK2,DYRK2,primary_adjacent_state,1.0042479480348587,0.31634649028844947,0.46312107374990474,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYRK3,DYRK3,primary_adjacent_state,0.9867410142855444,0.3248379663837152,0.47163472207579377,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYRK3-AS1,DYRK3-AS1,primary_adjacent_state,1.718392556694548,0.08713520432710474,0.18408449361319537,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYRK4,DYRK4,primary_adjacent_state,-1.8975866388950622,0.05904106872113807,0.13965785490518623,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DYSF,DYSF,primary_adjacent_state,1.1496783962180774,0.2515401057133746,0.3934795249847055,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DZANK1,DZANK1,primary_adjacent_state,-1.1796292282553242,0.23940339213313905,0.3800650404695712,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DZIP1,DZIP1,primary_adjacent_state,-0.9472702625475253,0.34452541677455506,0.49124613576044407,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DZIP1L,DZIP1L,primary_adjacent_state,-0.5949981873661024,0.5524473572672752,0.683926139323865,1,TRUE,ETP_reference_balanced_threshold_2_24
