gene,gene_symbol,contrast_id,fitted_log_expr_difference,average_expression,t_statistic,p_value,fdr,B,model_id
GRCm39-Abcf3,Abcf3,primary_adjacent_state,0.41488392569221183,0.11323276521925557,2.644680483806354,0.008757512455568196,0.03715517501420892,-2.802408129993274,ETP_reference_balanced_threshold_2_24
GRCh38-EVC,EVC,primary_adjacent_state,-0.31174116896549614,4.283561610464789,-2.644667121572325,0.00875784753621041,0.03715517501420892,-3.1959080187501545,ETP_reference_balanced_threshold_2_24
GRCm39-Mtmr3,Mtmr3,primary_adjacent_state,0.41921887910889616,1.3380093452481308,2.6446264266225032,0.00875886810202878,0.03715517501420892,-2.8904611598985364,ETP_reference_balanced_threshold_2_24
GRCh38-MTHFD1,MTHFD1,primary_adjacent_state,-0.20930210410482622,5.726777415647874,-2.6445073061977173,0.00876185607127655,0.03716239936844998,-3.3866522722142482,ETP_reference_balanced_threshold_2_24
GRCh38-TP63,TP63,primary_adjacent_state,0.3466479799109031,7.206879221663211,2.64663597186749,0.008766451426351718,0.037174192467723674,-3.5676010361868427,ETP_reference_balanced_threshold_2_24
GRCm39-Dclre1c,Dclre1c,primary_adjacent_state,0.4679625104986397,0.7754485985152674,2.644286649584234,0.008767393356275122,0.037174192467723674,-2.8440903374173767,ETP_reference_balanced_threshold_2_24
GRCh38-ATP5F1E,ATP5F1E,primary_adjacent_state,-0.12464593581223515,9.565789092906426,-2.6442058533810546,0.008769421690259028,0.037174192467723674,-3.8303453730005286,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000287413,ENSG00000287413,primary_adjacent_state,0.5189755148343235,0.048532744095157204,2.6441916676123562,0.008769777857937856,0.037174192467723674,-2.805189203476904,ETP_reference_balanced_threshold_2_24
GRCm39-Pom121,Pom121,primary_adjacent_state,0.46708630131647233,0.3025984783981361,2.643965433530171,0.00877545976489203,0.0371919165286202,-2.8103825741980044,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000254248,ENSG00000254248,primary_adjacent_state,0.41309326045449285,0.008415648878466596,2.6438702403240506,0.008777851547900275,0.0371919165286202,-2.799715243939445,ETP_reference_balanced_threshold_2_24
GRCh38-PLEKHG6,PLEKHG6,primary_adjacent_state,0.46095729278395364,0.26062755351714906,2.6438085585983764,0.00877940164911709,0.0371919165286202,-2.809571004640151,ETP_reference_balanced_threshold_2_24
