direction	metric	cancer_type	category_label	pvalue
low_ploidy_sensitive	Z_SCORE	PAAD	Proapoptotic agents	0.79
low_ploidy_sensitive	Z_SCORE	PAAD	WNT/HH pathway inhibitors	0.296666666666667
low_ploidy_sensitive	Z_SCORE	PAAD	Chemotherapy agents	0.666666666666667
low_ploidy_sensitive	Z_SCORE	PAAD	Chaperone/protein-homeostasis inhibitors	0.516666666666667
low_ploidy_sensitive	Z_SCORE	PAAD	p53/MDM2 pathway	0.54
low_ploidy_sensitive	Z_SCORE	PAAD	Hormone therapy	0.776666666666667
low_ploidy_sensitive	Z_SCORE	BRCA	Kinase inhibitors	1
low_ploidy_sensitive	Z_SCORE	BRCA	Epigenetic inhibitors	0.59
low_ploidy_sensitive	Z_SCORE	BRCA	Other	0.193333333333333
low_ploidy_sensitive	Z_SCORE	BRCA	DNA damage repair inhibitors	0.03
low_ploidy_sensitive	Z_SCORE	BRCA	Metabolic/redox agents	0.86
low_ploidy_sensitive	Z_SCORE	BRCA	Proapoptotic agents	0.23
low_ploidy_sensitive	Z_SCORE	BRCA	WNT/HH pathway inhibitors	0.956666666666667
low_ploidy_sensitive	Z_SCORE	BRCA	Chemotherapy agents	0
low_ploidy_sensitive	Z_SCORE	BRCA	Chaperone/protein-homeostasis inhibitors	0.916666666666667
low_ploidy_sensitive	Z_SCORE	BRCA	p53/MDM2 pathway	0.263333333333333
low_ploidy_sensitive	Z_SCORE	BRCA	Hormone therapy	0.01
low_ploidy_sensitive	Z_SCORE	HNSC	Kinase inhibitors	1
low_ploidy_sensitive	Z_SCORE	HNSC	Epigenetic inhibitors	0.913333333333333
low_ploidy_sensitive	Z_SCORE	HNSC	Other	0.0566666666666667
low_ploidy_sensitive	Z_SCORE	HNSC	DNA damage repair inhibitors	0.696666666666667
low_ploidy_sensitive	Z_SCORE	HNSC	Metabolic/redox agents	0.0866666666666667
low_ploidy_sensitive	Z_SCORE	HNSC	Proapoptotic agents	0.41
low_ploidy_sensitive	Z_SCORE	HNSC	WNT/HH pathway inhibitors	0.583333333333333
low_ploidy_sensitive	Z_SCORE	HNSC	Chemotherapy agents	0
low_ploidy_sensitive	Z_SCORE	HNSC	Chaperone/protein-homeostasis inhibitors	0.786666666666667
low_ploidy_sensitive	Z_SCORE	HNSC	p53/MDM2 pathway	0.586666666666667
low_ploidy_sensitive	Z_SCORE	HNSC	Hormone therapy	0.49
low_ploidy_sensitive	Z_SCORE	NB	Kinase inhibitors	0.343333333333333
low_ploidy_sensitive	Z_SCORE	NB	Epigenetic inhibitors	0.233333333333333
low_ploidy_sensitive	Z_SCORE	NB	Other	0.88
low_ploidy_sensitive	Z_SCORE	NB	DNA damage repair inhibitors	0.86
low_ploidy_sensitive	Z_SCORE	NB	Metabolic/redox agents	0.883333333333333
low_ploidy_sensitive	Z_SCORE	NB	Proapoptotic agents	0.04
low_ploidy_sensitive	Z_SCORE	NB	WNT/HH pathway inhibitors	0.246666666666667
low_ploidy_sensitive	Z_SCORE	NB	Chemotherapy agents	0.453333333333333
low_ploidy_sensitive	Z_SCORE	NB	Chaperone/protein-homeostasis inhibitors	0.686666666666667
low_ploidy_sensitive	Z_SCORE	NB	p53/MDM2 pathway	0.606666666666667
low_ploidy_sensitive	Z_SCORE	NB	Hormone therapy	0.873333333333333
low_ploidy_sensitive	Z_SCORE	COREAD	Kinase inhibitors	1
low_ploidy_sensitive	Z_SCORE	COREAD	Epigenetic inhibitors	0.233333333333333
low_ploidy_sensitive	Z_SCORE	COREAD	Other	0.18
low_ploidy_sensitive	Z_SCORE	COREAD	DNA damage repair inhibitors	0.126666666666667
low_ploidy_sensitive	Z_SCORE	COREAD	Metabolic/redox agents	0.366666666666667
low_ploidy_sensitive	Z_SCORE	COREAD	Proapoptotic agents	0.94
low_ploidy_sensitive	Z_SCORE	COREAD	WNT/HH pathway inhibitors	0.346666666666667
low_ploidy_sensitive	Z_SCORE	COREAD	Chemotherapy agents	0
low_ploidy_sensitive	Z_SCORE	COREAD	Chaperone/protein-homeostasis inhibitors	0.246666666666667
low_ploidy_sensitive	Z_SCORE	COREAD	p53/MDM2 pathway	0.133333333333333
low_ploidy_sensitive	Z_SCORE	COREAD	Hormone therapy	0.663333333333333
low_ploidy_sensitive	Z_SCORE	LIHC	Kinase inhibitors	0.0133333333333333
low_ploidy_sensitive	Z_SCORE	LIHC	Epigenetic inhibitors	0.876666666666667
low_ploidy_sensitive	Z_SCORE	LIHC	Other	0.21
low_ploidy_sensitive	Z_SCORE	LIHC	DNA damage repair inhibitors	0.583333333333333
low_ploidy_sensitive	Z_SCORE	LIHC	Metabolic/redox agents	0.146666666666667
low_ploidy_sensitive	Z_SCORE	LIHC	Proapoptotic agents	0.833333333333333
low_ploidy_sensitive	Z_SCORE	LIHC	WNT/HH pathway inhibitors	0.29
low_ploidy_sensitive	Z_SCORE	LIHC	Chemotherapy agents	0.11
low_ploidy_sensitive	Z_SCORE	LIHC	Chaperone/protein-homeostasis inhibitors	0.323333333333333
low_ploidy_sensitive	Z_SCORE	LIHC	p53/MDM2 pathway	0.886666666666667
low_ploidy_sensitive	Z_SCORE	LIHC	Hormone therapy	0.223333333333333
low_ploidy_sensitive	Z_SCORE	LAML	Kinase inhibitors	0.00333333333333333
low_ploidy_sensitive	Z_SCORE	LAML	Epigenetic inhibitors	0.00666666666666667
low_ploidy_sensitive	Z_SCORE	LAML	Other	0.973333333333333
low_ploidy_sensitive	Z_SCORE	LAML	DNA damage repair inhibitors	0.93
low_ploidy_sensitive	Z_SCORE	LAML	Metabolic/redox agents	0.316666666666667
low_ploidy_sensitive	Z_SCORE	LAML	Proapoptotic agents	0.0533333333333333
low_ploidy_sensitive	Z_SCORE	LAML	WNT/HH pathway inhibitors	0.736666666666667
low_ploidy_sensitive	Z_SCORE	LAML	Chemotherapy agents	0.94
low_ploidy_sensitive	Z_SCORE	LAML	Chaperone/protein-homeostasis inhibitors	0.836666666666667
low_ploidy_sensitive	Z_SCORE	LAML	p53/MDM2 pathway	0.593333333333333
low_ploidy_sensitive	Z_SCORE	LAML	Hormone therapy	0.06
low_ploidy_sensitive	Z_SCORE	SCLC	Kinase inhibitors	0
low_ploidy_sensitive	Z_SCORE	SCLC	Epigenetic inhibitors	0.596666666666667
low_ploidy_sensitive	Z_SCORE	SCLC	Other	0.876666666666667
low_ploidy_sensitive	Z_SCORE	SCLC	DNA damage repair inhibitors	0.986666666666667
low_ploidy_sensitive	Z_SCORE	SCLC	Metabolic/redox agents	0.436666666666667
low_ploidy_sensitive	Z_SCORE	SCLC	Proapoptotic agents	0.106666666666667
low_ploidy_sensitive	Z_SCORE	SCLC	WNT/HH pathway inhibitors	0.416666666666667
low_ploidy_sensitive	Z_SCORE	SCLC	Chemotherapy agents	0.896666666666667
low_ploidy_sensitive	Z_SCORE	SCLC	Chaperone/protein-homeostasis inhibitors	0.0933333333333333
low_ploidy_sensitive	Z_SCORE	SCLC	p53/MDM2 pathway	0.256666666666667
low_ploidy_sensitive	Z_SCORE	SCLC	Hormone therapy	0.173333333333333
low_ploidy_sensitive	Z_SCORE	ESCA	Kinase inhibitors	0.363333333333333
low_ploidy_sensitive	Z_SCORE	ESCA	Epigenetic inhibitors	0.45
low_ploidy_sensitive	Z_SCORE	ESCA	Other	0.833333333333333
low_ploidy_sensitive	Z_SCORE	ESCA	DNA damage repair inhibitors	0.243333333333333
low_ploidy_sensitive	Z_SCORE	ESCA	Metabolic/redox agents	0.08
low_ploidy_sensitive	Z_SCORE	ESCA	Proapoptotic agents	0.623333333333333
low_ploidy_sensitive	Z_SCORE	ESCA	WNT/HH pathway inhibitors	0.623333333333333
low_ploidy_sensitive	Z_SCORE	ESCA	Chemotherapy agents	0.96
low_ploidy_sensitive	Z_SCORE	ESCA	Chaperone/protein-homeostasis inhibitors	0.17
low_ploidy_sensitive	Z_SCORE	ESCA	p53/MDM2 pathway	0.54
low_ploidy_sensitive	Z_SCORE	ESCA	Hormone therapy	0.663333333333333
low_ploidy_sensitive	Z_SCORE	OV	Kinase inhibitors	0.993333333333333
low_ploidy_sensitive	Z_SCORE	OV	Epigenetic inhibitors	0.0366666666666667
low_ploidy_sensitive	Z_SCORE	OV	Other	0
low_ploidy_sensitive	Z_SCORE	OV	DNA damage repair inhibitors	0.96
low_ploidy_sensitive	Z_SCORE	OV	Metabolic/redox agents	0.0466666666666667
low_ploidy_sensitive	Z_SCORE	OV	Proapoptotic agents	0.09
low_ploidy_sensitive	Z_SCORE	OV	WNT/HH pathway inhibitors	0.92
low_ploidy_sensitive	Z_SCORE	OV	Chemotherapy agents	0.203333333333333
low_ploidy_sensitive	Z_SCORE	OV	Chaperone/protein-homeostasis inhibitors	0.44
low_ploidy_sensitive	Z_SCORE	OV	p53/MDM2 pathway	0.913333333333333
low_ploidy_sensitive	Z_SCORE	OV	Hormone therapy	0.916666666666667
low_ploidy_sensitive	Z_SCORE	LUSC	Kinase inhibitors	0.136666666666667
low_ploidy_sensitive	Z_SCORE	LUSC	Epigenetic inhibitors	0.726666666666667
low_ploidy_sensitive	Z_SCORE	LUSC	Other	0.406666666666667
low_ploidy_sensitive	Z_SCORE	LUSC	DNA damage repair inhibitors	0.986666666666667
low_ploidy_sensitive	Z_SCORE	LUSC	Metabolic/redox agents	0.143333333333333
low_ploidy_sensitive	Z_SCORE	LUSC	Proapoptotic agents	0
low_ploidy_sensitive	Z_SCORE	LUSC	WNT/HH pathway inhibitors	0.0366666666666667
low_ploidy_sensitive	Z_SCORE	LUSC	Chemotherapy agents	0.18
low_ploidy_sensitive	Z_SCORE	LUSC	Chaperone/protein-homeostasis inhibitors	0.233333333333333
low_ploidy_sensitive	Z_SCORE	LUSC	p53/MDM2 pathway	0.703333333333333
low_ploidy_sensitive	Z_SCORE	LUSC	Hormone therapy	0.0766666666666667
low_ploidy_sensitive	Z_SCORE	LGG	Kinase inhibitors	0.03
low_ploidy_sensitive	Z_SCORE	LGG	Epigenetic inhibitors	0.95
low_ploidy_sensitive	Z_SCORE	LGG	Other	0.95
low_ploidy_sensitive	Z_SCORE	LGG	DNA damage repair inhibitors	0.853333333333333
low_ploidy_sensitive	Z_SCORE	LGG	Metabolic/redox agents	0.08
low_ploidy_sensitive	Z_SCORE	LGG	Proapoptotic agents	0.206666666666667
low_ploidy_sensitive	Z_SCORE	LGG	WNT/HH pathway inhibitors	0.356666666666667
low_ploidy_sensitive	Z_SCORE	LGG	Chemotherapy agents	0.713333333333333
low_ploidy_sensitive	Z_SCORE	LGG	Chaperone/protein-homeostasis inhibitors	0.366666666666667
low_ploidy_sensitive	Z_SCORE	LGG	p53/MDM2 pathway	0.59
low_ploidy_sensitive	Z_SCORE	LGG	Hormone therapy	0.93
high_ploidy_sensitive	Z_SCORE	allcancers	Kinase inhibitors	0
high_ploidy_sensitive	Z_SCORE	allcancers	Epigenetic inhibitors	0.306666666666667
high_ploidy_sensitive	Z_SCORE	allcancers	Other	0.776666666666667
high_ploidy_sensitive	Z_SCORE	allcancers	DNA damage repair inhibitors	0.986666666666667
high_ploidy_sensitive	Z_SCORE	allcancers	Metabolic/redox agents	0.2
high_ploidy_sensitive	Z_SCORE	allcancers	Proapoptotic agents	0.573333333333333
high_ploidy_sensitive	Z_SCORE	allcancers	WNT/HH pathway inhibitors	0.103333333333333
high_ploidy_sensitive	Z_SCORE	allcancers	Chemotherapy agents	0.993333333333333
high_ploidy_sensitive	Z_SCORE	allcancers	Chaperone/protein-homeostasis inhibitors	0.66
high_ploidy_sensitive	Z_SCORE	allcancers	p53/MDM2 pathway	0.45
high_ploidy_sensitive	Z_SCORE	allcancers	Hormone therapy	0.37
high_ploidy_sensitive	Z_SCORE	STAD	Kinase inhibitors	0.416666666666667
high_ploidy_sensitive	Z_SCORE	STAD	Epigenetic inhibitors	0.00666666666666667
high_ploidy_sensitive	Z_SCORE	STAD	Other	0.723333333333333
high_ploidy_sensitive	Z_SCORE	STAD	DNA damage repair inhibitors	0.816666666666667
high_ploidy_sensitive	Z_SCORE	STAD	Metabolic/redox agents	0.72
high_ploidy_sensitive	Z_SCORE	STAD	Proapoptotic agents	0.626666666666667
high_ploidy_sensitive	Z_SCORE	STAD	WNT/HH pathway inhibitors	0.743333333333333
high_ploidy_sensitive	Z_SCORE	STAD	Chemotherapy agents	0.666666666666667
high_ploidy_sensitive	Z_SCORE	STAD	Chaperone/protein-homeostasis inhibitors	0.66
high_ploidy_sensitive	Z_SCORE	STAD	p53/MDM2 pathway	0.58
high_ploidy_sensitive	Z_SCORE	STAD	Hormone therapy	0.0166666666666667
high_ploidy_sensitive	Z_SCORE	GBM	Kinase inhibitors	0
high_ploidy_sensitive	Z_SCORE	GBM	Epigenetic inhibitors	0.606666666666667
high_ploidy_sensitive	Z_SCORE	GBM	Other	0.663333333333333
high_ploidy_sensitive	Z_SCORE	GBM	DNA damage repair inhibitors	0.51
high_ploidy_sensitive	Z_SCORE	GBM	Metabolic/redox agents	0.403333333333333
high_ploidy_sensitive	Z_SCORE	GBM	Proapoptotic agents	0.806666666666667
high_ploidy_sensitive	Z_SCORE	GBM	WNT/HH pathway inhibitors	0.0966666666666667
high_ploidy_sensitive	Z_SCORE	GBM	Chemotherapy agents	1
high_ploidy_sensitive	Z_SCORE	GBM	Chaperone/protein-homeostasis inhibitors	0.686666666666667
high_ploidy_sensitive	Z_SCORE	GBM	p53/MDM2 pathway	0.936666666666667
high_ploidy_sensitive	Z_SCORE	GBM	Hormone therapy	0.173333333333333
high_ploidy_sensitive	Z_SCORE	BLCA	Kinase inhibitors	0.456666666666667
high_ploidy_sensitive	Z_SCORE	BLCA	Epigenetic inhibitors	0
high_ploidy_sensitive	Z_SCORE	BLCA	Other	0.636666666666667
high_ploidy_sensitive	Z_SCORE	BLCA	DNA damage repair inhibitors	0.783333333333333
high_ploidy_sensitive	Z_SCORE	BLCA	Metabolic/redox agents	0
high_ploidy_sensitive	Z_SCORE	BLCA	Proapoptotic agents	0.386666666666667
high_ploidy_sensitive	Z_SCORE	BLCA	WNT/HH pathway inhibitors	0.0566666666666667
high_ploidy_sensitive	Z_SCORE	BLCA	Chemotherapy agents	0.913333333333333
high_ploidy_sensitive	Z_SCORE	BLCA	Chaperone/protein-homeostasis inhibitors	0.956666666666667
high_ploidy_sensitive	Z_SCORE	BLCA	p53/MDM2 pathway	0.543333333333333
high_ploidy_sensitive	Z_SCORE	BLCA	Hormone therapy	0.136666666666667
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Kinase inhibitors	0.13
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Epigenetic inhibitors	0
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Other	0.87
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	DNA damage repair inhibitors	0.963333333333333
