cancer_type	direction	drug	correlation_value	category_label	primary_anticancer_class
KIRC	high_ploidy_sensitive	LMB_AB2	0.440418393727624	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors
KIRC	high_ploidy_sensitive	720427	0.439517450231064	Other	Other
KIRC	high_ploidy_sensitive	EPIRUBICIN	0.430099071492543	Chemotherapy agents	Topoisomerase inhibitors
KIRC	high_ploidy_sensitive	PEVONEDISTAT	0.424464658868476	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors
KIRC	high_ploidy_sensitive	DACARBAZINE	0.417774992864192	Chemotherapy agents	Alkylating agents
KIRC	high_ploidy_sensitive	AZ6102	0.415844710080951	WNT/HH pathway inhibitors	WNT-pathway modulators
KIRC	high_ploidy_sensitive	BMS-345541	0.413244349711202	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	SN-38	0.413091382145384	Chemotherapy agents	Topoisomerase inhibitors
KIRC	high_ploidy_sensitive	BUPARLISIB	0.411489101261353	Epigenetic inhibitors	Epigenetic inhibitors
KIRC	high_ploidy_sensitive	DACTOLISIB	0.408998305278306	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	GSK-LSD1-2HCL	0.408485969852512	Epigenetic inhibitors	Epigenetic inhibitors
KIRC	high_ploidy_sensitive	SABUTOCLAX	0.406380806825619	Proapoptotic agents	Proapoptotic agents
KIRC	high_ploidy_sensitive	GSK343	0.40537941656763	Epigenetic inhibitors	Epigenetic inhibitors
KIRC	high_ploidy_sensitive	ZM447439	0.402211310340011	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	CRIZOTINIB	0.398222394160548	Kinase inhibitors	Receptor tyrosine kinase inhibitors
KIRC	high_ploidy_sensitive	MOTESANIB	0.39391637348904	Kinase inhibitors	Receptor tyrosine kinase inhibitors
KIRC	high_ploidy_sensitive	5-AZACYTIDINE	0.393669527888877	Epigenetic inhibitors	Epigenetic inhibitors
KIRC	high_ploidy_sensitive	VSP34_8731	0.39355786010924	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors
KIRC	high_ploidy_sensitive	RVX-208	0.389157933281568	Epigenetic inhibitors	Epigenetic inhibitors
KIRC	high_ploidy_sensitive	GSK2606414	0.387609304126693	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	GSK1904529A	0.374635005673044	Kinase inhibitors	Receptor tyrosine kinase inhibitors
KIRC	high_ploidy_sensitive	GSK-LSD1	0.371529293625831	Epigenetic inhibitors	Epigenetic inhibitors
KIRC	high_ploidy_sensitive	PYRIDOSTATIN	0.371525752478788	DNA damage repair inhibitors	DNA damage repair inhibitors
KIRC	high_ploidy_sensitive	N29087-69-1	0.369200375719596	Other	Other
KIRC	high_ploidy_sensitive	PRT062607	0.368749367479368	Kinase inhibitors	Non-receptor tyrosine kinase inhibitors
KIRC	high_ploidy_sensitive	BMS-754807	0.366526832801399	Kinase inhibitors	Receptor tyrosine kinase inhibitors
KIRC	high_ploidy_sensitive	GSK2830371	0.365458736546005	DNA damage repair inhibitors	DNA damage repair inhibitors
KIRC	high_ploidy_sensitive	OXALIPLATIN	0.357923565258682	Chemotherapy agents	Alkylating agents
KIRC	high_ploidy_sensitive	GSK2578215A	0.356777665865133	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	MK-2206	0.350716119606203	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	CZC24832	0.350246459112142	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	TASELISIB	0.350006856687011	Epigenetic inhibitors	Epigenetic inhibitors
KIRC	high_ploidy_sensitive	EHT-1864	0.349729576647494	Other	Other
KIRC	high_ploidy_sensitive	TOPOTECAN	0.34645485494616	Chemotherapy agents	Topoisomerase inhibitors
KIRC	high_ploidy_sensitive	GNE-317	0.346264420823471	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	OLAPARIB	0.342610670363618	DNA damage repair inhibitors	DNA damage repair inhibitors
KIRC	high_ploidy_sensitive	AZD5991	0.342276360438504	Proapoptotic agents	Proapoptotic agents
KIRC	high_ploidy_sensitive	MN-64	0.342181089793076	WNT/HH pathway inhibitors	WNT-pathway modulators
KIRC	high_ploidy_sensitive	PICTILISIB	0.340784642859801	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	AZD2014	0.339575391154252	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	DIHYDROROTENONE	0.337435366640974	Metabolic/redox agents	Metabolic/redox agents
KIRC	high_ploidy_sensitive	AZ960	0.33741685118773	Kinase inhibitors	Non-receptor tyrosine kinase inhibitors
KIRC	high_ploidy_sensitive	AZD8055	0.334100258792043	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	BDOCA000347A	0.33323700415689	Epigenetic inhibitors	Epigenetic inhibitors
KIRC	high_ploidy_sensitive	IRINOTECAN	0.33236677747345	Chemotherapy agents	Topoisomerase inhibitors
KIRC	high_ploidy_sensitive	GSK2276186C	0.330193348812263	Kinase inhibitors	Non-receptor tyrosine kinase inhibitors
KIRC	high_ploidy_sensitive	CAMPTOTHECIN	0.328702105624651	Chemotherapy agents	Topoisomerase inhibitors
KIRC	high_ploidy_sensitive	VELIPARIB	0.328009295838406	DNA damage repair inhibitors	DNA damage repair inhibitors
KIRC	high_ploidy_sensitive	LESTAURTINIB	0.325644273827363	Kinase inhibitors	Receptor tyrosine kinase inhibitors
KIRC	high_ploidy_sensitive	LY2109761	0.324421624109841	Other	Other
KIRC	high_ploidy_sensitive	XAV939	0.322085341250403	WNT/HH pathway inhibitors	WNT-pathway modulators
KIRC	high_ploidy_sensitive	ALISERTIB	0.318133622583757	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	WIKI4	0.318079206090287	WNT/HH pathway inhibitors	WNT-pathway modulators
KIRC	high_ploidy_sensitive	LENALIDOMIDE	0.31459369070671	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors
KIRC	high_ploidy_sensitive	LCL161	0.314586328170798	Proapoptotic agents	Proapoptotic agents
KIRC	high_ploidy_sensitive	TALAZOPARIB	0.313459462341175	DNA damage repair inhibitors	DNA damage repair inhibitors
KIRC	high_ploidy_sensitive	CISPLATIN	0.311992875343412	Chemotherapy agents	Alkylating agents
KIRC	high_ploidy_sensitive	MITOXANTRONE	0.309382237590412	Chemotherapy agents	Topoisomerase inhibitors
KIRC	high_ploidy_sensitive	VORINOSTAT	0.30735497869541	Epigenetic inhibitors	Epigenetic inhibitors
KIRC	high_ploidy_sensitive	743380	0.306907066401626	Other	Other
KIRC	high_ploidy_sensitive	WNT-C59	0.304844635048199	WNT/HH pathway inhibitors	WNT-pathway modulators
KIRC	high_ploidy_sensitive	ALPELISIB	0.301857457573055	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	MIRA-1	0.299737543584231	p53/MDM2 pathway	p53/MDM2 pathway
KIRC	high_ploidy_sensitive	FULVESTRANT	0.298708930758144	Hormone therapy	Hormone therapy
KIRC	high_ploidy_sensitive	AT13148	0.294129828160645	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	DORAMAPIMOD	0.29378371003888	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	GEMCITABINE	0.290491167608698	Chemotherapy agents	Antimetabolites
KIRC	high_ploidy_sensitive	NELARABINE	0.289397645878715	Chemotherapy agents	Antimetabolites
KIRC	high_ploidy_sensitive	MYCOPHENOLIC ACID	0.287781284411674	Chemotherapy agents	Antimetabolites
KIRC	high_ploidy_sensitive	PICOLINICI-ACID	0.286914736387862	Metabolic/redox agents	Metabolic/redox agents
KIRC	high_ploidy_sensitive	CDK9_5038	0.286225717358266	Epigenetic inhibitors	Epigenetic inhibitors
KIRC	high_ploidy_sensitive	CEDIRANIB	0.28536901938812	Kinase inhibitors	Receptor tyrosine kinase inhibitors
KIRC	high_ploidy_sensitive	741909	0.2838971313074	Other	Other
KIRC	high_ploidy_sensitive	SERDEMETAN	0.282792599405396	p53/MDM2 pathway	p53/MDM2 pathway
KIRC	high_ploidy_sensitive	RIBOCICLIB	0.282388384791906	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	BMS-536924	0.27918521627172	Kinase inhibitors	Receptor tyrosine kinase inhibitors
KIRC	high_ploidy_sensitive	GSK3337463A	0.279081127292865	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	PCI-34051	0.276455201814607	Epigenetic inhibitors	Epigenetic inhibitors
KIRC	high_ploidy_sensitive	ICL-SIRT078	0.272407072987757	Epigenetic inhibitors	Epigenetic inhibitors
KIRC	high_ploidy_sensitive	GSK2830371A	0.270796960604767	DNA damage repair inhibitors	DNA damage repair inhibitors
KIRC	high_ploidy_sensitive	AZD5438	0.270756720910986	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	AZD6738	0.270411910779977	DNA damage repair inhibitors	DNA damage repair inhibitors
KIRC	high_ploidy_sensitive	CCT007093	0.269671710523627	DNA damage repair inhibitors	DNA damage repair inhibitors
KIRC	high_ploidy_sensitive	PAK_5339	0.268564185734766	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	PFI3	0.266966189349954	Epigenetic inhibitors	Epigenetic inhibitors
