Cell iname	Cell lineage	Primary disease	Collection	Cell type	Growth medium	Growth pattern	Doubling time	Provider name	Provider catalog ID	Donor disease age of onset	Donor tumor phase	Donor age of death	Subtype	Donor age	Donor ethnicity	Metastatic site	Comments	Cell histology	CCLE name	Alias	Donor sex	Cellosaurus ID	Cellosaurus Doubling time sd	Cellosaurus Doubling time
MM608	skin	skin cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	melanoma	-666	-666	-666	NA	-666	-666	MM 608	-666	CVCL_4453	NA	NA
MM622	skin	skin cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	melanoma	-666	-666	-666	NA	-666	-666	MM 622	-666	CVCL_C850	NA	NA
MM648	skin	skin cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	melanoma	-666	-666	-666	NA	-666	-666	MM 648	-666	CVCL_A777	NA	NA
MM649	skin	skin cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	melanoma	-666	-666	-666	NA	-666	-666	MM 649	-666	CVCL_A776	NA	NA
MM96L	skin	skin cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	melanoma	-666	-666	-666	NA	-666	-666	-666	F	CVCL_D853	NA	NA
MNNGHOSCL5	bone	bone cancer		-666	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003	adherent	-666.00	ATCC	CRL-1547	-666	-666	-666	osteosarcoma	13	Caucasian	-666	NA	-666	-666	clone F-5), Clone F5), CVCL_3952, HOS (TE85, HOS (TE85), HOS TE 85, Hos TE-85, HOS TE85, HOS-MNNG, HOS-Te85, HOS-TE85, HOS(TE85), MNNG, MNNG-HOS, MNNG-HOS (Cl#5), MNNG-HOS (TE 85, MNNG/HOS, MNNG/HOS (CL #5), MNNG/HOS Clone F-5, MNNGHOS, R-1059-D, TE 85 ClF-5, TE 85.T, TE-85, TE85	F	CVCL_0439	NA	NA
MNNGHOSTE85CLONEF5	bone	bone cancer		-666	-666	adherent	-666.00	ECACC	87070201	-666	-666	-666	osteosarcoma	-666	Caucasian	-666	NA	-666	-666	-666	-666	CVCL_0439	NA	NA
MN60	haematopoietic_and_lymphoid_tissue	leukemia		-666	-666	suspension	25.00	DSMZ	-666	-666	-666	-666	leukemia	-666	-666	-666	NA	-666	-666	MN 60, MN60	M	CVCL_1421	20.5060966544099	39.5
MO	haematopoietic_and_lymphoid_tissue	leukemia		-666	ATCC-formulated Iscove's Modified Dulbecco's Medium, Catalog No. 30-2005	suspension	-666.00	ATCC	CRL-8066	-666	-666	-666	leukemia	-666	-666	-666	NA	-666	-666	MO, Mo T, Mo-T, MoT	M	CVCL_1439	NA	NA
MOB	haematopoietic_and_lymphoid_tissue	leukemia		-666	Iscove's modified Dulbecco's medium, 80%; fetal bovine serum, 20%	-666	-666.00	ATCC	CCL-245	-666	-666	-666	leukemia	33	Caucasian	-666	NA	-666	-666	Mo B, MoB	M	CVCL_2302	NA	NA
MOGGCCM	central_nervous_system	brain cancer	CCLE	-666	Ham's F10: DMEM (1:1) + 2mM Glutamine + 10% Foetal Bovine Serum (FBS)	adherent	-666.00	ECACC	-666	-666	-666	-666	astrocytoma, glioma	-666	-666	-666	NA	-666	MOGGCCM_CENTRAL_NERVOUS_SYSTEM	CCM, G-CCM, GO-G-CCM, MOGGCCM	-666	CVCL_2613	NA	NA
MOGGUVW	central_nervous_system	brain cancer	CCLE	-666	Ham′s F10: DMEM (1:1) + 2mM Glutamine + 10% Foetal Bovine Serum (FBS)	adherent	-666.00	ECACC	-666	-666	-666	-666	astrocytoma	-666	-666	-666	NA	-666	MOGGUVW_CENTRAL_NERVOUS_SYSTEM	G-UVW, GO-G-UVW, MOG-GUVW, MOGGUVW, UVW	M	CVCL_2614	NA	NA
MOHTOUII3	haematopoietic_and_lymphoid_tissue	normal blood tissue sample		-666	RPMI 1640 + 2mM Glutamine + 10% Foetal Bovine Serum (FBS)	suspension	-666.00	ECACC	93093002	-666	-666	-666	normal blood tissue sample	-666	-666	-666	NA	-666	-666	MOH, TOU II-3	M	CVCL_2782	NA	NA
MOLM13	haematopoietic_and_lymphoid_tissue	leukemia	ACHILLES, CCLE, PRISM-PR300, PRISM-SUSP	-666	RPMI-164 (Hyclone Cat.# SH327.2)	suspension	96-120	DSMZ	-666	-666	recurrent	-666	acute myeloid leukemia (aml)	-666	-666	-666	NA	-666	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Molm 13, Molm13, MOLM13	M	CVCL_2119	30.0887575903914	50
MOLM16	haematopoietic_and_lymphoid_tissue	leukemia	CCLE, PRISM-PR300, PRISM-SUSP	-666	RPMI-164 ATCC catalog # 3-21	suspension	50-80	DSMZ	-666	-666	-666	-666	acute myelogenous leukemia (aml)	-666	Japanese	-666	NA	-666	MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM16	F	CVCL_2120	NA	65
MOLM20	haematopoietic_and_lymphoid_tissue	leukemia		-666	80% RPMI 1640 + 20% h.i. FBS	-666	70.00	DSMZ	-666	-666	-666	-666	leukemia	-666	-666	-666	NA	-666	-666	MOLM20	F	CVCL_2121	NA	70
MOLM6	haematopoietic_and_lymphoid_tissue	leukemia	CCLE	-666	RPMI-164 ATCC catalog # 3-21	mix	48-72	DSMZ	-666	-666	-666	-666	chronic myelogenous leukemia (cml)	-666	-666	-666	NA	-666	MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM6	M	CVCL_2122	NA	60
MOLP2	haematopoietic_and_lymphoid_tissue	myeloma	CCLE, PRISM-PR300, PRISM-SUSP	-666	RPMI-164 ATCC catalog # 3-21	suspension	96.00	DSMZ	-666	-666	primary	-666	myeloma	55	unknown	-666	NA	-666	MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLP2	M	CVCL_2123	16.9705627484771	84
MOLP8	haematopoietic_and_lymphoid_tissue	myeloma	CCLE	-666	RPMI-164 ATCC catalog # 3-21	mix	40.00	DSMZ	-666	-666	primary	-666	myeloma	52	-666	-666	NA	lymphoid_neoplasm	MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLP8	M	CVCL_2124	NA	40
MOLT13	haematopoietic_and_lymphoid_tissue	leukemia	CCLE	-666	RPMI-164 ATCC catalog # 3-21	suspension	36.00	DSMZ	-666	-666	-666	-666	acute lymphoblastic leukemia (all)	-666	-666	-666	NA	-666	MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Molt 13, MOLT 13, Molt-13, Molt13, MOLT13	F	CVCL_1422	NA	100
MOLT14	haematopoietic_and_lymphoid_tissue	leukemia		-666	-666	suspension	40-50	DSMZ	-666	-666	-666	-666	leukemia	-666	-666	-666	NA	-666	-666	Molt 14, MOLT 14, Molt-14, Molt14, MOLT14	F	CVCL_1423	NA	45
MOLT16	haematopoietic_and_lymphoid_tissue	leukemia	CCLE, PRISM-PR300, PRISM-SUSP	-666	RPMI-164 ATCC catalog # 3-21	suspension	30.00	DSMZ	ACC 29	-666	-666	-666	acute lymphoblastic leukemia (all)	5	-666	-666	NA	-666	MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT 16, Molt-16, Molt16, MOLT16	F	CVCL_1424	NA	30
MOLT17	haematopoietic_and_lymphoid_tissue	leukemia		-666	90% RPMI 1640 + 10% h.i. FBS	suspension	50.00	DSMZ	-666	-666	recurrent	-666	leukemia	-666	-666	-666	NA	-666	-666	MOLT 17, Molt-17, MOLT17	F	CVCL_2125	NA	50
MOLT3	haematopoietic_and_lymphoid_tissue	leukemia	ACHILLES, PRISM-PR300, PRISM-SUSP	-666	ATCC-formulated RPMI-1640 Medium, ATCC 30-2001	suspension	40.00	ATCC	CRL-1552	-666	-666	-666	acute lymphoblastic leukemia (all)	19	-666	-666	NA	-666	MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Molt 3, MOLT 3, Molt-3, Molt3, MOLT3	M	CVCL_0624	NA	40
MOLT4	haematopoietic_and_lymphoid_tissue	leukemia	CCLE	-666	RPMI 1640 + 2mM Glutamine + 10% Foetal Bovine Serum (FBS).	suspension	31.56	ATCC	CRL-1582	-666	-666	-666	acute lymphoblastic leukemia (all)	19	-666	-666	NA	leukemia	MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GM02219, GM2219C, Molt 4, MOLT 4, Molt-4, MOLT.4, Molt4, MOLT4	M	CVCL_0013	13.68742549447	31
MON	soft_tissue	kidney cancer	PRISM-HURON, PRISM-PR300, PRISM-PR500	-666	ATCC-formulated Dulbecco's Modified Eagle's Medium, Catalog No. 30-2002	adherent	-666.00	-666	-666	-666	-666	-666	rhabdoid tumor	-666	-666	-666	NA	-666	MON_SOFT_TISSUE	-666	M	CVCL_M846	NA	NA
MONOMAC1	haematopoietic_and_lymphoid_tissue	leukemia	CCLE, PRISM-PR300, PRISM-SUSP	-666	RPMI-164 ATCC catalog # 3-21	suspension	30-50	DSMZ	-666	-666	recurrent	-666	acute myelogenous leukemia (aml)	-666	-666	-666	NA	-666	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MM1, Mono Mac 1, MONO-MAC-1, Monomac-1, MonoMac1, MONOMAC1	M	CVCL_1425	0	40
MONOMAC6	haematopoietic_and_lymphoid_tissue	leukemia	CCLE, PRISM-PR300, PRISM-SUSP	-666	RPMI-164 ATCC catalog # 3-21	suspension	60.00	DSMZ	-666	-666	recurrent	-666	acute myelogenous leukemia (aml)	-666	-666	-666	NA	-666	MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MM6, Mono Mac 6, Mono Mac6, MONO-MAC 6, Mono-mac-6, MONO-MAC-6, MonoMac 6, MonoMac6, MONOMAC6	M	CVCL_1426	14.142135623731	50
MOR	lung	lung cancer		-666	RPMI 1640 + 2mM Glutamine + 10% Foetal Bovine Serum (FBS).	adherent	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	unknown	-666	NA	-666	-666	MOR/P	unknown	CVCL_2618	NA	NA
MORCPR	lung	lung cancer	ACHILLES, CCLE	-666	RPMI-164 (Hyclone Cat.# SH327.2)	suspension	-666.00	ECACC	-666	-666	-666	-666	non small cell lung carcinoma	-666	-666	-666	NA	carcinoma	MORCPR_LUNG	-666	-666	CVCL_2620	NA	NA
MOR02R	lung	lung cancer		-666	RPMI 1640 + 2mM Glutamine + 0.2μg/ml Doxorubicin + 10% Foetal Bovine Serum (FBS)	adherent	-666.00	ECACC	96042335	-666	-666	-666	adenocarcinoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_2126	NA	NA
MOR04R	lung	lung cancer		-666	RPMI 1640 + 2mM Glutamine + 0.4μg/ml Doxorubicin + 10% Foetal Bovine Serum (FBS)	adherent	-666.00	ECACC	96042334	-666	-666	-666	lung adenocarcinoma, drug resistant	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_2619	NA	NA
MOTN1	haematopoietic_and_lymphoid_tissue	leukemia	CCLE	-666	RPMI-164 ATCC catalog # 3-21	suspension	30-40	DSMZ	-666	-666	-666	-666	leukemia	-666	-666	-666	NA	-666	MOTN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOTN1	F	CVCL_2127	7.77817459305202	29.5
MPP89	lung	lung cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	DMEM (Hyclone Cat.# SH322.2)	adherent	36.00	ICLC	-666	-666	-666	-666	mesothelioma	-666	-666	-666	NA	mesothelioma	MPP89_PLEURA	MPP-89, MPP89	M	CVCL_1427	NA	NA
MRC5	lung	normal lung sample		-666	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003	adherent	68-72	JCRB	IFO50073	-666	-666	-666	normal lung sample	14 weeks	Caucasian	-666	NA	-666	-666	Medical Research Council cell strain-5, MRC 5, MRC-V, MRC5, MRCV	M	CVCL_0440	33.6808550960334	37
MRC7	lung	normal lung sample		-666	EMEM (EBSS) + 2mM Glutamine + 1% Non Essential Amino Acids (NEAA) + 10% Foetal Bovine Serum (FBS)	-666	-666.00	ECACC	85020203	-666	-666	-666	normal lung sample	-666	-666	-666	NA	-666	-666	Medical Research Council cell strain-7, MRC7	unknown	CVCL_2628	NA	NA
MRC9	lung	normal lung sample		-666	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003	-666	-666.00	JCRB	IFO50072	-666	-666	-666	normal lung sample	15 weeks	Caucasian	-666	NA	-666	-666	Medical Research Council cell strain-9, MRC9	F	CVCL_2629	NA	NA
MRKNU1	breast	breast cancer		-666	-666	-666	47.00	JCRB	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	-666	MRK-NU-1	F	CVCL_1428	NA	47
MSTO211H	lung	lung cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 ATCC catalog # 3-21	adherent	72.00	ATCC	CRL-2081	-666	metastatic	-666	mesothelioma	62	Caucasian	pleural_effusion	NA	mesothelioma	MSTO211H_PLEURA	211H, MSTO-211, MSTO-211 H, MSTO211H	M	CVCL_1430	NA	35
MS1	skin	lung cancer		-666	RPMI 1640 + 2mM Glutamine + 20% Foetal Bovine Serum (FBS).		-666.00	RIKEN	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_IQ55	NA	NA
MS751	cervix	cervical cancer, endometrial cancer		-666	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003	adherent	-666.00	ATCC	HTB-34	-666	metastatic	-666	carcinoma	47	Caucasian	lymph_node	NA	-666	-666	MS 751, MS-751	F	CVCL_4996	NA	57.6
MTA	haematopoietic_and_lymphoid_tissue	lymphoma		-666	-666	-666	-666.00	JCRB	IFO50513	-666	-666	-666	leukemia	58	-666	-666	NA	-666	-666	-666	F	CVCL_3032	NA	NA
MTCSK	thyroid	thyroid cancer		-666	-666	-666	-666.00	ECACC	92013101	-666	-666	-666	medullary thyroid carcinoma	-666	-666	-666	NA	-666	-666	MTC SK	F	CVCL_8896	NA	57.6
MT2	haematopoietic_and_lymphoid_tissue	leukemia		-666	RPMI 1640 + 2 mM Glutamine + 10% Decomplemented Fetal Bovine Serum (FBS).	-666	-666.00	MOCK	8081401	-666	-666	-666	leukemia	-666	-666	-666	NA	-666	-666	MT-2J, MT2	M	CVCL_2631	NA	NA
MT3	breast	breast cancer, myeloma		-666	90% RPMI 1640 + 10% h.i. FBS + 2 mM L-glutamine + 1 mM sodium pyruvate	adherent	40-50	DSMZ	ACC 403	-666	-666	-666	carcinoma	58	unknown	-666	NA	-666	-666	-666	F	CVCL_M516	NA	45
MT4	haematopoietic_and_lymphoid_tissue	leukemia		-666	RPMI 1640 + 2mM Glutamine + 10% Decomplemented Foetal Bovine Serum (FBS)	-666	-666.00	MOCK	JCRB0135	-666	-666	-666	leukemia	-666	-666	-666	NA	-666	-666	MT4	M	CVCL_2632	NA	30
MURPHY	kidney	bone cancer		-666	-666	-666	-666.00	ATCC	CRL-7722	-666	-666	-666	osteosarcoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_3549	NA	NA
MUTZ1	haematopoietic_and_lymphoid_tissue	lymphoma		-666	-666	-666	-666.00	DSMZ	-666	-666	-666	-666	myelodysplasia	-666	-666	-666	NA	-666	-666	Mutz-1, MUTZ1	F	CVCL_1431	NA	NA
MUTZ2	haematopoietic_and_lymphoid_tissue	leukemia		-666	60% alpha-MEM (with ribo- and deoxyribonucleosides) + 20% h.i. FBS + 20% vol conditioned medium of cell line 5637 (DSM ACC 35) (cells grow well with 50 ng/ml SCF)	-666	47.00	-666	-666	-666	-666	-666	acute myelogenous leukemia (aml)	-666	-666	-666	NA	-666	-666	Mutz2, MUTZ2	M	CVCL_1432	0.707106781186548	47.5
MUTZ3	haematopoietic_and_lymphoid_tissue	leukemia	CCLE	-666	60% alpha-MEM (with ribo- and deoxyribonucleosides) + 20% h.i. FBS + 20% vol conditioned medium of cell line 5637 (DSM ACC 35) or purified cytokine	-666	90-110	DSMZ	-666	-666	-666	-666	acute myelogenous leukemia (aml)	-666	-666	-666	NA	-666	MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Mutz-3, Mutz3, MUTZ3	M	CVCL_1433	7.07106781186548	105
MUTZ5	haematopoietic_and_lymphoid_tissue	leukemia	CCLE	-666	RPMI-164 ATCC catalog # 3-21	suspension	70-100	DSMZ	-666	-666	reccurrent	-666	acute lymphoblastic leukemia (all)	-666	-666	-666	NA	-666	MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Mutz-5, MUTZ5	M	CVCL_1873	NA	85
MV4II	haematopoietic_and_lymphoid_tissue	leukemia		-666	ATCC-formulated Iscove's Modified Dulbecco's Medium, Catalog No. 30-2005. To make the complete growth medium, add the following components to the base medium: fetal bovine serum to a final concentration of 10%.	suspension	32.00	ATCC	-666	-666	-666	-666	acute myeloid leukemia (aml)	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_0064	12.7279220613579	41
MV411	haematopoietic_and_lymphoid_tissue	leukemia	ACHILLES, CCLE	-666	DMEM ATCC catalog # 3-22	suspension	50.00	ATCC	CRL-9591	-666	-666	-666	acute myelogenous leukemia (aml)	10	unknown	-666	NA	-666	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	11, MV 4, MV-4-11, MV-4:11, MV4, MV4:11, MV411, MV4II	M	CVCL_0064	12.7279220613579	41
MX1	breast	breast cancer		-666	ATCC-formulated RPMI-1640 Medium, Catalog No. 30-2001	adherent	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	Caucasian	-666	NA	-666	-666	MX1, MXI	F	CVCL_4774	NA	32.5
MY	haematopoietic_and_lymphoid_tissue	leukemia		-666	-666	-666	-666.00	JCRB	JCRB0158.0	-666	-666	-666	leukemia	52	-666	-666	NA	-666	-666	-666	F	CVCL_3034	NA	48
MYLA	haematopoietic_and_lymphoid_tissue	lymphoma	ACHILLES	-666	RPMI 1640 (R0883) + 2mM L-Glutamine (G7513) + 10 U/ml IL-2 (H7041) + 10 U/ml IL-4 (H7291) + 10% Human AB Serum (H4522)	suspension	20-24	-666	-666	-666	-666	-666	lymphoma	-666	-666	-666	NA	-666	MYLA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-666	-666	-666	NA	NA
MYO	soft_tissue	normal soft tissue sample		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	normal soft tissue sample	-666	-666	-666	NA	-666	-666	MYOCYTES	-666	-666	NA	NA
MZ2MEL	skin	skin cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	melanoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_1435	NA	NA
MZ7MEL	skin	skin cancer		-666	-666	adherent	-666.00	-666	-666	-666	-666	-666	melanoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_1436	NA	NA
M059J	central_nervous_system	brain cancer		-666	1:1 mixture of Dulbecco's Modified Eagle's Medium and Ham's F12 medium with 2.5 mM L-glutamine adjusted to contain 15 mM HEPES, 0.5 mM sodium pyruvate, and 1.2 g/L sodium bicarbonate supplemented with 0.05 mM non-essential amino acids and 10% fetal bovine serum	adherent	-666.00	ATCC	CRL-2366	-666	metastatic	-666	astrocytoma, glioblastoma, glioma	33	unknown	-666	NA	-666	-666	Mo 59J, MO59J	M	CVCL_0400	NA	NA
M059K	central_nervous_system	brain cancer	ACHILLES, CCLE, PRISM-PR300	-666	DMEM/F12 (Hyclone Cat.# SH323.1)	adherent	>120	ATCC	CRL-2365	-666	primary	-666	astrocytoma, glioblastoma	33	unknown	-666	NA	glioma	M059K_CENTRAL_NERVOUS_SYSTEM	-666	M	CVCL_0401	NA	NA
M07E	haematopoietic_and_lymphoid_tissue	leukemia	CCLE	-666	RPMI-164 ATCC catalog # 3-21	mix	40.00	DSMZ	-666	-666	-666	-666	acute myelogenous leukemia (aml)	-666	-666	-666	NA	-666	M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	M-07E, M-O7e, M07e, Mo7e, MO7e, MO7E	F	CVCL_2106	19.7989898732233	26
M14	skin	skin cancer		-666	-666	adherent	26.30	NCI	-666	-666	-666	-666	melanoma	-666	-666	-666	NA	melanoma	-666	M14-MEL, Melanoma 14, UCLA SO M14, UCLA-SO-14, UCLA-SO-M14	M	CVCL_1395	NA	26.3
NAGL1	haematopoietic_and_lymphoid_tissue	leukemia		-666	Iscove's modification of Dulbecco's medium with 20% heat-inactivated fetal bovine serum	-666	-666.00	JCRB	IFO50479	-666	-666	-666	leukemia	-666	-666	-666	NA	-666	-666	-666	F	CVCL_3038	NA	NA
NALL1	haematopoietic_and_lymphoid_tissue	leukemia		-666	RPMI 1640 medium with 20% fetal calf serum	-666	72-88	JCRB	JCRB1332	-666	-666	-666	leukemia	14	-666	-666	NA	-666	-666	Null-cell Acute Lymphoblastic Leukemia-1	M	CVCL_3039	11.3137084989848	80
NALM1	haematopoietic_and_lymphoid_tissue	leukemia	CCLE	-666	RPMI-164 ATCC catalog # 3-21	suspension	48.00	DSMZ	ACC 131	-666	-666	-666	chronic myelogenous leukemia (cml	3	-666	-666	NA	-666	NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM 1, Nalm-1, Nalm1, NALM1	F	CVCL_0091	NA	48
NALM19	haematopoietic_and_lymphoid_tissue	leukemia	CCLE	-666	RPMI-164 ATCC catalog # 3-21	suspension	50-70	DSMZ	-666	-666	-666	-666	acute lymphoblastic leukemia (all)	-666	-666	-666	NA	-666	NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nalm19, NALM19	M	CVCL_1835	21.920310216783	44.5
NALM6	haematopoietic_and_lymphoid_tissue	leukemia	ACHILLES, CCLE, CMAP, PRISM-PR300, PRISM-SUSP	-666	RPMI-164 ATCC catalog # 3-21	suspension	36.00	DSMZ	ACC 128	-666	-666	-666	acute lymphoblastic leukemia (all)	19	unknown	-666	NA	-666	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nalm 6, NALM 6, Nalm-6, NALM-6-M1, Nalm6, NALM6	M	CVCL_0092	9.76439108871277	30.5
NAMALWA	haematopoietic_and_lymphoid_tissue	lymphoma	CCLE	-666	RPMI 1640 medium with 2 mM L-glutamine adjusted to contain 1.5 g/L sodium bicarbonate, 4.5 g/L glucose, 10 mM HEPES, and 1.0 mM sodium pyruvate, 92.5%; fetal bovine serum, 7.5%	suspension	20-30	ATCC	CRL-1432	-666	-666	-666	b-cell lymphoma	3	unknown	-666	NA	-666	NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Namalva, NAMALVA, NAMALWA, NK62a, NWA	F	CVCL_0067	NA	25
NBSUSSR	autonomic_ganglia	brain cancer		-666	-666	-666	-666.00	RIKEN	-666	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	NBSUSSR	M	CVCL_1450	NA	NA
NBTU110	central_nervous_system	brain cancer		-666	RPMI1640 medium with 10% heat inactivated fetal bovine serum	-666	-666.00	JCRB	JCRB0154	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_3041	NA	49
NB1	autonomic_ganglia	brain cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR300, PRISM-PR500	-666	RPMI-164 (Hyclone Cat.# SH327.2)	adherent	48.00	HSRRB	-666	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	neuroblastoma	NB1_AUTONOMIC_GANGLIA	-666	M	CVCL_GZ01	NA	25.2
NB10	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_1441	NA	NA
NB11	autonomic_ganglia	brain cancer		-666	Invitrogen (GIBCO) as part of a kit: Keratinocyte Serum Free Medium (K-SFM), Kit Catalog Number 17005-042.	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_8813	NA	NA
NB12	autonomic_ganglia	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_1442	NA	NA
NB13	autonomic_ganglia	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_1443	NA	NA
NB14	autonomic_ganglia	brain cancer		-666	Keratinocyte Serum Free Medium (K-SFM), Kit Catalog Number 17005-042	adherent	-666.00	-666	-666	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_1444	NA	NA
NB16	autonomic_ganglia	brain cancer		-666	-666	-666	-666.00	RIKEN	-666	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	NB 16, NB_16, NB-16, NB16-RIKEN	F	CVCL_B323	NA	NA
NB17	autonomic_ganglia	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_1445	NA	NA
NB19	central_nervous_system	brain cancer		-666	-666	-666	30-40	RIKEN	RCB0479	-666	metastatic	-666	neuroblastoma	-666	-666	bone_marrow	NA	-666	-666	-666	-666	CVCL_2092	3.53553390593274	32.5
NB26	prostate	prostate cancer		-666	Invitrogen (GIBCO) as part of a kit: Keratinocyte Serum Free Medium (K-SFM), Kit Catalog Number 17005-042	adherent	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	Caucasian	-666	NA	-666	-666	-666	-666	CVCL_3813	NA	NA
NB4	haematopoietic_and_lymphoid_tissue	leukemia	ACHILLES, CCLE, PRISM-PR300, PRISM-SUSP	-666	RPMI-164 ATCC catalog # 3-21	suspension	40-48	DSMZ	-666	-666	-666	-666	acute myelogenous leukemia (aml)	-666	-666	-666	NA	-666	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB-4, NB.4	F	CVCL_0005	5.29150262212918	38
NB5	autonomic_ganglia	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_8822	NA	NA
NB6	autonomic_ganglia	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_8823	NA	NA
NB69	autonomic_ganglia	brain cancer		-666	RPMI 1640 + 2mM Glutamine + 15% Foetal Bovine Serum (FBS)	-666	-666.00	-666	-666	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	NB 69, NB_69, NB-69, NB69-RIKEN	M	CVCL_1448	NA	NA
NB7	autonomic_ganglia	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_8824	NA	NA
NB9	embryonal	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	NB-9	M	CVCL_A797	NA	NA
NCCITA3	embryonal	germ cell cancer		-666	RPMI1640 medium with 10% fetal calf serum.	-666	-666.00	JCRB	JCRB1005	-666	-666	-666	teratocarcinoma	24	-666	-666	NA	-666	-666	NCCIT-A3	M	CVCL_3045	NA	27
NCCRBCT1	central_nervous_system	head and neck cancer		-666	CMRL1066 medium with 10-15% fetal bovine serum (100 ÊM Glutamine, 200 ÊM Sodium pyruvate and 20 ÊM 2-mercaptoetanol)	-666	78.00	JCRB	JCRB1223	-666	-666	-666	retinoblastoma	1.5	-666	-666	NA	-666	-666	-666	M	CVCL_3054	NA	78
