collection_id	collection_label	collection_display_order	pathway_id	pathway_label	pathway_display_order	selected_direction	selected_rank_within_direction	pseudotime	standardized_activity
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.21	0.391907841854612
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.212	0.410244936561001
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.214	0.428613976827469
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.216	0.44700891074346
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.218	0.465423686398418
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.22	0.483852251881789
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.222	0.502288555283016
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.224	0.520726544691544
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.226	0.539160168196817
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.228	0.557583373888279
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.23	0.575990109855377
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.232	0.594374324187552
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.234	0.61272996497425
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.236	0.631050980304917
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.238	0.649331318268994
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.24	0.667564926955929
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.242	0.685745754455163
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.244	0.703867748856143
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.246	0.721924858248312
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.248	0.739911030721115
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.25	0.757820214363996
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.252	0.775646357266401
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.254	0.793383407517772
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.256	0.811025313207555
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.258	0.828566022425194
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.26	0.845999483260134
