collection_id	collection_label	collection_display_order	pathway_id	pathway_label	pathway_display_order	selected_direction	selected_rank_within_direction	pseudotime	standardized_activity
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.29	1.05993548461963
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.292	1.07675594686608
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.294	1.09336237412488
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.296	1.10974647858842
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.298	1.12589997244906
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.3	1.14181456789919
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.302	1.15748197713116
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.304	1.17289391233736
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.306	1.18804208571016
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.308	1.20291820944193
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.31	1.21751399572504
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.312	1.23182115675187
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.314	1.24583140471479
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.316	1.25953645180618
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.318	1.2729280102184
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.32	1.28599779214383
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.322	1.29873750977484
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.324	1.31113887530381
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.326	1.32319360092311
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.328	1.33489339882511
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.33	1.34622998120218
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.332	1.3571950602467
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.334	1.36778034815105
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.336	1.37797755710758
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.338	1.38777839930869
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.34	1.39717458694674
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.342	1.40615783221409
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.344	1.41471984730314
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.346	1.42285234440625
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.348	1.43054703571578
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.35	1.43779563342413
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.352	1.44458984972365
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.354	1.45092139680672
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.356	1.45678198686572
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.358	1.46216333209302
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.36	1.46705714468099
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.362	1.471455136822
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.364	1.47534902070843
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.366	1.47873050853265
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.368	1.48159131248704
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.37	1.48392314476395
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.372	1.48571771755578
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.374	1.4869667430549
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.376	1.48766193345366
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.378	1.48779500094446
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.38	1.48735765771966
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.382	1.48634161597163
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.384	1.48473858789275
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.386	1.4825402856754
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.388	1.47973842151193
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.39	1.47632470759474
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.392	1.47229085611618
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.394	1.46762857926864
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.396	1.46232958924448
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.398	1.45638559823609
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.4	1.44978831843582
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.402	1.44252946203607
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.404	1.43460074122919
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.406	1.42599386820756
