fig3h_group	ploidy_class	dose_response_label	analysis_cloneid_origin	origin_resolution_status	origin_resolution_distance_edges	origin	cloneID	profile_label	profile_size	db_size	weight_used	autosomal_ploidy	marker_chromosome_count	marker_chromosome_ploidy	clone_ploidy	state	alias	parent	sampleSource	rootID
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483738	SP_0.0500008_ID483738	0.0500008	0.0500008	0.0500008	3.42651333255023	18	0.795027378582116	4.22154071113235	10 102x12.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483749	SP_0.050013_ID483749	0.050013	0.050013	0.050013	3.35039175281503	21	0.814984127813603	4.16537588062864	20 100.5x4.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483755	SP_0.050009_ID483755	0.050009	0.050009	0.050009	3.37957720839745	30	1.01689273038285	4.3964699387803	8 117x18.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483741	SP_0.0500005_ID483741	0.0500005	0.0500005	0.0500005	3.24941766535355	24	0.840606100539651	4.0900237658932	13 104x10.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483743	SP_0.0500027_ID483743	0.0500027	0.0500027	0.0500027	3.30784561924704	25	0.882478458735843	4.19032407798288	15 118x15.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483746	SP_0.0499993_ID483746	0.0499993	0.0499993	0.0499993	3.52593518282593	19	0.765497562455099	4.29143274528103	18 100x15.1.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483754	SP_0.0500196_ID483754	0.0500196	0.0500196	0.0500196	3.55018952356526	20	0.889591787848499	4.43978131141376	7 117x18.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483737	SP_0.0500063_ID483737	0.0500063	0.0500063	0.0500063	3.29028593632153	32	1.04596000507943	4.33624594140096	1 104x18.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483742	SP_0.0499891_ID483742	0.0499891	0.0499891	0.0499891	3.49699797880086	25	0.789511770947621	4.28650974974848	14 128.5x17.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483745	SP_0.0500024_ID483745	0.0500024	0.0500024	0.0500024	3.51300334681381	20	0.886811222900679	4.39981456971449	17 107x19.1.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483748	SP_0.0499951_ID483748	0.0499951	0.0499951	0.0499951	3.55563809268672	20	0.755692272951184	4.31133036563791	2 111.5x15.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483750	SP_0.0499906_ID483750	0.0499906	0.0499906	0.0499906	3.4799972370052	20	0.775042075104501	4.2550393121097	3 118x3.2.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483751	SP_0.0499858_ID483751	0.0499858	0.0499858	0.0499858	3.18740574280196	25	0.945320731039591	4.13272647384155	4 111x19.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483756	SP_0.0499961_ID483756	0.0499961	0.0499961	0.0499961	3.65681564048406	20	0.950761341821162	4.60757698230523	9 105x13.2.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484147	SP_0.050011_ID484147	0.050011	0.050011	0.050011	3.90111019355991	9	0.720152499593188	4.6212626931531	1	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484156	SP_0.0500083_ID484156	0.0500083	0.0500083	0.0500083	3.40903121311595	8	0.620608522688561	4.02963973580451	18	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484149	SP_0.0499949_ID484149	0.0499949	0.0499949	0.0499949	3.70944381966436	9	0.788252718524177	4.49769653818854	11	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484164	SP_0.0500313_ID484164	0.0500313	0.0500313	0.0500313	4.06810986806488	13	0.75506765807851	4.8231775261434	7	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484161	SP_0.0499942_ID484161	0.0499942	0.0499942	0.0499942	3.80744201058148	11	0.508263909532557	4.31570592011403	4	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484162	SP_0.0499962_ID484162	0.0499962	0.0499962	0.0499962	3.70357314295882	8	0.56564080428905	4.26921394724787	5	MDAMB231-G2-A4	484167	MDAMB231	484167
