bootstrap_replicate	corrected_energy_difference_2N_minus_4N	centered_bootstrap_error
340	-0.12258665092082381	-0.1746333167614268
341	-0.35382710800081896	-0.4058737738414219
342	0.14630178912446662	0.09425512328386362
343	0.08364304513517837	0.03159637929457538
344	-0.23099782003200459	-0.28304448587260755
345	0.2092824657572154	0.1572357999166124
346	-0.2604061843390258	-0.31245285017962876
347	-0.08921296308724884	-0.14125962892785182
348	-0.19640516057313265	-0.24845182641373564
349	-0.02974243633184136	-0.08178910217244435
350	0.31380906283509524	0.2617623969944923
351	0.011592426669811754	-0.04045423917079123
352	0.10552732405700363	0.05348065821640064
353	0.9255882737891449	0.8735416079485419
354	0.4056973789875121	0.35365071314690916
355	0.7183962886617267	0.6663496228211236
356	0.6974424662777874	0.6453958004371844
357	-0.06826198670855683	-0.12030865254915982
358	-0.258189609264704	-0.310236275105307
359	0.7766417288144687	0.7245950629738657
360	0.019419178212071498	-0.03262748762853149
361	-0.34676712743129967	-0.39881379327190264
362	-0.30851164601852166	-0.3605583118591246
363	0.26376879070667325	0.21172212486607025
364	0.2760366028026969	0.22398993696209388
365	-0.5841784371640729	-0.6362251030046759
366	-0.1100275094510755	-0.1620741752916785
367	-0.3258332100245858	-0.3778798758651888
368	-0.01644794049259176	-0.06849460633319475
369	-0.19173621643945377	-0.24378288228005676
370	-0.3974846990756457	-0.4495313649162487
371	0.8206795854905741	0.768632919649971
372	0.12764978607864658	0.07560312023804358
373	0.5238596790956055	0.4718130132550025
374	0.026013084425625974	-0.026033581414977015
375	-0.269116444958313	-0.32116311079891596
376	0.41831269195609744	0.36626602611549447
377	0.8123269086861563	0.7602802428455533
378	0.5484792545520253	0.4964325887114223
379	-0.09288492597764857	-0.14493159181825155
380	-0.11998087097612478	-0.17202753681672778
381	-0.1704133127957797	-0.2224599786363827
382	-0.2449747429585717	-0.29702140879917466
383	0.3249709909711058	0.27292432513050285
384	0.21102046363134708	0.15897379779074408
385	-0.12076825682743006	-0.17281492266803306
386	-0.07496270525337816	-0.12700937109398114
387	-0.3637895237118315	-0.41583618955243445
388	0.5653196715501609	0.5132730057095579
389	0.3446516501345523	0.2926049842939493
390	-0.28792111723859504	-0.339967783079198
391	-0.1646993121184496	-0.2167459779590526
392	0.364278792000599	0.312232126159996
393	0.28847138848742016	0.23642472264681716
394	0.44900576111640633	0.39695909527580336
395	-0.23144445721574475	-0.2834911230563477
396	0.20063689654739264	0.14859023070678964
397	-0.31698861291753355	-0.3690352787581365
398	-0.1653481874928982	-0.2173948533335012
399	0.16588167269633175	0.11383500685572875
