,2N_C1,2N_C2,2N_C3,2N_C4,2N_G1,2N_G2,2N_G3,2N_G4,4N_C1,4N_C2,4N_C3,4N_C4,4N_G1,4N_G2,4N_G3,4N_G4
Stachyose;Maltotetraose,0.769342462359008,0.37307263392584844,0.22811465035784764,0.6295398686935143,0.8098121638795457,0.08102083389551151,-0.4418100088457968,0.46469956743836616,-0.8018133434447253,-1.03967430349681,-2.887613515659058,-1.0418008443797036,1.0812693574753223,0.6174226768756036,0.14431686735127014,1.0141009335742768
D-(+)-Raffinose;Maltotriose,1.0674432701801713,0.2881432707162164,-0.07393447362704048,0.007556326035519597,0.6468715303383624,0.8110744215678428,-0.6508642620202302,0.5201237022409139,-0.6798663563414676,-1.3061827510452058,-2.3736182188945487,-1.2124922251404509,0.9818179812290933,0.6382078125132302,-0.1882052274221885,1.523925199669779
5-Methyltetrahydrofolic acid,-1.718827217737416,-0.8886187369461487,-1.289730720505885,-0.7364028173268264,-0.24334886385939,-0.6230415033119335,-0.6056815050629731,-0.25089469088682603,0.079203677370904,0.020810531245358085,0.12272664881728854,0.0960157972754833,1.4827864117302063,1.6384306610205117,1.51215112645987,1.4044212017178157
Arachidonic acid,-1.158337557837173,-0.7450378666483449,0.16305632747306187,-0.18516152820024737,0.09237481857051554,0.3943121777263556,-0.23642430895034391,0.19813280807867428,-0.8635827532769393,-0.8915021486754845,-0.8962992472253499,-1.0227810167200566,0.28881880188821063,1.4086140616871092,0.6403751560739371,2.813442276036044
Eicosapentaenoic acid,-0.9997817648156466,-0.7364493518178171,0.09217489658822885,-0.06217750486694211,-0.1274280404202263,0.6779212690154198,-0.4620605369926692,0.7000754987451678,-0.6549288896049043,-0.777606896549107,-1.198247471066396,-1.1178029814439567,0.21701845361346833,1.3114515138959406,0.3736420231818839,2.7641997825375406
5-Methyltetrahydrofolic acid (2),-1.9324306986459503,-0.7796905336617528,-0.8949937461075884,-0.9388411435754255,-0.2409577174163904,-0.7851200441067773,-0.3290321634837429,-0.7072062590666864,0.17428217146675193,-0.14269849840518542,0.3475727801211135,0.47762716949107714,1.333487645260112,1.412110744977158,1.4650318582512007,1.540858434902093
Docosahexaenoic acid,-1.5697330316081683,-1.268775993026538,0.1564490922199207,0.06412547295144645,0.4574379643139152,0.5608521717445536,-0.5813899910725688,0.37531286863018004,0.14283185726882489,-0.6201635536885972,-0.9314521570446466,-1.2316864958759186,0.8927308279618775,1.11201099812404,-0.022525651628003445,2.46397562072978
Guanine,-0.9640737610954507,-0.9377061291613887,1.053710490945946,1.9766774473671798,1.0722480682604087,0.5199674862427236,0.2043922368904522,1.2327972766217576,-1.1136913085391795,-1.1641570195854567,-1.077130036717616,-1.1682058442066574,0.7051733517037516,-0.7018921284674191,0.2708726507986829,0.0910172189422563
Hypoxanthine,-1.5443785248569306,-1.4409788692813346,0.5849830208763416,0.8414777066801944,0.879684055096212,0.9018236008380532,0.9183010512533122,0.9622253534787231,-0.9579276934474272,-1.3936198263635868,-1.0341962688883226,-1.066374452825245,0.8720482036870988,-0.12833638614361162,0.8026345149482681,0.8026345149482681
Docosapentaenoic acid,-1.6709436746441928,-1.5749041105934747,0.2004920627135241,-0.0598685072882543,0.6285898211917771,0.7906057547690154,-0.042359598671682305,0.6471134582915811,0.14435036179591146,-0.7291456969258029,-0.6097786511191909,-1.4668605160734418,0.7252520040736224,0.7998594461894355,-0.01869259093862962,2.2362904372298114
Hypoxanthine (2),-1.4861210299374898,-1.4404818618126416,0.47348540810386297,0.693840860032123,0.9909064185321882,0.961025741099551,1.0370539806959136,0.9574976211966851,-0.9348847669004033,-1.3651243441304814,-1.0688972577187472,-1.0572601988067336,0.8713525695845592,-0.2411402112764192,0.8476869918064343,0.7610600795315945
