Feature_ID,Metabolite,log2FC_2N_G_vs_2N_C,p_2N_G_vs_2N_C,log2FC_4N_G_vs_4N_C,p_4N_G_vs_4N_C,Differential_response_2N_minus_4N,p_interaction,Order_category,Response_category,cat_order
Butyryl-L-carnitine;Isobutyryl-L-carnitine,Butyryl-L-carnitine;Isobutyryl-L-carnitine,-0.5056662294249605,0.02453047556205384,0.17045690648872025,0.1901021400056141,-0.6761231359136808,0.0028390428913800374,No strong response,No strong response,99
Aspartate | row_65,Aspartate,-0.6508009578579852,0.00012075574992035046,-0.2047146967264517,0.050654112921574894,-0.4460862611315335,0.0009908895728162955,No strong response,No strong response,99
Oleoyl-L-carnitine,Oleoyl-L-carnitine,-0.4093089361080793,0.15515492463546957,0.05539233343915129,0.8516940222576479,-0.46470126954723057,0.21550106936056043,No strong response,No strong response,99
Riboflavin,Riboflavin,-0.21239508715496314,0.7601620520136603,0.5206481922593351,0.17915183520979452,-0.7330432794142983,0.3350619413950329,No strong response,No strong response,99
Proline betaine,Proline betaine,-0.7434998817325535,0.004510226401608754,-0.18306929466053745,0.12676076481794216,-0.5604305870720161,0.004643007588549708,No strong response,No strong response,99
D-Glucuronic acid;D-(+)-Galacturonic acid,D-Glucuronic acid;D-(+)-Galacturonic acid,-0.30550320658652197,0.09371138283981537,0.237714686418542,0.016340428751566067,-0.543217893005064,0.005927728573212612,No strong response,No strong response,99
6-Oxopiperidine-2-carboxylic acid | row_70,6-Oxopiperidine-2-carboxylic acid,-0.8581215200240173,0.00046601951151205745,-0.5875677395353875,0.0012210120791462666,-0.27055378048862977,0.09890021736222429,No strong response,No strong response,99
Succinic acid,Succinic acid,-0.03975041291056414,0.7453254925442743,0.1865091013439759,0.2751595282704098,-0.22625951425454005,0.26613702691344093,No strong response,No strong response,99
D-Pantothenic acid | row_72,D-Pantothenic acid,-0.3331751050531828,0.021296985740956464,-0.2653612336198492,0.013797031172833473,-0.06781387143333362,0.5858681245230781,No strong response,No strong response,99
Docosahexaenoic acid | row_73,Docosahexaenoic acid,0.5639754449599614,0.16060927186392723,1.1651695641683517,0.032087710420996805,-0.6011941192083903,0.2681319133310991,4N up,4N-specific response,2
4-Guanidinobutanoate | row_74,4-Guanidinobutanoate,-1.2744916047473573,0.00018519597358900624,-0.5855780628561185,0.001008719385330756,-0.6889135418912389,0.0003488492325182588,2N down,2N-specific response,1
Cytidine 5'-Diphosphocholine (Citicoline) | row_75,Cytidine 5'-Diphosphocholine (Citicoline),1.2745775170771303,0.0113927693144897,0.5575942277553771,0.01802069120780549,0.7169832893217531,0.034054083272182685,2N up,2N-specific response,0
4-Hydroxyphenyl-2-propionic acid;Desaminotyrosine,4-Hydroxyphenyl-2-propionic acid;Desaminotyrosine,0.01244952255882481,0.9190805142302139,-0.230868257465616,0.03480472576573645,0.24331778002444082,0.11226240919324768,No strong response,No strong response,99
Chenodeoxycholic acid (CDCA);Deoxycholate (DCA),Chenodeoxycholic acid (CDCA);Deoxycholate (DCA),-0.46159826910194646,0.00953314684099105,0.242398937566092,0.3402102904875495,-0.7039972066680384,0.01694624723714283,No strong response,No strong response,99
L-Valine | row_78,L-Valine,-0.5851453650934317,0.01180840199195103,0.5529491326540459,0.35694568235215857,-1.1380944977474776,0.06171647513166198,No strong response,No strong response,99
