"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster"
5.29851037155254e-81,0.420782542535222,0.89,0.813,3.83092896883992e-76,"GRCh38-NFE2L1","NFE2L1","2"
5.99010811757661e-81,0.306913034478482,0.934,0.881,4.33096797117024e-76,"GRCh38-GLRX3","GLRX3","2"
6.05436408955015e-81,0.29036656005098,0.934,0.868,4.37742632402655e-76,"GRCh38-HSPA4","HSPA4","2"
8.18909843062964e-81,0.270784115403244,0.931,0.869,5.92088194731384e-76,"GRCh38-BTF3L4","BTF3L4","2"
8.22658529359175e-81,0.261325803953956,0.966,0.9,5.94798569897271e-76,"GRCh38-PTP4A2","PTP4A2","2"
9.17025675979823e-81,0.391837690174071,0.84,0.718,6.63027904246932e-76,"GRCh38-CD58","CD58","2"
1.14554678008001e-80,0.255273676340978,0.569,0.414,8.2825323293345e-76,"GRCh38-PPRC1","PPRC1","2"
1.16188443031235e-80,0.259558286186124,0.836,0.719,8.40065680804433e-76,"GRCh38-NETO2","NETO2","2"
1.23216181280272e-80,0.290221682705592,0.879,0.807,8.90877633892622e-76,"GRCh38-BOD1","BOD1","2"
1.23815620042474e-80,0.271628790610952,0.925,0.859,8.95211696031097e-76,"GRCh38-ARPC5L","ARPC5L","2"
1.63837547429843e-80,0.256656210264251,0.614,0.468,1.18457823542725e-75,"GRCh38-RRP9","RRP9","2"
1.91346563305584e-80,-0.697978717651858,0.503,0.62,1.38347392201203e-75,"GRCh38-PRXL2A","PRXL2A","2"
2.33945575827451e-80,0.319908088413994,0.994,0.973,1.69147330234764e-75,"GRCh38-ANXA5","ANXA5","2"
2.65120443859543e-80,0.250071036189579,0.779,0.665,1.91687383319327e-75,"GRCh38-EMG1","EMG1","2"
3.04845206554538e-80,0.301149748726244,0.939,0.875,2.20409181243062e-75,"GRCh38-SLC2A4RG","SLC2A4RG","2"
3.93330342234411e-80,0.454116233306039,0.869,0.792,2.84385704042324e-75,"GRCh38-ARHGAP29","ARHGAP29","2"
3.98179325253184e-80,0.277179027454917,0.961,0.917,2.87891615744557e-75,"GRCh38-COPS6","COPS6","2"
4.92231154655512e-80,0.265727518165516,0.91,0.836,3.55892969439028e-75,"GRCh38-GTF2A2","GTF2A2","2"
5.30782557307129e-80,0.311650663786365,0.903,0.826,3.837664045842e-75,"GRCh38-DYNC1LI1","DYNC1LI1","2"
5.72326040717073e-80,0.339471584458154,0.748,0.634,4.13803173959258e-75,"GRCh38-ARFRP1","ARFRP1","2"
5.93915528111338e-80,0.259314063990662,0.881,0.778,4.2941280513506e-75,"GRCh38-ATIC","ATIC","2"
7.46164743816661e-80,0.266442367547267,0.928,0.855,5.39492033074322e-75,"GRCh38-AK2","AK2","2"
7.70866071422699e-80,0.275952235615252,0.972,0.919,5.5735158696004e-75,"GRCh38-BRD4","BRD4","2"
7.83515718793316e-80,0.737129330251263,0.756,0.643,5.66497535001944e-75,"GRCh38-ITGA6","ITGA6","2"
9.32068146850287e-80,0.590580315154686,0.516,0.371,6.73903911535695e-75,"GRCh38-TMEM154","TMEM154","2"
9.47415861390945e-80,0.397071238732938,0.971,0.914,6.85000616102881e-75,"GRCh38-TEAD1","TEAD1","2"
1.0908753393667e-79,0.30635802735883,0.991,0.963,7.88724687868911e-75,"GRCh38-UQCRQ","UQCRQ","2"
1.10178364632149e-79,0.445469054064575,0.953,0.907,7.96611611963364e-75,"GRCh38-SELENOW","SELENOW","2"
1.22161340307001e-79,0.320188727548724,0.595,0.452,8.83250922687677e-75,"GRCh38-ARL4D","ARL4D","2"
1.30955191297952e-79,0.550611401109261,0.294,0.168,9.4683222412245e-75,"GRCh38-ENSG00000223786","ENSG00000223786","2"
