"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster"
5.65654390278251e-38,1.04800728336453,0.864,0.268,4.08979437258981e-33,"GRCm39-S100a8","S100a8","4c"
5.92739448125614e-38,-1.80218436835119,0.99,0.996,4.28562475783782e-33,"GRCh38-RPS4X","RPS4X","4c"
1.16350241675235e-37,1.21524414092692,0.718,0.229,8.41235517360284e-33,"GRCh38-MCM8","MCM8","4c"
1.67203165200625e-37,-1.7523187773276,0.99,0.995,1.20891232503356e-32,"GRCh38-RPL21","RPL21","4c"
1.97751090818242e-37,-1.60309550425413,1,0.999,1.42977993683405e-32,"GRCh38-EEF1A1","EEF1A1","4c"
2.14487290110843e-37,1.0014419488854,0.67,0.184,1.55078600495942e-32,"GRCh38-CENPU","CENPU","4c"
2.51656702212566e-37,-1.6435530829447,0.981,0.993,1.8195282883373e-32,"GRCh38-RPL30","RPL30","4c"
3.35794802486833e-37,-1.73439100741364,0.971,0.993,2.4278635809403e-32,"GRCh38-RPS13","RPS13","4c"
3.46380584337097e-37,-1.65871607641509,0.767,0.968,2.50440090087408e-32,"GRCh38-PSME1","PSME1","4c"
3.63024516105335e-37,0.877803527203763,0.592,0.156,2.62473985634479e-32,"GRCh38-MXD3","MXD3","4c"
3.98133446427444e-37,-1.67990460068371,0.971,0.994,2.8785844443597e-32,"GRCh38-RPL32","RPL32","4c"
4.14718577399204e-37,1.61644546171934,0.786,0.319,2.99849825831173e-32,"GRCh38-PARPBP","PARPBP","4c"
4.51225346555078e-37,1.03765562309965,0.621,0.172,3.26244950066252e-32,"GRCh38-ENSG00000280441","ENSG00000280441","4c"
5.36405659023207e-37,-1.52524509035919,0.961,0.99,3.87832019586959e-32,"GRCh38-NACA","NACA","4c"
6.24580529767121e-37,1.49585990058058,0.592,0.148,4.51584214632224e-32,"GRCh38-KRT5","KRT5","4c"
7.7470855412262e-37,-2.12091394901924,0.262,0.832,5.60129778801737e-32,"GRCh38-KIZ-AS1","KIZ-AS1","4c"
8.9262001010625e-37,0.828695775327029,0.524,0.125,6.45382119707021e-32,"GRCh38-DNMT3B","DNMT3B","4c"
1.01506007649916e-36,-1.68959411326049,0.99,0.996,7.33908736510419e-32,"GRCh38-RPL19","RPL19","4c"
1.0734322599189e-36,0.396111265896758,0.194,0.02,7.76112992566561e-32,"GRCh38-FBXO43","FBXO43","4c"
1.24812895414553e-36,-1.67737340331697,0.981,0.994,9.02422196426299e-32,"GRCh38-RPL8","RPL8","4c"
1.24821167229666e-36,1.00569390506507,0.864,0.269,9.02482003303929e-32,"GRCm39-Fth1","Fth1","4c"
1.39906772058777e-36,0.808859518215551,0.505,0.112,1.01155394333937e-31,"GRCh38-H3C2","H3C2","4c"
1.55152419058663e-36,-1.62600246499412,0.961,0.991,1.12178302027795e-31,"GRCh38-RPS11","RPS11","4c"
2.45840780568466e-36,0.838568583798463,0.816,0.243,1.77747801166612e-31,"GRCm39-Srgn","Srgn","4c"
