"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster","gene_key","lfc_value","p_val_adj_num","delta_pct","abs_logfc","abs_delta_pct"
0,1.14226408770454,0.421,0.09,0,"GRCh38-MDGA1","MDGA1",5,"MDGA1",1.14226408770454,0,0.331,1.14226408770454,0.331
1.10971771692951e-104,1.12898865477937,0.483,0.267,8.02348103694371e-100,"GRCh38-MX1","MX1",5,"MX1",1.12898865477937,8.02348103694371e-100,0.216,1.12898865477937,0.216
1.54756283871563e-29,1.11809781411055,0.281,0.185,1.11891888364818e-24,"GRCh38-CEMIP","CEMIP",5,"CEMIP",1.11809781411055,1.11891888364818e-24,0.096,1.11809781411055,0.096
5.59220040846855e-108,1.09613901632038,0.534,0.307,4.04327273933093e-103,"GRCh38-ENSG00000286533","ENSG00000286533",5,"ENSG00000286533",1.09613901632038,4.04327273933093e-103,0.227,1.09613901632038,0.227
6.73961091555545e-226,1.0946733599504,0.75,0.52,4.8728734841649e-221,"GRCh38-IRF1-AS1","IRF1-AS1",5,"IRF1-AS1",1.0946733599504,4.8728734841649e-221,0.23,1.0946733599504,0.23
1.81619820308635e-12,1.09420183892788,0.202,0.144,1.3131476247955e-07,"GRCh38-IL1B","IL1B",5,"IL1B",1.09420183892788,1.3131476247955e-07,0.058,1.09420183892788,0.058
1.82238760453403e-32,1.07792747801207,0.669,0.613,1.31762268583019e-27,"GRCh38-GLCCI1","GLCCI1",5,"GLCCI1",1.07792747801207,1.31762268583019e-27,0.056,1.07792747801207,0.056
1.06968737547321e-58,1.04026001790634,0.699,0.558,7.73405366214638e-54,"GRCh38-SDC4","SDC4",5,"SDC4",1.04026001790634,7.73405366214638e-54,0.141,1.04026001790634,0.141
6.81469706089494e-85,1.03052962766189,0.387,0.201,4.92716226896826e-80,"GRCh38-BRIP1","BRIP1",5,"BRIP1",1.03052962766189,4.92716226896826e-80,0.186,1.03052962766189,0.186
1.20127933941286e-210,1.02001108953716,0.845,0.69,8.68548987982286e-206,"GRCh38-STAT2","STAT2",5,"STAT2",1.02001108953716,8.68548987982286e-206,0.155,1.02001108953716,0.155
1.44469181136531e-223,1.0102073701382,0.675,0.368,1.04454107345334e-218,"GRCh38-MX2","MX2",5,"MX2",1.0102073701382,1.04454107345334e-218,0.307,1.0102073701382,0.307
1.34958474585518e-239,1.00385006599556,0.487,0.179,9.75776762948214e-235,"GRCh38-OAS2","OAS2",5,"OAS2",1.00385006599556,9.75776762948214e-235,0.308,1.00385006599556,0.308
9.11612880247325e-71,0.992303594579196,0.43,0.257,6.59114344676421e-66,"GRCh38-RBFOX1","RBFOX1",5,"RBFOX1",0.992303594579196,6.59114344676421e-66,0.173,0.992303594579196,0.173
2.47081101058591e-78,0.98677859693231,0.237,0.101,1.78644577687383e-73,"GRCh38-ENSG00000251293","ENSG00000251293",5,"ENSG00000251293",0.98677859693231,1.78644577687383e-73,0.136,0.98677859693231,0.136
2.66563043474173e-209,0.976619947580383,0.653,0.378,1.92730411692696e-204,"GRCh38-APOL2","APOL2",5,"APOL2",0.976619947580383,1.92730411692696e-204,0.275,0.976619947580383,0.275
1.43215828466479e-129,0.969081519922638,0.663,0.459,1.03547908297833e-124,"GRCh38-FAS","FAS",5,"FAS",0.969081519922638,1.03547908297833e-124,0.204,0.969081519922638,0.204
2.11353821820408e-182,0.968668607041122,0.472,0.217,1.52813040252591e-177,"GRCh38-RGS9","RGS9",5,"RGS9",0.968668607041122,1.52813040252591e-177,0.255,0.968668607041122,0.255
3.10423694417914e-114,0.959807102094884,0.468,0.251,2.2444253953804e-109,"GRCh38-OAS1","OAS1",5,"OAS1",0.959807102094884,2.2444253953804e-109,0.217,0.959807102094884,0.217
6.05819160911679e-115,0.950953705910008,0.543,0.352,4.38019369722362e-110,"GRCh38-MIIP","MIIP",5,"MIIP",0.950953705910008,4.38019369722362e-110,0.191,0.950953705910008,0.191
7.21343555507992e-40,0.941933451767819,0.623,0.499,5.21545817503388e-35,"GRCh38-CASC19","CASC19",5,"CASC19",0.941933451767819,5.21545817503388e-35,0.124,0.941933451767819,0.124
2.95381697307866e-110,0.934956791469575,0.792,0.66,2.13566874787533e-105,"GRCh38-CD276","CD276",5,"CD276",0.934956791469575,2.13566874787533e-105,0.132,0.934956791469575,0.132
8.87260167474489e-47,0.93317246922715,0.32,0.19,6.41506846287405e-42,"GRCh38-SAA2","SAA2",5,"SAA2",0.93317246922715,6.41506846287405e-42,0.13,0.93317246922715,0.13
2.03175268245993e-135,0.932817412791721,0.33,0.134,1.46899782447218e-130,"GRCh38-NRG2","NRG2",5,"NRG2",0.932817412791721,1.46899782447218e-130,0.196,0.932817412791721,0.196
