direction	metric	cancer_type	category_label	pvalue	pvalue_for_fdr	qvalue_bh
low_ploidy_sensitive	Z_SCORE	LIHC	Proapoptotic agents	0.81	0.81	1
low_ploidy_sensitive	Z_SCORE	LIHC	WNT/HH pathway inhibitors	0.29	0.29	0.798839378238342
low_ploidy_sensitive	Z_SCORE	LIHC	Chemotherapy agents	0.109	0.109	0.537869158878505
low_ploidy_sensitive	Z_SCORE	LIHC	Chaperone/protein-homeostasis inhibitors	0.31	0.31	0.814328358208955
low_ploidy_sensitive	Z_SCORE	LIHC	p53/MDM2 pathway	0.893	0.893	1
low_ploidy_sensitive	Z_SCORE	LIHC	Hormone therapy	0.248	0.248	0.762
low_ploidy_sensitive	Z_SCORE	LAML	Kinase inhibitors	0.016	0.016	0.2112
low_ploidy_sensitive	Z_SCORE	LAML	Epigenetic inhibitors	0.013	0.013	0.185513513513514
low_ploidy_sensitive	Z_SCORE	LAML	Other	0.974	0.974	1
low_ploidy_sensitive	Z_SCORE	LAML	DNA damage repair inhibitors	0.932	0.932	1
low_ploidy_sensitive	Z_SCORE	LAML	Metabolic/redox agents	0.306	0.306	0.81048
low_ploidy_sensitive	Z_SCORE	LAML	Proapoptotic agents	0.035	0.035	0.318620689655172
low_ploidy_sensitive	Z_SCORE	LAML	WNT/HH pathway inhibitors	0.792	0.792	1
low_ploidy_sensitive	Z_SCORE	LAML	Chemotherapy agents	0.924	0.924	1
low_ploidy_sensitive	Z_SCORE	LAML	Chaperone/protein-homeostasis inhibitors	0.841	0.841	1
low_ploidy_sensitive	Z_SCORE	LAML	p53/MDM2 pathway	0.585	0.585	1
low_ploidy_sensitive	Z_SCORE	LAML	Hormone therapy	0.072	0.072	0.463609756097561
low_ploidy_sensitive	Z_SCORE	SCLC	Kinase inhibitors	0	0.000999000999000999	0.0310588235294118
low_ploidy_sensitive	Z_SCORE	SCLC	Epigenetic inhibitors	0.598	0.598	1
low_ploidy_sensitive	Z_SCORE	SCLC	Other	0.849	0.849	1
low_ploidy_sensitive	Z_SCORE	SCLC	DNA damage repair inhibitors	0.979	0.979	1
low_ploidy_sensitive	Z_SCORE	SCLC	Metabolic/redox agents	0.48	0.48	0.951176470588235
low_ploidy_sensitive	Z_SCORE	SCLC	Proapoptotic agents	0.13	0.13	0.5808
low_ploidy_sensitive	Z_SCORE	SCLC	WNT/HH pathway inhibitors	0.401	0.401	0.914451063829787
low_ploidy_sensitive	Z_SCORE	SCLC	Chemotherapy agents	0.843	0.843	1
low_ploidy_sensitive	Z_SCORE	SCLC	Chaperone/protein-homeostasis inhibitors	0.121	0.121	0.575567567567568
low_ploidy_sensitive	Z_SCORE	SCLC	p53/MDM2 pathway	0.266	0.266	0.767740540540541
low_ploidy_sensitive	Z_SCORE	SCLC	Hormone therapy	0.202	0.202	0.701684210526316
low_ploidy_sensitive	Z_SCORE	ESCA	Kinase inhibitors	0.378	0.378	0.911342465753425
low_ploidy_sensitive	Z_SCORE	ESCA	Epigenetic inhibitors	0.439	0.439	0.935132530120482
low_ploidy_sensitive	Z_SCORE	ESCA	Other	0.809	0.809	1
low_ploidy_sensitive	Z_SCORE	ESCA	DNA damage repair inhibitors	0.263	0.263	0.767740540540541
low_ploidy_sensitive	Z_SCORE	ESCA	Metabolic/redox agents	0.053	0.053	0.401577464788732
low_ploidy_sensitive	Z_SCORE	ESCA	Proapoptotic agents	0.679	0.679	1
low_ploidy_sensitive	Z_SCORE	ESCA	WNT/HH pathway inhibitors	0.615	0.615	1
low_ploidy_sensitive	Z_SCORE	ESCA	Chemotherapy agents	0.968	0.968	1
low_ploidy_sensitive	Z_SCORE	ESCA	Chaperone/protein-homeostasis inhibitors	0.191	0.191	0.694356164383562
low_ploidy_sensitive	Z_SCORE	ESCA	p53/MDM2 pathway	0.554	0.554	1
low_ploidy_sensitive	Z_SCORE	ESCA	Hormone therapy	0.645	0.645	1
low_ploidy_sensitive	Z_SCORE	OV	Kinase inhibitors	0.993	0.993	1
low_ploidy_sensitive	Z_SCORE	OV	Epigenetic inhibitors	0.046	0.046	0.368
low_ploidy_sensitive	Z_SCORE	OV	Other	0	0.000999000999000999	0.0310588235294118
low_ploidy_sensitive	Z_SCORE	OV	DNA damage repair inhibitors	0.962	0.962	1
low_ploidy_sensitive	Z_SCORE	OV	Metabolic/redox agents	0.04	0.04	0.352
low_ploidy_sensitive	Z_SCORE	OV	Proapoptotic agents	0.082	0.082	0.498
low_ploidy_sensitive	Z_SCORE	OV	WNT/HH pathway inhibitors	0.947	0.947	1
low_ploidy_sensitive	Z_SCORE	OV	Chemotherapy agents	0.192	0.192	0.694356164383562
low_ploidy_sensitive	Z_SCORE	OV	Chaperone/protein-homeostasis inhibitors	0.457	0.457	0.943876447876448
low_ploidy_sensitive	Z_SCORE	OV	p53/MDM2 pathway	0.931	0.931	1
low_ploidy_sensitive	Z_SCORE	OV	Hormone therapy	0.901	0.901	1
low_ploidy_sensitive	Z_SCORE	LUSC	Kinase inhibitors	0.151	0.151	0.622875
low_ploidy_sensitive	Z_SCORE	LUSC	Epigenetic inhibitors	0.709	0.709	1
low_ploidy_sensitive	Z_SCORE	LUSC	Other	0.39	0.39	0.914451063829787
low_ploidy_sensitive	Z_SCORE	LUSC	DNA damage repair inhibitors	0.985	0.985	1
low_ploidy_sensitive	Z_SCORE	LUSC	Metabolic/redox agents	0.12	0.12	0.575567567567568
low_ploidy_sensitive	Z_SCORE	LUSC	Proapoptotic agents	0.005	0.005	0.101538461538462
low_ploidy_sensitive	Z_SCORE	LUSC	WNT/HH pathway inhibitors	0.028	0.028	0.294461538461538
low_ploidy_sensitive	Z_SCORE	LUSC	Chemotherapy agents	0.173	0.173	0.661859154929577
low_ploidy_sensitive	Z_SCORE	LUSC	Chaperone/protein-homeostasis inhibitors	0.273	0.273	0.774967741935484
low_ploidy_sensitive	Z_SCORE	LUSC	p53/MDM2 pathway	0.711	0.711	1
