DATASET	NLME_RESULT_ID	NLME_CURVE_ID	COSMIC_ID	CELL_LINE_NAME	SANGER_MODEL_ID	TCGA_DESC	DRUG_ID	DRUG_NAME	PUTATIVE_TARGET	PATHWAY_NAME	COMPANY_ID	WEBRELEASE	MIN_CONC	MAX_CONC	LN_IC50	AUC	RMSE	Z_SCORE	CELL_LINE_NAME_RAW	CELL_LINE_KEY	selected	selection_reason	selection_sort_columns
GDSC2	401	18952278	687780	CORL23	SIDM00512	UNCLASSIFIED	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-3.691352	0.890723	0.067586	0.423772	COR-L23	CORL23	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18952559	687787	LK2	SIDM00548	LUSC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-5.783836	0.734521	0.122747	-0.909542	LK-2	LK2	FALSE	not selected	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18953020	687798	NCIH1623	SIDM00747	LUAD	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-3.583533	0.903732	0.060004	0.492473	NCI-H1623	NCIH1623	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18953470	687800	NCIH1650	SIDM00745	LUAD	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-1.991299	0.934532	0.085715	1.507032	NCI-H1650	NCIH1650	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18953751	687802	NCIH1693	SIDM00742	LUAD	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-0.81635	0.947289	0.052518	2.2557	NCI-H1693	NCIH1693	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18954381	687812	NCIH2085	SIDM00709	LUAD	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-3.80396	0.884582	0.09211	0.352019	NCI-H2085	NCIH2085	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18954941	687816	NCIH2228	SIDM00729	LUAD	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-4.146531	0.836071	0.066009	0.133736	NCI-H2228	NCIH2228	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18955560	687821	NCIH2405	SIDM00724	LUAD	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	0.346067	0.959298	0.09435	2.996383	NCI-H2405	NCIH2405	FALSE	not selected	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18955841	687829	NCIH661	SIDM01122	UNCLASSIFIED	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-3.21284	0.92825	0.077921	0.728676	NCI-H661	NCIH661	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18956122	687980	CORL311	SIDM00509	SCLC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-5.466925	0.795174	0.112588	-0.707609	COR-L311	CORL311	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18956403	687983	DMS114	SIDM00865	SCLC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-4.343577	0.869365	0.093242	0.008179	DMS-114	DMS114	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18956685	687985	DMS273	SIDM00522	SCLC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-6.345625	0.683405	0.110703	-1.26751	DMS-273	DMS273	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18956966	687995	NCIH1048	SIDM00654	SCLC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-4.749162	0.851831	0.082137	-0.250256	NCI-H1048	NCIH1048	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18957247	687997	NCIH1092	SIDM00653	SCLC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-2.320514	0.954517	0.050726	1.297259	NCI-H1092	NCIH1092	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18957528	688006	NCIH1694	SIDM00741	SCLC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-2.797904	0.963761	0.089547	0.99307	NCI-H1694	NCIH1694	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18958040	688011	NCIH2029	SIDM00735	SCLC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-3.333602	0.944572	0.069798	0.651728	NCI-H2029	NCIH2029	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18958583	688014	NCIH2141	SIDM00699	SCLC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-2.746708	0.941084	0.05735	1.025692	NCI-H2141	NCIH2141	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18959295	688021	NCIH345	SIDM00719	SCLC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-0.166425	0.980387	0.06083	2.669827	NCI-H345	NCIH345	FALSE	not selected	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18959558	688023	NCIH446	SIDM00965	SCLC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-6.609865	0.65567	0.102846	-1.435881	NCI-H446	NCIH446	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
