collection_id	collection_label	pathway_id	pathway_label	ranking_id	pval	padj	log2err	ES	NES	size	direction	leading_edge_genes	model_id
C2:CP:REACTOME	Reactome	REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	Adp Signalling Through P2y Purinoceptor 1	primary_adjacent_state	0.00234209501387958	0.00427994942927818	0.431707695803346	-0.45492379654693	-1.857390058092	20	negative	GNG11;GNG10;GNB4;SRC;MAPK14;GNG5;GNA15;GNB2;GNB1;GNG2;GNAQ	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION	Egr2 and Sox10 Mediated Initiation of Schwann Cell Myelination	primary_adjacent_state	0.00239041321347412	0.00436048733612421	0.431707695803346	-0.420348750075673	-1.85537814157023	26	negative	SREBF2;HMGCR;HDAC2;PMP22;CYP51A1;DAG1;NAB1;LAMA2;SMARCA4	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_GPCR_LIGAND_BINDING	Gpcr Ligand Binding	primary_adjacent_state	0.00240144086451871	0.00437283646783815	0.29723292199973	0.355759248201299	1.39772626962068	209	positive	XK;PTGER3;ADRA2B;NTSR1;ACKR1;CXCL13;HCRTR2;DHH;GPR132;NMBR;WNT6;RLN3;NPSR1;P2RY14;GPR37L1;TACR2;GPR35;XCL1;NMU;CNR1;VIPR1;DRD2;HCAR2;LPAR5;EDN2;F2RL3;ACKR2;ADRB1;CCL28;GALR2;F2;GHRL;PLPPR3;TAS1R1;CCR1;PTAFR;PLPPR4;ACKR3;GRM8;CYSLTR2;CXCL5;TAS2R30;CCR10;PTGER4;CXCL9;GRM1;GLP2R;ACKR4;RRH;P2RY1;MTNR1A;GAL;CXCR5;WNT3A;CXCL12;OXTR;CCR7;TSHR;WNT4;LHCGR;GRPR;ADORA1;ADGRE3;NPFF;CALCB;HTR1F;KISS1R;HCAR3;TACR1;GIPR;SUCNR1;LPAR2;HRH2;CHRM2;LPAR6;S1PR5;ADM;CXCR2;C5AR2;NPBWR1;DRD4;CXCL16;SAA1;PYY;TAS2R4;GPR68;C3AR1;TACR3;C3;LPAR3;GPR143;ADRB2;BDKRB2;GPER1;WNT10B;ADRA1B;WNT2B;GNRH1;GIP;ADORA2A;F2RL2;CCL17;FZD2;OPRM1;EDN1;PSAP;UTS2B;FZD4;TAS2R20;PTCH2;OPN3;CCR3;C5;RAMP3;C5AR1;RAMP1;SSTR2;P2RY2;FZD6;UCN;MC1R;NPFFR2;APLN;GABBR2;UCN2;PTH2R;RXFP1;GPR37	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_MITOCHONDRIAL_UNFOLDED_PROTEIN_RESPONSE_UPRMT	Mitochondrial Unfolded Protein Response Uprmt	primary_adjacent_state	0.00244640289459155	0.00444682437654075	0.431707695803346	-0.51810169247296	-2.01281598505373	17	negative	HSPE1;HSPD1;HSPA9;ATF5;DNAJA1;HTRA2;AKT1;HSPA1A;LONP1;HSF1;NRF1;HSPA1B	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_SIGNAL_AMPLIFICATION	Signal Amplification	primary_adjacent_state	0.00248220543530126	0.00450393106370034	0.431707695803346	-0.410330858756253	-1.84560413185716	27	negative	GNG11;AAMP;GNG10;GNB4;SRC;MAPK14;GNG5;GNA13;GNA15;GNB2;GNB1;GNG2;GNAQ	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_PYRUVATE_METABOLISM	Pyruvate Metabolism	primary_adjacent_state	0.00254843457338012	0.00461594763114883	0.431707695803346	-0.328381761959337	-1.69236751007083	45	negative	MPC1;LDHB;RPS27A;GLO1;VDAC1;PDHA1;PDHB;UBA52;DLAT;ME1;PC;DLD;MPC2	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	Energy Dependent Regulation of Mtor by Lkb1 Ampk	primary_adjacent_state	0.002555344029246	0.0046203139402036	0.431707695803346	-0.404739501109098	-1.83210350079178	28	negative	LAMTOR1;LAMTOR5;PRKAG2;STRADA;MLST8;MTOR;LAMTOR2;PRKAG1;RPTOR;RHEB;STRADB	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_LATE_ENDOSOMAL_MICROAUTOPHAGY	Late Endosomal Microautophagy	primary_adjacent_state	0.00267305792845011	0.00482465815908307	0.431707695803346	-0.393602746183579	-1.83270370412026	31	negative	RPS27A;CHMP6;PARK7;VIM;UBA52;HSPA8;ARL13B;PCNT;MVB12A;MVB12B;HDAC6;CHMP2A;PLIN3;VPS37A;CHMP4B;CHMP2B;IFT88	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_MAP3K8_TPL2_DEPENDENT_MAPK1_3_ACTIVATION	Map3k8 Tpl2 Dependent Mapk1 3 Activation	primary_adjacent_state	0.00275268028964845	0.00495965378503326	0.431707695803346	-0.517712057058841	-1.95672095298225	16	negative	RPS27A;UBA52;MAP2K1;TNIP2;CUL1;IKBKG;CHUK	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Activated Pkn1 Stimulates Transcription of Ar Androgen Receptor Regulated Genes Klk2 and Klk3	primary_adjacent_state	0.00288943131705974	0.00519692813068363	0.431707695803346	-0.289972983566167	-1.56214093948225	55	negative	PKN1;H2AX;H4C3;H3C1;H3-3A;H2AC14;H3C3;H3C8;H3C7;H4C9;H3C2;H2BC12;H4C8;H2BC9;KDM1A;H4C2;H2BC21;H2AJ;H3-3B;H2AC20;H3C10;H2AC4;H4C4;H4C5;H4C16;H2BC3;H2BC17;H3C14;H2AC8	ETP_reference_balanced_threshold_2_24
