cancer_type	drug	metric	n_raw	pearson_r_raw	pearson_p_raw	pearson_fdr_raw	spearman_rho_raw	spearman_p_raw	spearman_fdr_raw	n_normalized	pearson_r_normalized	pearson_p_normalized	pearson_fdr_normalized	spearman_rho_normalized	spearman_p_normalized	spearman_fdr_normalized	n_delta	pearson_r_delta	spearman_rho_delta	delta_status
LGG	VSP34_8731	Z_SCORE	5							5							0			unchanged
LGG	VTP-A	Z_SCORE	8							8							0			unchanged
LGG	VTP-B	Z_SCORE	8							8							0			unchanged
LGG	VX-11e	Z_SCORE	10	0.0779396844871515	0.830538847045729	0.865731171073091	-0.175757575757576	0.627188344776484	0.771441664075076	10	0.0779396844871515	0.830538847045729	0.865731171073091	-0.175757575757576	0.627188344776484	0.771441664075076	0	0	0	unchanged
LGG	Wee1 Inhibitor	Z_SCORE	10	-0.454161510160372	0.187324531130248	0.514017405370395	-0.418181818181818	0.229112840982819	0.606775107257297	10	-0.454161510160372	0.187324531130248	0.514017405370395	-0.418181818181818	0.229112840982819	0.606775107257297	0	0	0	unchanged
LGG	WEHI-539	Z_SCORE	10	-0.603856903267294	0.06450022431723	0.49950618206512	-0.309090909090909	0.384841230261283	0.654977704818807	10	-0.603856903267294	0.06450022431723	0.49950618206512	-0.309090909090909	0.384841230261283	0.654977704818807	0	0	0	unchanged
LGG	WIKI4	Z_SCORE	10	-0.250975406943469	0.484285279076114	0.627021992909074	-0.0909090909090909	0.802771731207162	0.889557864310639	10	-0.250975406943469	0.484285279076114	0.627021992909074	-0.0909090909090909	0.802771731207162	0.889557864310639	0	0	0	unchanged
LGG	Wnt-C59	Z_SCORE	7							7							0			unchanged
LGG	WZ4003	Z_SCORE	7							7							0			unchanged
LGG	XAV939	Z_SCORE	7							7							0			unchanged
LGG	YK-4-279	Z_SCORE	10	-0.352759074007119	0.317407053476465	0.555916402033968	-0.357575757575757	0.31037609170568	0.615746117416108	10	-0.352759074007119	0.317407053476465	0.555916402033968	-0.357575757575757	0.31037609170568	0.615746117416108	0	0	0	unchanged
LGG	ZM447439	Z_SCORE	10	0.0914405803699094	0.80163785211987	0.842747485561915	-0.151515151515151	0.676065175997854	0.791962063311772	10	0.0914405803699094	0.80163785211987	0.842747485561915	-0.151515151515151	0.676065175997854	0.791962063311772	0	0	0	unchanged
LGG	Zoledronate	Z_SCORE	5							5							0			unchanged
LIHC	123138	Z_SCORE	12	-0.345198474550611	0.271787921535938	0.992103240001164	-0.405594405594406	0.1908358740045	0.983877963405878	12	-0.345198474550611	0.271787921535938	0.992103240001164	-0.405594405594406	0.1908358740045	0.983877963405878	0	0	0	unchanged
LIHC	123829	Z_SCORE	12	-0.448451928737436	0.143682820271887	0.992103240001164	-0.454545454545455	0.13765791634773	0.983877963405878	12	-0.448451928737436	0.143682820271887	0.992103240001164	-0.454545454545455	0.13765791634773	0.983877963405878	0	0	0	unchanged
LIHC	150412	Z_SCORE	12	-0.255739024322358	0.422393147937615	0.992103240001164	-0.27972027972028	0.378568669662303	0.983877963405878	12	-0.255739024322358	0.422393147937615	0.992103240001164	-0.27972027972028	0.378568669662303	0.983877963405878	0	0	0	unchanged
LIHC	5-azacytidine	Z_SCORE	11	-0.00120238918248748	0.997200590860627	0.999006803343017	-0.363636363636364	0.271637540993822	0.983877963405878	11	-0.00120238918248748	0.997200590860627	0.999006803343017	-0.363636363636364	0.271637540993822	0.983877963405878	0	0	0	unchanged
LIHC	5-Fluorouracil	Z_SCORE	12	-0.343366581946351	0.274509555564193	0.992103240001164	-0.020979020979021	0.948402225236522	0.983877963405878	12	-0.343366581946351	0.274509555564193	0.992103240001164	-0.020979020979021	0.948402225236522	0.983877963405878	0	0	0	unchanged
LIHC	50869	Z_SCORE	12	0.150879665134843	0.639736355654239	0.992103240001164	0.104895104895105	0.745609480980708	0.983877963405878	12	0.150879665134843	0.639736355654239	0.992103240001164	0.104895104895105	0.745609480980708	0.983877963405878	0	0	0	unchanged
LIHC	615590	Z_SCORE	12	0.0941202006022866	0.771090170753218	0.992103240001164	0.230769230769231	0.470531995381542	0.983877963405878	12	0.0941202006022866	0.771090170753218	0.992103240001164	0.230769230769231	0.470531995381542	0.983877963405878	0	0	0	unchanged
LIHC	630600	Z_SCORE	12	-0.110919179806178	0.731463283838912	0.992103240001164	-0.0909090909090909	0.778725396245443	0.983877963405878	12	-0.110919179806178	0.731463283838912	0.992103240001164	-0.0909090909090909	0.778725396245443	0.983877963405878	0	0	0	unchanged
LIHC	667880	Z_SCORE	12	0.414120364224344	0.180781035025173	0.992103240001164	0.391608391608392	0.208063463695353	0.983877963405878	12	0.414120364224344	0.180781035025173	0.992103240001164	0.391608391608392	0.208063463695353	0.983877963405878	0	0	0	unchanged
