Feature_ID,Metabolite,comparison,group_a,group_b,log2FC,fold_change,p_value,FDR_BH
4-Guanidinobutanoate | row_85,4-Guanidinobutanoate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.2678387925195196,0.4152814132101004,0.00033724241507627394,0.00749248906870105
Citrulline | row_86,Citrulline,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.1430923679120184,0.9055760020586632,0.2497383416632623,0.39423577680622013
Pipecolate,Pipecolate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.9058105212806566,0.5337327630847287,0.09840639974675765,0.2082861913922404
O-Phosphorylethanolamine | row_88,O-Phosphorylethanolamine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.2634687613511737,0.8330824775129042,0.06552369231476657,0.1546359138628491
5-Oxo-D-Proline;5-Oxo-L-Proline,5-Oxo-D-Proline;5-Oxo-L-Proline,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.6313992949731428,0.6455499814360727,0.004782242084311939,0.02786689214562019
Glycine | row_90,Glycine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.48977154952261515,0.7121378557607918,0.00657161325948757,0.032989495133302536
Taurine | row_91,Taurine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.6607632527353751,0.632543563501445,0.00017487498498509806,0.005194455085610017
L-Histidine,L-Histidine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.1882807362871368,0.43882549875500054,0.22921917703799524,0.37566476236782553
N-Acetylcysteine,N-Acetylcysteine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.3775029029732835,0.7697687970075411,0.03894908743622744,0.10688354226685672
Pseudouridine | row_94,Pseudouridine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.1760575688518351,1.1297922965492069,0.4444200859867699,0.6004886825333153
N-Acetyl-L-Leucine | row_95,N-Acetyl-L-Leucine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.620575223627057,0.6504115474121281,0.001277767919386624,0.013793941279796293
N-Acetyl-L-Methionine | row_96,N-Acetyl-L-Methionine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.6464491517293034,0.6388507583462374,9.832012754118667e-06,0.0015469033399813368
(S)-Dihydroorotate,(S)-Dihydroorotate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-3.5906122490381804,0.08300762923591226,9.399010515148674e-07,0.0004436332963150174
Oxalic acid,Oxalic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.7689858888406711,0.5868298289598917,0.06865070355602072,0.15883888273745972
Taurine | row_99,Taurine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.6933068161310665,0.6184347036304724,0.0003272880544111229,0.00749248906870105
3-(2-Hydroxyphenyl)propanoate,3-(2-Hydroxyphenyl)propanoate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.2641644816539461,1.2009403388820814,0.08231399100237762,0.18070792443312667
N-Formylphenylalanine | row_101,N-Formylphenylalanine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.6857198931269579,0.6216955282100639,2.5597942233060176e-05,0.0021481822668074084
Docosadienoate (22:2n6),Docosadienoate (22:2n6),Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.8016584879823831,1.7431038060251014,0.013435916427722154,0.05241117813127981
Trans-4-Hydroxy-L-Proline,Trans-4-Hydroxy-L-Proline,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.38313546161105094,0.7667693307775727,0.011508710058121827,0.04868553591730684
D-Pantothenic acid | row_104,D-Pantothenic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.2371037166633414,0.8484469038909688,0.004705143905307358,0.02776034904131341
