Feature_ID,Metabolite,oneway_F,oneway_p,oneway_FDR_BH
Myristic acid,Myristic acid,3.5418476630254974,0.04812433176703069,0.07403798152607775
Heptadecanoate;15-Methylpalmitate,Heptadecanoate;15-Methylpalmitate,15.657228993158359,0.0001891525206386734,0.0007142399179316306
DL-Kynurenine | row_364,DL-Kynurenine,2.3604909228332356,0.1227643482118914,0.1641494967592429
N-Acetyl-b-glucosaminylamine,N-Acetyl-b-glucosaminylamine,3.940988467588954,0.03605939729713448,0.05889285648528537
Gamma-linolenic acid,Gamma-linolenic acid,6.931003685414466,0.005830402308388104,0.012681796726079195
Uridine 5'-diphosphate | row_367,Uridine 5'-diphosphate,13.532680246220012,0.0003708588725481096,0.001207209571329019
PE(16:0/16:0),PE(16:0/16:0),3.821465795306729,0.03926157338309545,0.06324731275365547
Cytidine 5'-diphosphate | row_369,Cytidine 5'-diphosphate,4.253906257459642,0.02901022437822,0.0492547694479131
Hydroxyoctanoic acid,Hydroxyoctanoic acid,16.901893646623748,0.000131690256943051,0.0005405026198010441
Dipalmitoyl-Phosphatidylcholine,Dipalmitoyl-Phosphatidylcholine,3.0846505982680537,0.06809623251331619,0.09859331824013877
Caprylic acid,Caprylic acid,3.130828723216585,0.06569478315174522,0.09570351125809798
Allantoin,Allantoin,0.7058231430368092,0.5667131925239279,0.6038117988065327
Cytidine 5'-triphosphate (CTP),Cytidine 5'-triphosphate (CTP),1.5642095334227064,0.24923403803926486,0.3008656418274502
5-Hydroxyindoleacetate | row_375,5-Hydroxyindoleacetate,4.003001920050962,0.034517496794882745,0.05696593876637991
Nonanoate,Nonanoate,12.234606907374552,0.0005826018946748661,0.0017627441941444665
2-Keto-3-deoxy-6-phosphogluconic acid | row_377,2-Keto-3-deoxy-6-phosphogluconic acid,4.369576986971061,0.026818451011928927,0.04670962685472492
Stearoylethanolamide,Stearoylethanolamide,10.309473016861597,0.0012197891524575713,0.0032164272623462216
DHAP;Dihydroxyacetone phosphate (DHAP),DHAP;Dihydroxyacetone phosphate (DHAP),10.989191639935113,0.0009299305465276278,0.0025819248115355312
Threitol;Erythritol,Threitol;Erythritol,1.2619701212819725,0.33129322056652427,0.3786208235045992
Acetyl-CoA | row_381,Acetyl-CoA,6.379651435608502,0.00785577487691746,0.0162628322013379
5-Hydroxyindoleacetate | row_382,5-Hydroxyindoleacetate,5.22841071134643,0.01540355746371194,0.028511682834792298
Glycerol 2-phosphate,Glycerol 2-phosphate,0.6846916236478219,0.5783631728716994,0.6147642258269107
DL-Kynurenine | row_384,DL-Kynurenine,4.605616848238794,0.022914050576907485,0.0409675449708346
4-Hydroxy-3-Methoxyphenylglycol,4-Hydroxy-3-Methoxyphenylglycol,1.865565578357797,0.1892252951262183,0.23628132089834666
Cytidine | row_386,Cytidine,0.45681729697699824,0.7174207786340591,0.7458647742627222
8-Hydroxyoctanoate,8-Hydroxyoctanoate,17.909167751611466,9.973940930303148e-05,0.00043189909349569596
Diethyl 2-Methyl-3-Oxosuccinate,Diethyl 2-Methyl-3-Oxosuccinate,6.685826268124904,0.006645166288916807,0.014002314680217558
L-Serine | row_389,L-Serine,32.253097940165894,5.0345310858712986e-06,4.097066676778022e-05
Adenosine 5'-monophosphate | row_390,Adenosine 5'-monophosphate,9.757441697382344,0.0015347075448682037,0.003958371372556241
Hydrocinnamic acid | row_391,Hydrocinnamic acid,5.830172946848065,0.01073497994696458,0.02111212722903034
3-Methoxy-L-tyrosine,3-Methoxy-L-tyrosine,1.7339521156079118,0.2131829387484846,0.26203736221167895
GTP | row_393,GTP,0.9044279970325085,0.4675822854239877,0.5120622708123485
Sphingomyelin,Sphingomyelin,25.76858736273945,1.6235883601168676e-05,0.00010793432478523403
1-Methylnicotinamide,1-Methylnicotinamide,13.406181369656098,0.00038698343955922954,0.0012425590712377983
Omega-hydroxydodecanoic acid;3-Hydroxydodecanoic acid,Omega-hydroxydodecanoic acid;3-Hydroxydodecanoic acid,9.365196104019931,0.0018166207922596833,0.004560877733758354
Propionate,Propionate,3.1697747056961783,0.06374495225064412,0.09342797559515184
10-Hydroxydecanoate;(R)-3-Hydroxydecanoic acid,10-Hydroxydecanoate;(R)-3-Hydroxydecanoic acid,9.708459771348949,0.001566970775600363,0.0040196206852357134
Ribose 1-phosphate,Ribose 1-phosphate,9.585147191293794,0.0016517542904317991,0.004214205540993563
NADP | row_400,NADP,12.59346553700398,0.0005124575106416492,0.0015809146733520157
17-Methyloctadecanoic acid,17-Methyloctadecanoic acid,7.20920432420556,0.005042835925974058,0.011236734724430736
Arachidic acid,Arachidic acid,2.4066149704198545,0.11806132138351429,0.1592141248371964
L-Methionine | row_403,L-Methionine,3.0898371271059193,0.06782153865265053,0.09849774228938785
N-Acetyl-Glucosamine-6-phosphate | row_404,N-Acetyl-Glucosamine-6-phosphate,16.855349844356375,0.0001334342232488537,0.0005429392532194737
NADP | row_405,NADP,13.299519121645442,0.00040121720440214055,0.0012795575707960159
2-Hydroxymyristic acid;3-Hydroxytetradecanoic acid,2-Hydroxymyristic acid;3-Hydroxytetradecanoic acid,15.394858987180498,0.00020474016046915353,0.0007609240609562242
6-Oxopiperidine-2-carboxylic acid | row_407,6-Oxopiperidine-2-carboxylic acid,6.003547719251413,0.009711048592155583,0.019342796898214408
Xylulose 5-phosphate;Ribose 1-phosphate,Xylulose 5-phosphate;Ribose 1-phosphate,15.533729767206339,0.0001963106533345624,0.0007353859394755035
3-Hydroxy-3-methylglutarate,3-Hydroxy-3-methylglutarate,20.4993746353937,5.1513239195877236e-05,0.0002559394621100427
2-Methylpropanoate,2-Methylpropanoate,1.9617736793059546,0.17362378533333778,0.22089063794430036
N-Methyl-L-Glutamate | row_411,N-Methyl-L-Glutamate,2.0955413106465235,0.15428554045904558,0.1995144523196425
4-Hydroxycyclohexylcarboxylic acid,4-Hydroxycyclohexylcarboxylic acid,6.524607775138318,0.007253219814250418,0.015215643343671988
13-Methylmyristic acid,13-Methylmyristic acid,23.89858020058197,2.385760232788475e-05,0.00014624400388002078
Guanosine diphosphate mannose | row_414,Guanosine diphosphate mannose,10.851044747198547,0.000981692620057917,0.0027097012670604494
Sn-glycerol 3-phosphate | row_415,Sn-glycerol 3-phosphate,5.948604474000062,0.010022735477206916,0.019793854164191063
Retinoate | row_416,Retinoate,8.377198020416502,0.002839798255984671,0.006838697840942677
Xylitol;Ribitol;L-Arabitol,Xylitol;Ribitol;L-Arabitol,3.9709605248472197,0.03530444112408454,0.05806165927027143
Phenylalanylalanine,Phenylalanylalanine,15.074146687117876,0.00022587311234142842,0.0008329071017590173
6-Hydroxydopamine,6-Hydroxydopamine,9.306024940737725,0.00186419482682226,0.004655555334709559
Anandamide,Anandamide,13.613910978829304,0.00036091738850395615,0.0011909492491818654
