Feature_ID,Metabolite,log2FC_2N_G_vs_C,FC_2N_G_vs_C,log2FC_4N_G_vs_C,FC_4N_G_vs_C,Differential_response_delta_log2FC_2N_minus_4N,p_interaction,FDR_interaction_BH
(R)-3-hydroxybutyrylcarnitine,(R)-3-hydroxybutyrylcarnitine,-0.048493062986807445,0.9669458046913472,0.4341150961572744,1.3510818676248748,-0.48260815914408184,0.012128258950974701,0.07532287137973763
L-carnitine | row_54,L-carnitine,-0.3341971808164601,0.7932254214381707,0.02308086570657686,1.016127097187426,-0.35727804652303696,0.07230350257890696,0.2256248735130847
Glycine | row_55,Glycine,-0.5805054155449554,0.6687294621249094,0.10398362876819078,1.0747369770223443,-0.6844890443131462,0.0002220045904901625,0.0055150614058608795
Hypotaurine | row_56,Hypotaurine,-0.9203941542028211,0.5283646477058597,-0.06954485121865162,0.9529385885462186,-0.8508493029841695,6.698310255696695e-05,0.002514418615471565
Eicosapentaenoic acid,Eicosapentaenoic acid,0.4382217124218428,1.354933186724238,1.4781452919320976,2.785903511912656,-1.0399235795102548,0.06115124429921157,0.2018418692952997
Tartaric acid;Meso-Tartrate,Tartaric acid;Meso-Tartrate,-0.1439476612338204,0.9050392957266592,-0.04849979729442211,0.966941291128111,-0.0954478639393983,0.8747713618213995,0.9278473770330349
Cytidine 5'-Diphosphocholine (Citicoline) | row_59,Cytidine 5'-Diphosphocholine (Citicoline),0.7006827415455561,1.6252737559114527,0.5057666914088799,1.4198777213375153,0.19491605013667623,0.46393191042370296,0.6887091891844632
Aspartate | row_60,Aspartate,-0.7577889252585592,0.5914020193749643,-0.28766110476141193,0.8192291156839219,-0.4701278204971473,0.0025950141645241054,0.02904371917173508
Deoxycarnitine | row_61,Deoxycarnitine,-0.45452392170159506,0.7297509446060897,0.13128907703968373,1.0952719116554206,-0.5858129987412788,0.004466016433158456,0.038412439876960656
Cytidine | row_62,Cytidine,-0.8583445104995846,0.5515851377028893,0.03876292561600536,1.0272326230006679,-0.89710743611559,0.05519629153446047,0.1915636000313628
Pseudouridine | row_63,Pseudouridine,0.04098477724441807,1.028815852172554,0.33332423179895443,1.2599131014523723,-0.29233945455453636,0.25558339066275426,0.4984932247637191
Butyryl-L-carnitine;Isobutyryl-L-carnitine,Butyryl-L-carnitine;Isobutyryl-L-carnitine,-0.5056662294249605,0.7043350440229579,0.17045690648872025,1.125414851014345,-0.6761231359136808,0.0028390428913800374,0.029134167619838405
Aspartate | row_65,Aspartate,-0.6508009578579852,0.6369266054990499,-0.2047146967264517,0.8677102661036621,-0.4460862611315335,0.0009908895728162955,0.015589995945643049
Oleoyl-L-carnitine,Oleoyl-L-carnitine,-0.4093089361080793,0.7529839734246803,0.05539233343915129,1.0391416540639606,-0.46470126954723057,0.21550106936056043,0.4520733543919312
Riboflavin,Riboflavin,-0.21239508715496314,0.8631031623440167,0.5206481922593351,1.434599658304134,-0.7330432794142983,0.3350619413950329,0.5730044794871577
Proline betaine,Proline betaine,-0.7434998817325535,0.5972886110754817,-0.18306929466053745,0.8808270657550474,-0.5604305870720161,0.004643007588549708,0.03844736108413092
D-Glucuronic acid;D-(+)-Galacturonic acid,D-Glucuronic acid;D-(+)-Galacturonic acid,-0.30550320658652197,0.809159935388719,0.237714686418542,1.179123380686138,-0.543217893005064,0.005927728573212612,0.04663146477593922
6-Oxopiperidine-2-carboxylic acid | row_70,6-Oxopiperidine-2-carboxylic acid,-0.8581215200240173,0.5516704001698696,-0.5875677395353875,0.6654638770414766,-0.27055378048862977,0.09890021736222429,0.26983180690734027
Succinic acid,Succinic acid,-0.03975041291056414,0.9728232318457066,0.1865091013439759,1.1380067393028486,-0.22625951425454005,0.26613702691344093,0.508266116836461
D-Pantothenic acid | row_72,D-Pantothenic acid,-0.3331751050531828,0.7937875802490129,-0.2653612336198492,0.831990388165376,-0.06781387143333362,0.5858681245230781,0.7833704101271752
Docosahexaenoic acid | row_73,Docosahexaenoic acid,0.5639754449599614,1.4783372693797923,1.1651695641683517,2.2425957194030093,-0.6011941192083903,0.2681319133310991,0.508266116836461
4-Guanidinobutanoate | row_74,4-Guanidinobutanoate,-1.2744916047473573,0.413370802281785,-0.5855780628561185,0.6663822772363946,-0.6889135418912389,0.0003488492325182588,0.00748440171584628
Cytidine 5'-Diphosphocholine (Citicoline) | row_75,Cytidine 5'-Diphosphocholine (Citicoline),1.2745775170771303,2.41927960596639,0.5575942277553771,1.471812842033188,0.7169832893217531,0.034054083272182685,0.1385648905557778
4-Hydroxyphenyl-2-propionic acid;Desaminotyrosine,4-Hydroxyphenyl-2-propionic acid;Desaminotyrosine,0.01244952255882481,1.0086666916441913,-0.230868257465616,0.8521219047093707,0.24331778002444082,0.11226240919324768,0.29602154826375926
Chenodeoxycholic acid (CDCA);Deoxycholate (DCA),Chenodeoxycholic acid (CDCA);Deoxycholate (DCA),-0.46159826910194646,0.7261813232639784,0.242398937566092,1.1829580694836876,-0.7039972066680384,0.01694624723714283,0.08789701863660897
L-Valine | row_78,L-Valine,-0.5851453650934317,0.6665821707390787,0.5529491326540459,1.4670816160739841,-1.1380944977474776,0.06171647513166198,0.20228769292144003
Coenzyme A,Coenzyme A,-0.14700522465986054,0.903123239522792,0.2940849443153084,1.2261070497778057,-0.44109016897516895,0.0033156407598368253,0.030095816127749645
Trimethylacetic acid;Pentanoate,Trimethylacetic acid;Pentanoate,-0.011731346179601587,0.9919014220896617,-0.11936416740977407,0.9205932902304552,0.10763282123017248,0.631804360745222,0.8123843263638016
N-Acetylmuramate,N-Acetylmuramate,-0.5001251026992044,0.7070454673751543,0.051203134621188084,1.0361286424716731,-0.5513282373203925,0.022286687689577256,0.10519316589480465
Ectoine,Ectoine,-0.6769016628332096,0.6255071745048744,-0.0069494584513130064,0.9951945855945713,-0.6699522043818966,0.0017566615308367236,0.021339701496177074
Nicotinamide,Nicotinamide,-0.11116266334055425,0.9258416283357485,0.32712947296911565,1.2545147844226368,-0.4382921363096699,0.34062799108352826,0.5743489901398715
Uridine 5'-monophosphate | row_84,Uridine 5'-monophosphate,-1.5631304136665563,0.3384159769753416,-0.297509437494071,0.8136558201296654,-1.2656209761724853,0.00822858445872749,0.05884684643211176
4-Guanidinobutanoate | row_85,4-Guanidinobutanoate,-1.2678387925195196,0.4152814132101004,-0.5526756178623238,0.6817545752197929,-0.7151631746571958,0.0004388626788897333,0.008630966018164755
Citrulline | row_86,Citrulline,-0.1430923679120184,0.9055760020586632,-0.16916060277791445,0.8893599832617516,0.026068234865896045,0.8409572713469834,0.9040592963330748
Pipecolate,Pipecolate,-0.9058105212806566,0.5337327630847287,-0.46513352055692536,0.7244040310182669,-0.4406770007237313,0.36823974728869285,0.5966585100222457
O-Phosphorylethanolamine | row_88,O-Phosphorylethanolamine,-0.2634687613511737,0.8330824775129042,-0.7808936168735592,0.5820061822681997,0.5174248555223855,0.0033000638608616096,0.030095816127749645
