drug	metric	n	n_cancer_types	n_tissues	beta_ploidy	se_ploidy	t_ploidy	p_ploidy	fdr_ploidy	model_formula	model_status	rank_deficient	skipped_reason	notes
Dactolisib	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Daporinad	Z_SCORE	358	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Dasatinib	Z_SCORE	619	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Dihydrorotenone	Z_SCORE	488	29	29	0.0360504179473323	0.0655895394243896	0.549636699139968	0.582836486875809	0.849969876693888	response ~ ploidy + TCGA_DESC	ok	FALSE		
Dinaciclib	Z_SCORE	570	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Docetaxel	Z_SCORE	624	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Doramapimod	Z_SCORE	618	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Eg5_9814	Z_SCORE	491	29	29	0.207405524151642	0.0589501052669552	3.51832321948209	0.000477355031253585	0.0501222782816264	response ~ ploidy + TCGA_DESC	ok	FALSE		
EHT-1864	Z_SCORE	607	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Elephantin	Z_SCORE	490	29	29	0.107584966142974	0.05682426498547	1.89329270111077	0.0589462801193428	0.361235100357239	response ~ ploidy + TCGA_DESC	ok	FALSE		
Elesclomol	Z_SCORE	111	22	22						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Entinostat	Z_SCORE	575	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Entospletinib	Z_SCORE	571	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Epirubicin	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
EPZ004777	Z_SCORE	622	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
EPZ5676	Z_SCORE	619	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
ERK_2440	Z_SCORE	493	29	29	0.0301273738901997	0.0607454983158544	0.495960601616081	0.620157549469838	0.856796614399118	response ~ ploidy + TCGA_DESC	ok	FALSE		
ERK_6604	Z_SCORE	493	29	29	0.0306814522434698	0.0599797856618577	0.511529874688777	0.609223938546916	0.856796614399118	response ~ ploidy + TCGA_DESC	ok	FALSE		
Erlotinib	Z_SCORE	614	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Fludarabine	Z_SCORE	490	29	29	0.122347250487966	0.0573336850558947	2.13395058016399	0.0333750883941231	0.349548496682175	response ~ ploidy + TCGA_DESC	ok	FALSE		
Foretinib	Z_SCORE	613	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Fulvestrant	Z_SCORE	622	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Gallibiscoquinazole	Z_SCORE	490	29	29	0.0296916131624508	0.0620209746196187	0.478735030278912	0.632354611897638	0.862301743496779	response ~ ploidy + TCGA_DESC	ok	FALSE		
GDC0810	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Gefitinib	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Gemcitabine	Z_SCORE	621	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
glutathione	Z_SCORE	510	29	29	0.0188890155633673	0.061651318276739	0.306384617415295	0.759444670540084	0.895974049513582	response ~ ploidy + TCGA_DESC	ok	FALSE		
GNE-317	Z_SCORE	605	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
GSK-LSD1	Z_SCORE	490	29	29	0.0225700199282735	0.0608278190848074	0.371047659900578	0.710772855422278	0.87122995156634	response ~ ploidy + TCGA_DESC	ok	FALSE		
GSK-LSD1-2HCl 	Z_SCORE	513	29	29	0.0199911348832448	0.0576967318053836	0.346486434460043	0.729128068777488	0.87122995156634	response ~ ploidy + TCGA_DESC	ok	FALSE		
GSK1904529A	Z_SCORE	622	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
GSK2110183B	Z_SCORE	490	29	29	0.0532424182163157	0.0624930860662125	0.851972939212899	0.39467244029721	0.727140059737556	response ~ ploidy + TCGA_DESC	ok	FALSE		
GSK2256098C	Z_SCORE	490	29	29	0.0283393424225656	0.0549072681427642	0.51613098558975	0.606010930095006	0.856796614399118	response ~ ploidy + TCGA_DESC	ok	FALSE		
GSK2276186C	Z_SCORE	490	29	29	0.0426341879482772	0.0567467411095709	0.751306367813367	0.452852485777862	0.771906392374443	response ~ ploidy + TCGA_DESC	ok	FALSE		
GSK2578215A	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
GSK2606414	Z_SCORE	567	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
GSK269962A	Z_SCORE	149	22	22						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
GSK2801	Z_SCORE	490	29	29	0.0777307859108495	0.0590412530313208	1.31655041043275	0.18864494108302	0.564273605381136	response ~ ploidy + TCGA_DESC	ok	FALSE		
GSK2830371	Z_SCORE	509	29	29	0.0570025717873171	0.0498777568005195	1.14284553764702	0.253673617540878	0.619435577716098	response ~ ploidy + TCGA_DESC	ok	FALSE		
GSK2830371A	Z_SCORE	490	29	29	0.105719903312233	0.0542013170940005	1.95050432314928	0.0517229488106357	0.361235100357239	response ~ ploidy + TCGA_DESC	ok	FALSE		
GSK3337463A	Z_SCORE	490	29	29	0.0366832856738228	0.0579772818912917	0.632718273040197	0.527232022763485	0.822626181156883	response ~ ploidy + TCGA_DESC	ok	FALSE		
GSK343	Z_SCORE	622	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
GSK591	Z_SCORE	612	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
GSK626616AC	Z_SCORE	490	29	29	0.0781406035482395	0.0553546436358866	1.41163592457094	0.158733230879341	0.505060280070631	response ~ ploidy + TCGA_DESC	ok	FALSE		
GW441756	Z_SCORE	616	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
HKMTI-1-005	Z_SCORE	513	29	29	-0.0399243362245133	0.0558682627162007	-0.714615674149753	0.475191789170779	0.771906392374443	response ~ ploidy + TCGA_DESC	ok	FALSE		
I-BET-762	Z_SCORE	571	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
I-BRD9	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
IAP_5620	Z_SCORE	491	29	29	0.0933363037462075	0.0641396437322862	1.45520458666384	0.146293217575423	0.495464188312741	response ~ ploidy + TCGA_DESC	ok	FALSE		
Ibrutinib	Z_SCORE	568	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
ICL-SIRT078	Z_SCORE	512	29	29	-0.0402688307445645	0.0568398509557626	-0.70846123041218	0.479001357902062	0.771906392374443	response ~ ploidy + TCGA_DESC	ok	FALSE		
IGF1R_3801	Z_SCORE	492	29	29	0.0634568626888092	0.0621168425964783	1.02157257253135	0.307517870264511	0.657913409491437	response ~ ploidy + TCGA_DESC	ok	FALSE		
IOX2	Z_SCORE	111	22	22						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Ipatasertib	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
IRAK4_4710	Z_SCORE	493	29	29	0.100287996136006	0.0638276954008004	1.57123009856859	0.116812308769084	0.408843080691794	response ~ ploidy + TCGA_DESC	ok	FALSE		
Irinotecan	Z_SCORE	622	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
