cancer	drug	correlation
UNCLASSIFIED	I-BET-762	-0.0439738564801314
UNCLASSIFIED	TW 37	-0.0425855548356558
UNCLASSIFIED	LJI308	-0.0384376628904556
UNCLASSIFIED	Entospletinib	-0.0372697600684029
UNCLASSIFIED	SGC-CBP30	-0.036769475277141
UNCLASSIFIED	BDOCA000347a	-0.0353267014478353
UNCLASSIFIED	JAK_8517	-0.0292518325436417
UNCLASSIFIED	UMI-77	-0.0285866411220458
UNCLASSIFIED	BMS-345541	-0.0278329470687546
UNCLASSIFIED	ML323	-0.027671443162587
UNCLASSIFIED	IGF1R_3801	-0.0264122664135062
UNCLASSIFIED	GSK591	-0.0231484841640719
UNCLASSIFIED	Obatoclax Mesylate	-0.0225584924134713
UNCLASSIFIED	PRT062607	-0.0214357567406598
UNCLASSIFIED	PFI-1	-0.0174621507174422
UNCLASSIFIED	Refametinib	-0.00816079062682929
UNCLASSIFIED	AZD2014	-0.00760530933048906
UNCLASSIFIED	SB590885	-0.00728963790244531
UNCLASSIFIED	AZ960	-0.00543549111000553
UNCLASSIFIED	VTP-A	-0.00298474948995805
UNCLASSIFIED	Entinostat	-0.00169949784181284
UNCLASSIFIED	BI-2536	-0.000584722179916814
UNCLASSIFIED	RVX-208	0.00267691416595722
UNCLASSIFIED	LCL161	0.00404954073542588
UNCLASSIFIED	Linsitinib	0.00432721513493131
UNCLASSIFIED	EPZ5676	0.00632824485593918
UNCLASSIFIED	Selumetinib	0.00759403553872518
UNCLASSIFIED	UNC0638	0.00847116034321498
UNCLASSIFIED	CZC24832	0.00969123722274925
UNCLASSIFIED	GSK1904529A	0.0123300924482338
UNCLASSIFIED	PD0325901	0.0147560933036311
UNCLASSIFIED	BMS-754807	0.0161150930479051
UNCLASSIFIED	GSK343	0.0167568845461733
UNCLASSIFIED	VTP-B	0.0171535846447596
UNCLASSIFIED	Sabutoclax	0.0187308053989118
UNCLASSIFIED	AZD5153	0.0189549466864873
UNCLASSIFIED	BMS-536924	0.0206755716878215
UNCLASSIFIED	Trametinib	0.0213251929148852
UNCLASSIFIED	WEHI-539	0.0216211072794464
UNCLASSIFIED	Vinorelbine	0.0229975836432646
UNCLASSIFIED	Doramapimod	0.0238526008835994
UNCLASSIFIED	MIRA-1	0.0243678413209469
UNCLASSIFIED	Methotrexate	0.0260131509642845
UNCLASSIFIED	ERK_2440	0.0270231773940362
UNCLASSIFIED	PD173074	0.0275811215899282
UNCLASSIFIED	ERK_6604	0.0288475063817775
UNCLASSIFIED	Sepantronium bromide	0.0307979153948625
UNCLASSIFIED	MK-1775	0.0341291573980564
UNCLASSIFIED	Tozasertib	0.0378144208575377
UNCLASSIFIED	Bromosporine	0.0387551856762382
UNCLASSIFIED	Leflunomide	0.0403392453697114
UNCLASSIFIED	TAF1_5496	0.0406692468601561
UNCLASSIFIED	I-BRD9	0.040831215826763
UNCLASSIFIED	Crizotinib	0.040996844544334
UNCLASSIFIED	ULK1_4989	0.0425183269417732
UNCLASSIFIED	MN-64	0.0442418887274276
UNCLASSIFIED	NVP-ADW742	0.0443995223908348
UNCLASSIFIED	HKMTI-1-005	0.0456409389457892
UNCLASSIFIED	NU7441	0.0461901781184129
UNCLASSIFIED	JQ1	0.0469069668168884
UNCLASSIFIED	Dasatinib	0.0474219073784706
UNCLASSIFIED	BX795	0.0483534290450753
UNCLASSIFIED	765771	0.0489761574420524
UNCLASSIFIED	P22077	0.0494775379392477
UNCLASSIFIED	Rapamycin	0.0497513929670627
UNCLASSIFIED	776928	0.0503077069176602
UNCLASSIFIED	Serdemetan	0.0503547082783191
UNCLASSIFIED	EHT-1864	0.0517627574172023
UNCLASSIFIED	GSK-LSD1	0.0524927994824779
UNCLASSIFIED	Ruxolitinib	0.0529888092129203
UNCLASSIFIED	BDILV000379a	0.054451279574101
UNCLASSIFIED	PAK_5339	0.0549083224777105
UNCLASSIFIED	UNC0379	0.05678710076147
UNCLASSIFIED	AZD1332	0.0571641130221835
UNCLASSIFIED	Avagacestat	0.0582069856185805
UNCLASSIFIED	PFI3	0.058421299908461
UNCLASSIFIED	Staurosporine	0.0601356258027165
UNCLASSIFIED	N-acetyl cysteine	0.0605077618855833
UNCLASSIFIED	alpha-lipoic acid	0.0609993541121942
UNCLASSIFIED	Temozolomide	0.0611642441303988
UNCLASSIFIED	ZM447439	0.0617301136336459
UNCLASSIFIED	Teniposide	0.0626338464627096
UNCLASSIFIED	Pyridostatin	0.0631111141268697
UNCLASSIFIED	Romidepsin	0.0632138625123686
UNCLASSIFIED	POMHEX	0.0638575853622385
UNCLASSIFIED	XAV939	0.0639140290971086
UNCLASSIFIED	GSK2578215A	0.0652136389597087
UNCLASSIFIED	CCT-018159	0.0662590547622077
UNCLASSIFIED	MG-132	0.0666924813410308
UNCLASSIFIED	AMG-319	0.0682663615007543
UNCLASSIFIED	Docetaxel	0.068792532309881
UNCLASSIFIED	Gallibiscoquinazole	0.0688385465584728
UNCLASSIFIED	Dinaciclib	0.0694736678092717
UNCLASSIFIED	Alpelisib	0.0711552196182021
UNCLASSIFIED	N29087-69-1	0.0732939390031723
UNCLASSIFIED	OF-1	0.0735431134763436
UNCLASSIFIED	EPZ004777	0.0735667960705703
UNCLASSIFIED	VE-822	0.0758271517354338
UNCLASSIFIED	Fulvestrant	0.0767736232831342
UNCLASSIFIED	Wnt-C59	0.0785596922732529
UNCLASSIFIED	ICL-SIRT078	0.0787282607522736
UNCLASSIFIED	BDF00022089a	0.0796085954500031
UNCLASSIFIED	Cyclophosphamide	0.0796255598626523
UNCLASSIFIED	AZD8186	0.0810204699101125
UNCLASSIFIED	Bosutinib	0.0817266627222184
UNCLASSIFIED	IWP-2	0.0839429261450248
UNCLASSIFIED	Fludarabine	0.0839719944447866
UNCLASSIFIED	SB505124	0.0862536027933826
UNCLASSIFIED	AZD5582	0.0868036948745817
UNCLASSIFIED	Dihydrorotenone	0.0875042618221481
UNCLASSIFIED	Vorinostat	0.0876027299472616
UNCLASSIFIED	Daporinad	0.0880607718429971
UNCLASSIFIED	A-366	0.0889811991184274
UNCLASSIFIED	MK-8776	0.0909492271084467
UNCLASSIFIED	LGK974	0.0922861007840026
UNCLASSIFIED	L-Oxonoreleagnine	0.0928638457855996
UNCLASSIFIED	Ribociclib	0.0929560845309235
UNCLASSIFIED	Lestaurtinib	0.0938939760056614
UNCLASSIFIED	Pictilisib	0.0942680228671799
UNCLASSIFIED	RO-3306	0.0945086093369499
UNCLASSIFIED	GSK-LSD1-2HCl 	0.0949211607867598
UNCLASSIFIED	Dactolisib	0.0957136050528753
UNCLASSIFIED	JAK1_8709	0.09611698989172
UNCLASSIFIED	VE821	0.0961268392941312
UNCLASSIFIED	WZ4003	0.0969038764726502
UNCLASSIFIED	Alisertib	0.096904071940365
UNCLASSIFIED	N27922-53-1	0.0978447506836973
UNCLASSIFIED	Vismodegib	0.0984779649425769
UNCLASSIFIED	AT13148	0.0990211110307931
UNCLASSIFIED	Ulixertinib	0.0992891924408322
UNCLASSIFIED	GSK269962A	0.0999389384513586
UNCLASSIFIED	Pevonedistat	0.100295717549939
UNCLASSIFIED	50869	0.102946858710791
UNCLASSIFIED	GW441756	0.105381698176727
UNCLASSIFIED	Gefitinib	0.107773317776987
UNCLASSIFIED	GDC0810	0.108105574850405
UNCLASSIFIED	Luminespib	0.108245622518658
UNCLASSIFIED	PF-4708671	0.10886385579386
UNCLASSIFIED	GSK3337463A	0.108919628407737
UNCLASSIFIED	LY2109761	0.109704086965126
UNCLASSIFIED	Lenalidomide	0.11017731192702
