direction	metric	cancer_type	group	pvalue
low_ploidy_sensitive	Z_SCORE	OV	Metabolism	0.293333333333333
low_ploidy_sensitive	Z_SCORE	OV	Hormone related	0.866666666666667
low_ploidy_sensitive	Z_SCORE	OV	p53 pathway	0.6
low_ploidy_sensitive	Z_SCORE	OV	Other reviewed	0
low_ploidy_sensitive	Z_SCORE	LUSC	Signaling	0.06
low_ploidy_sensitive	Z_SCORE	LUSC	Epigenetics and transcription	0.106666666666667
low_ploidy_sensitive	Z_SCORE	LUSC	Genome integrity and DNA damage	0.983333333333333
low_ploidy_sensitive	Z_SCORE	LUSC	Cell cycle and mitosis	1
low_ploidy_sensitive	Z_SCORE	LUSC	Apoptosis regulation	0
low_ploidy_sensitive	Z_SCORE	LUSC	Protein stability and degradation	0.793333333333333
low_ploidy_sensitive	Z_SCORE	LUSC	Metabolism	0.17
low_ploidy_sensitive	Z_SCORE	LUSC	Hormone related	0.0866666666666667
low_ploidy_sensitive	Z_SCORE	LUSC	p53 pathway	0.606666666666667
low_ploidy_sensitive	Z_SCORE	LUSC	Other reviewed	0.123333333333333
low_ploidy_sensitive	Z_SCORE	LGG	Signaling	0.276666666666667
low_ploidy_sensitive	Z_SCORE	LGG	Epigenetics and transcription	1
low_ploidy_sensitive	Z_SCORE	LGG	Genome integrity and DNA damage	1
low_ploidy_sensitive	Z_SCORE	LGG	Cell cycle and mitosis	0.116666666666667
low_ploidy_sensitive	Z_SCORE	LGG	Apoptosis regulation	0.193333333333333
low_ploidy_sensitive	Z_SCORE	LGG	Protein stability and degradation	0.716666666666667
low_ploidy_sensitive	Z_SCORE	LGG	Metabolism	0.28
low_ploidy_sensitive	Z_SCORE	LGG	Hormone related	0.883333333333333
low_ploidy_sensitive	Z_SCORE	LGG	p53 pathway	0.45
low_ploidy_sensitive	Z_SCORE	LGG	Other reviewed	0.403333333333333
high_ploidy_sensitive	Z_SCORE	allcancers	Signaling	0
high_ploidy_sensitive	Z_SCORE	allcancers	Epigenetics and transcription	0.363333333333333
high_ploidy_sensitive	Z_SCORE	allcancers	Genome integrity and DNA damage	0.976666666666667
high_ploidy_sensitive	Z_SCORE	allcancers	Cell cycle and mitosis	0.966666666666667
high_ploidy_sensitive	Z_SCORE	allcancers	Apoptosis regulation	0.533333333333333
high_ploidy_sensitive	Z_SCORE	allcancers	Protein stability and degradation	0.00666666666666667
high_ploidy_sensitive	Z_SCORE	allcancers	Metabolism	0.403333333333333
high_ploidy_sensitive	Z_SCORE	allcancers	Hormone related	0.413333333333333
high_ploidy_sensitive	Z_SCORE	allcancers	p53 pathway	0.813333333333333
high_ploidy_sensitive	Z_SCORE	allcancers	Other reviewed	0.943333333333333
high_ploidy_sensitive	Z_SCORE	STAD	Signaling	0.303333333333333
high_ploidy_sensitive	Z_SCORE	STAD	Epigenetics and transcription	0
high_ploidy_sensitive	Z_SCORE	STAD	Genome integrity and DNA damage	0.99
high_ploidy_sensitive	Z_SCORE	STAD	Cell cycle and mitosis	0.743333333333333
high_ploidy_sensitive	Z_SCORE	STAD	Apoptosis regulation	0.623333333333333
high_ploidy_sensitive	Z_SCORE	STAD	Protein stability and degradation	0.856666666666667
high_ploidy_sensitive	Z_SCORE	STAD	Metabolism	0.53
high_ploidy_sensitive	Z_SCORE	STAD	Hormone related	0.04
high_ploidy_sensitive	Z_SCORE	STAD	p53 pathway	0.42
high_ploidy_sensitive	Z_SCORE	STAD	Other reviewed	0.85
high_ploidy_sensitive	Z_SCORE	GBM	Signaling	0
high_ploidy_sensitive	Z_SCORE	GBM	Epigenetics and transcription	0.466666666666667
high_ploidy_sensitive	Z_SCORE	GBM	Genome integrity and DNA damage	1
high_ploidy_sensitive	Z_SCORE	GBM	Cell cycle and mitosis	0.24
high_ploidy_sensitive	Z_SCORE	GBM	Apoptosis regulation	0.763333333333333
high_ploidy_sensitive	Z_SCORE	GBM	Protein stability and degradation	0.726666666666667
high_ploidy_sensitive	Z_SCORE	GBM	Metabolism	0.963333333333333
high_ploidy_sensitive	Z_SCORE	GBM	Hormone related	0.226666666666667
high_ploidy_sensitive	Z_SCORE	GBM	p53 pathway	0.953333333333333
high_ploidy_sensitive	Z_SCORE	GBM	Other reviewed	0.653333333333333
high_ploidy_sensitive	Z_SCORE	BLCA	Signaling	0.0466666666666667
high_ploidy_sensitive	Z_SCORE	BLCA	Epigenetics and transcription	0
high_ploidy_sensitive	Z_SCORE	BLCA	Genome integrity and DNA damage	0.99
high_ploidy_sensitive	Z_SCORE	BLCA	Cell cycle and mitosis	0.98
high_ploidy_sensitive	Z_SCORE	BLCA	Apoptosis regulation	0.38
high_ploidy_sensitive	Z_SCORE	BLCA	Protein stability and degradation	0.956666666666667
high_ploidy_sensitive	Z_SCORE	BLCA	Metabolism	0.136666666666667
high_ploidy_sensitive	Z_SCORE	BLCA	Hormone related	0.133333333333333
high_ploidy_sensitive	Z_SCORE	BLCA	p53 pathway	0.663333333333333
high_ploidy_sensitive	Z_SCORE	BLCA	Other reviewed	0.86
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Signaling	0.216666666666667
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Epigenetics and transcription	0.00333333333333333
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Genome integrity and DNA damage	0.923333333333333
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Cell cycle and mitosis	0.456666666666667
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Apoptosis regulation	0.03
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Protein stability and degradation	0.453333333333333
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Metabolism	0.17
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Hormone related	0.973333333333333
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	p53 pathway	0.563333333333333
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Other reviewed	0.88
high_ploidy_sensitive	Z_SCORE	KIRC	Signaling	0.163333333333333
high_ploidy_sensitive	Z_SCORE	KIRC	Epigenetics and transcription	0.74
high_ploidy_sensitive	Z_SCORE	KIRC	Genome integrity and DNA damage	0.586666666666667
high_ploidy_sensitive	Z_SCORE	KIRC	Cell cycle and mitosis	0.23
high_ploidy_sensitive	Z_SCORE	KIRC	Apoptosis regulation	0.23
high_ploidy_sensitive	Z_SCORE	KIRC	Protein stability and degradation	0.0466666666666667
high_ploidy_sensitive	Z_SCORE	KIRC	Metabolism	0.57
high_ploidy_sensitive	Z_SCORE	KIRC	Hormone related	0.23
high_ploidy_sensitive	Z_SCORE	KIRC	p53 pathway	0.756666666666667
high_ploidy_sensitive	Z_SCORE	KIRC	Other reviewed	0.956666666666667
high_ploidy_sensitive	Z_SCORE	THCA	Signaling	0.0833333333333333
high_ploidy_sensitive	Z_SCORE	THCA	Epigenetics and transcription	0.246666666666667
high_ploidy_sensitive	Z_SCORE	THCA	Genome integrity and DNA damage	0.553333333333333
high_ploidy_sensitive	Z_SCORE	THCA	Cell cycle and mitosis	0.806666666666667
high_ploidy_sensitive	Z_SCORE	THCA	Apoptosis regulation	0.933333333333333
high_ploidy_sensitive	Z_SCORE	THCA	Protein stability and degradation	0.07
high_ploidy_sensitive	Z_SCORE	THCA	Metabolism	0.846666666666667
high_ploidy_sensitive	Z_SCORE	THCA	Hormone related	0.233333333333333
high_ploidy_sensitive	Z_SCORE	THCA	p53 pathway	0.81
high_ploidy_sensitive	Z_SCORE	THCA	Other reviewed	1
high_ploidy_sensitive	Z_SCORE	SKCM	Signaling	0.623333333333333
high_ploidy_sensitive	Z_SCORE	SKCM	Epigenetics and transcription	0.02
high_ploidy_sensitive	Z_SCORE	SKCM	Genome integrity and DNA damage	0.98
high_ploidy_sensitive	Z_SCORE	SKCM	Cell cycle and mitosis	0.3
high_ploidy_sensitive	Z_SCORE	SKCM	Apoptosis regulation	0.176666666666667
high_ploidy_sensitive	Z_SCORE	SKCM	Protein stability and degradation	0.996666666666667
high_ploidy_sensitive	Z_SCORE	SKCM	Metabolism	0.763333333333333
high_ploidy_sensitive	Z_SCORE	SKCM	Hormone related	0.433333333333333
high_ploidy_sensitive	Z_SCORE	SKCM	p53 pathway	0.446666666666667
high_ploidy_sensitive	Z_SCORE	SKCM	Other reviewed	0.1
high_ploidy_sensitive	Z_SCORE	DLBC	Signaling	1
high_ploidy_sensitive	Z_SCORE	DLBC	Epigenetics and transcription	0.853333333333333
high_ploidy_sensitive	Z_SCORE	DLBC	Genome integrity and DNA damage	0.0833333333333333
high_ploidy_sensitive	Z_SCORE	DLBC	Cell cycle and mitosis	0.0866666666666667
high_ploidy_sensitive	Z_SCORE	DLBC	Apoptosis regulation	0.72
high_ploidy_sensitive	Z_SCORE	DLBC	Protein stability and degradation	0.303333333333333
high_ploidy_sensitive	Z_SCORE	DLBC	Metabolism	0.0433333333333333
high_ploidy_sensitive	Z_SCORE	DLBC	Hormone related	0.396666666666667
high_ploidy_sensitive	Z_SCORE	DLBC	p53 pathway	0.676666666666667
high_ploidy_sensitive	Z_SCORE	DLBC	Other reviewed	0.00333333333333333
high_ploidy_sensitive	Z_SCORE	LUAD	Signaling	0.00333333333333333
high_ploidy_sensitive	Z_SCORE	LUAD	Epigenetics and transcription	0.363333333333333
high_ploidy_sensitive	Z_SCORE	LUAD	Genome integrity and DNA damage	0.00333333333333333
high_ploidy_sensitive	Z_SCORE	LUAD	Cell cycle and mitosis	0.883333333333333
high_ploidy_sensitive	Z_SCORE	LUAD	Apoptosis regulation	0.0766666666666667
high_ploidy_sensitive	Z_SCORE	LUAD	Protein stability and degradation	0.09
high_ploidy_sensitive	Z_SCORE	LUAD	Metabolism	0.646666666666667
high_ploidy_sensitive	Z_SCORE	LUAD	Hormone related	0.653333333333333
high_ploidy_sensitive	Z_SCORE	LUAD	p53 pathway	0.236666666666667
high_ploidy_sensitive	Z_SCORE	LUAD	Other reviewed	1
high_ploidy_sensitive	Z_SCORE	ALL	Signaling	0
high_ploidy_sensitive	Z_SCORE	ALL	Epigenetics and transcription	0.03
high_ploidy_sensitive	Z_SCORE	ALL	Genome integrity and DNA damage	0.983333333333333
high_ploidy_sensitive	Z_SCORE	ALL	Cell cycle and mitosis	0.92
