drug	drug_key	drug_id_list	approved_final_category_id	approved_final_display_label	legacy_group_used_for_enrichment	pubchem_category	gdsc_putative_target	gdsc_pathway_name	assignment_source	include_in_enrichment	included_in_enrichment	exclusion_reason	exclusion_reason_code	low_count_filter_status	low_count_filter_reason	category_source	category_mode	analysis_metric	schema_version	schema_checksum	curated_mapping_version	curated_mapping_checksum	curation_status	evidence_summary	analysis_mode
BMS-345541	BMS-345541	1249	OTHER_REVIEWED	Other reviewed	SIGNALING	SIGNALING	IKK-1, IKK-2	Other	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Other; target: "IKK-1, IKK-2"	manuscript
BMS-536924	BMS-536924	1091	SIGNALING	Signaling	SIGNALING	SIGNALING	IGF1R, IR	IGF1R signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: IGF1R signaling; target: "IGF1R, IR"	manuscript
BMS-754807	BMS-754807	2171	SIGNALING	Signaling	SIGNALING	SIGNALING	IGF1R, IR	IGF1R signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: IGF1R signaling; target: "IGF1R, IR"	manuscript
Bortezomib	BORTEZOMIB	1191	PROTEIN_DEGRADATION	Protein stability and degradation	SIGNALING	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Proteasome Inhibitors; Targeted therapies	Proteasome	Protein stability and degradation	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Protein stability and degradation; target: Proteasome	manuscript
Bosutinib	BOSUTINIB	1019	SIGNALING	Signaling	TYROSINE KINASE INHIBITORS	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors	SRC, ABL, TEC	Other, kinases	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: "Other, kinases"; target: "SRC, ABL, TEC"	manuscript
BPD-00008900	BPD-00008900	1998	OTHER_REVIEWED	Other reviewed				Other	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Other; target: 	manuscript
Bromosporine	BROMOSPORINE	1581	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	CECR2, BRD2, BRD4, BRD9	Chromatin other	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Chromatin other; target: "CECR2, BRD2, BRD4, BRD9"	manuscript
Buparlisib	BUPARLISIB	1873	SIGNALING	Signaling	SIGNALING	SIGNALING	PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma	PI3K/MTOR signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: PI3K/MTOR signaling; target: "PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma"	manuscript
BX795	BX795	1037	SIGNALING	Signaling			TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC	Other, kinases	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: "Other, kinases"; target: "TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC"	manuscript
Camptothecin	CAMPTOTHECIN	1003	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	CYTOTOXIC	CYTOTOXIC	TOP1	DNA replication	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: DNA replication; target: TOP1	manuscript
CCT-018159	CCT-018159	1170	PROTEIN_DEGRADATION	Protein stability and degradation			HSP90	Protein stability and degradation	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Protein stability and degradation; target: HSP90	manuscript
CCT007093	CCT007093	1067	CELL_CYCLE_MITOSIS	Cell cycle and mitosis			PPM1D	Cell cycle	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Cell cycle; target: PPM1D	manuscript
CDK9_5038	CDK9_5038	1709	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	CDK9	Cell cycle	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Cell cycle; target: CDK9	manuscript
CDK9_5576	CDK9_5576	1708	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	CDK9	Cell cycle	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Cell cycle; target: CDK9	manuscript
Cediranib	CEDIRANIB	1922	SIGNALING	Signaling	SIGNALING	SIGNALING	VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB	RTK signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: RTK signaling; target: "VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB"	manuscript
CHIR-99021	CHIR-99021	2175	SIGNALING	Signaling			GSK3A, GSK3B	WNT signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: WNT signaling; target: "GSK3A, GSK3B"	manuscript
Cisplatin	CISPLATIN	1005	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	CYTOTOXIC	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Platinum Compounds; Cytotoxic medicines	DNA crosslinker	DNA replication	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: DNA replication; target: DNA crosslinker	manuscript
CPI-637	CPI-637	2158	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EP300	Chromatin histone methylation	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Chromatin histone methylation; target: EP300	manuscript
Crizotinib	CRIZOTINIB	1083	SIGNALING	Signaling	SIGNALING	Signaling	MET, ALK, ROS1	RTK signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: RTK signaling; target: "MET, ALK, ROS1"	manuscript
CT7033-2	CT7033-2	2149	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription			KDM4A, KDM4C, KDM4E, KDM3A, KDM6B	Chromatin histone methylation	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Chromatin histone methylation; target: "KDM4A, KDM4C, KDM4E, KDM3A, KDM6B"	manuscript
Cyclophosphamide	CYCLOPHOSPHAMIDE	1512	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	CYTOTOXIC	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Alkylating Agents; Cytotoxic medicines	Alkylating agent	DNA replication	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: DNA replication; target: Alkylating agent	manuscript
Cytarabine	CYTARABINE	1006	OTHER_REVIEWED	Other reviewed	CYTOTOXIC	Breast Feeding; Lactation; Milk, Human; Antimetabolites, Antineoplastic; Immunosuppressive Agents; Nucleosides; Cytotoxic medicines	Antimetabolite	Other	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Other; target: Antimetabolite	manuscript
CZC24832	CZC24832	1615	SIGNALING	Signaling			PI3Kgamma	PI3K/MTOR signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: PI3K/MTOR signaling; target: PI3Kgamma	manuscript
Dabrafenib	DABRAFENIB	1373	SIGNALING	Signaling	SIGNALING	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors;	BRAF	ERK MAPK signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: ERK MAPK signaling; target: BRAF	manuscript
Dacarbazine	DACARBAZINE	1815	OTHER_REVIEWED	Other reviewed	CYTOTOXIC	Cytotoxic	CP11A	Other	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Other; target: CP11A	manuscript
Dactinomycin	DACTINOMYCIN	1811;1911	OTHER_REVIEWED	Other reviewed	CYTOTOXIC	Breast Feeding; Lactation; Antineoplastic Agents; Antibiotics, Antineoplastic; Protein Synthesis Inhibitors; Nucleic Acid Synthesis Inhibitors;; Cytotoxic medicines	RNA polymerase	Other	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Other; target: RNA polymerase	manuscript
Dactolisib	DACTOLISIB	1057	SIGNALING	Signaling	SIGNALING	SIGNALING	PI3K (class 1), MTORC1, MTORC2	PI3K/MTOR signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: PI3K/MTOR signaling; target: "PI3K (class 1), MTORC1, MTORC2"	manuscript
Daporinad	DAPORINAD	1248	METABOLISM	Metabolism			NAMPT	Metabolism	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Metabolism; target: NAMPT	manuscript
Dasatinib	DASATINIB	1079	SIGNALING	Signaling	SIGNALING	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors; Targeted therapies	ABL, SRC, Ephrins, PDGFR, KIT	Other, kinases	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: "Other, kinases"; target: "ABL, SRC, Ephrins, PDGFR, KIT"	manuscript
Dihydrorotenone	DIHYDROROTENONE	1827	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
Dinaciclib	DINACICLIB	1180	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	SIGNALING	Signaling	CDK1, CDK2, CDK5, CDK9	Cell cycle	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Cell cycle; target: "CDK1, CDK2, CDK5, CDK9"	manuscript
Docetaxel	DOCETAXEL	1007;1819	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	CYTOTOXIC	CYTOTOXIC	Microtubule stabiliser	Mitosis	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Mitosis; target: Microtubule stabiliser	manuscript
Doramapimod	DORAMAPIMOD	1042	SIGNALING	Signaling	SIGNALING	Signaling	p38, JNK2	JNK and p38 signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: JNK and p38 signaling; target: "p38, JNK2"	manuscript
Eg5_9814	EG5_9814	1712	OTHER_REVIEWED	Other reviewed			KSP11	Other	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Other; target: KSP11	manuscript
EHT-1864	EHT-1864	1069	CELL_CYCLE_MITOSIS	Cell cycle and mitosis			RAC1, RAC2, RAC3	Cytoskeleton	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Cytoskeleton; target: "RAC1, RAC2, RAC3"	manuscript
Elephantin	ELEPHANTIN	1835	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
Elesclomol	ELESCLOMOL	1031	PROTEIN_DEGRADATION	Protein stability and degradation	SIGNALING	Signaling	HSP90	Protein stability and degradation	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Protein stability and degradation; target: HSP90	manuscript
Entinostat	ENTINOSTAT	1593	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	SIGNALING	Signaling	HDAC1, HDAC3	Chromatin histone acetylation	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Chromatin histone acetylation; target: "HDAC1, HDAC3"	manuscript
Entospletinib	ENTOSPLETINIB	1630	SIGNALING	Signaling	SIGNALING	SIGNALING	SYK	Other, kinases	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: "Other, kinases"; target: SYK	manuscript
Epirubicin	EPIRUBICIN	1511	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	CYTOTOXIC	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Anthracyclines; Antibiotics, Antineoplastic; Topoisomerase II Inhibitors	Anthracycline	DNA replication	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: DNA replication; target: Anthracycline	manuscript
EPZ004777	EPZ004777	1237	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	DOT1L	Chromatin histone methylation	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Chromatin histone methylation; target: DOT1L	manuscript
EPZ5676	EPZ5676	1563	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	DOT1L	Chromatin histone methylation	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Chromatin histone methylation; target: DOT1L	manuscript
ERK_2440	ERK_2440	1713	SIGNALING	Signaling	SIGNALING	SIGNALING	ERK1,ERK2	ERK MAPK signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: ERK MAPK signaling; target: "ERK1,ERK2"	manuscript
ERK_6604	ERK_6604	1714	SIGNALING	Signaling			ERK1,ERK2	ERK MAPK signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: ERK MAPK signaling; target: "ERK1,ERK2"	manuscript
Erlotinib	ERLOTINIB	1168	SIGNALING	Signaling	SIGNALING	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors;; Targeted therapies	EGFR	EGFR signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: EGFR signaling; target: EGFR	manuscript
Fludarabine	FLUDARABINE	1813	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	CYTOTOXIC	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Cytotoxic medicines	Antimetabolite	DNA replication	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: DNA replication; target: Antimetabolite	manuscript
Foretinib	FORETINIB	2040	SIGNALING	Signaling	SIGNALING	Signaling	MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR	RTK signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: RTK signaling; target: "MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR"	manuscript
Fulvestrant	FULVESTRANT	1200;1816	HORMONE_RELATED	Hormone related	ESTROGEN RECEPTOR ANTAGONISTS	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents, Hormonal; Estrogen Receptor Antagonists	ESR	Hormone-related	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Hormone-related; target: ESR	manuscript
Gallibiscoquinazole	GALLIBISCOQUINAZOLE	1830	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
GDC0810	GDC0810	1925	HORMONE_RELATED	Hormone related	HORMONES AND ANTIHORMONES	HORMONES AND ANTIHORMONES	ESR1, ESR2	Hormone-related	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Hormone-related; target: "ESR1, ESR2"	manuscript
Gefitinib	GEFITINIB	1010	SIGNALING	Signaling	SIGNALING	Signaling	EGFR	EGFR signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: EGFR signaling; target: EGFR	manuscript
Gemcitabine	GEMCITABINE	1190	METABOLISM	Metabolism	CYTOTOXIC	Breast Feeding; Lactation; Milk, Human; Antimetabolites; Antineoplastic Agents; Enzyme Inhibitors; Immunosuppressive Agents; Cytotoxic medicines	Pyrimidine antimetabolite	DNA replication	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: DNA replication; target: Pyrimidine antimetabolite	manuscript
glutathione	GLUTATHIONE	2439	METABOLISM	Metabolism	METABOLICINHIBITOR	MetabolicInhibitor	anti-oxidant proteins	Other	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Other; target: anti-oxidant proteins	manuscript
GNE-317	GNE-317	1926	SIGNALING	Signaling	SIGNALING	SIGNALING	PI3Kalpha	PI3K/MTOR signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: PI3K/MTOR signaling; target: PI3Kalpha	manuscript
