drug	drug_key	pubchem_category	legacy_group_used_for_enrichment	custom_set_candidate_category	would_manual_override_change_legacy_group	would_manual_override_change_pubchem_group	all_pubchem_categories	parsed_pubchem_category_tokens	annotation_source	annotation_status	multi_category_flag	notes
Paclitaxel	PACLITAXEL	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	FALSE	FALSE	CYTOTOXIC	CYTOTOXIC	baseline_coxIn_RData	cached	FALSE	
PAK_5339	PAK_5339				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Palbociclib	PALBOCICLIB	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors	SIGNALING		FALSE	FALSE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors	baseline_coxIn_RData	cached	TRUE	
PBD-288	PBD-288	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	FALSE	FALSE	CYTOTOXIC	CYTOTOXIC	baseline_coxIn_RData	cached	FALSE	
PCI-34051	PCI-34051				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
PD0325901	PD0325901	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; MEK inhibitors	MEK INHIBITORS	SIGNALING	TRUE	TRUE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; MEK inhibitors	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;MEK inhibitors	baseline_coxIn_RData	cached	TRUE	
PD173074	PD173074	Signaling	SIGNALING		FALSE	FALSE	Signaling	Signaling	baseline_coxIn_RData	cached	FALSE	
Pevonedistat	PEVONEDISTAT				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
PF-4708671	PF-4708671	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
PFI-1	PFI-1	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	FALSE	FALSE	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	FALSE	
PFI3	PFI3	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	FALSE	FALSE	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	FALSE	
Picolinici-acid	PICOLINICI-ACID				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
