cancer_type	direction	metric	drug	correlation_value	group	category_id
allcancers	low_ploidy_sensitive	Z_SCORE	PD0325901	0.0680810746196738	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	ALPHA-LIPOIC ACID	0.068102806630744	Metabolism	METABOLISM
allcancers	low_ploidy_sensitive	Z_SCORE	AMG-319	0.0681329804720324	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	CZC24832	0.0692154944745424	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	HKMTI-1-005	0.0695116285979532	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	LEFLUNOMIDE	0.0699632026527215	Metabolism	METABOLISM
allcancers	low_ploidy_sensitive	Z_SCORE	GSK2110183B	0.0701091260511417	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	RUXOLITINIB	0.0703548694818112	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	GALLIBISCOQUINAZOLE	0.0703663973004819	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	LGK974	0.0704314233278488	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	SABUTOCLAX	0.0722330349042558	Apoptosis regulation	APOPTOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	BOSUTINIB	0.0722682836642991	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	PFI3	0.0726257469688407	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	SAVOLITINIB	0.0730808845491633	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	UNC0638	0.0731963974399517	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	SINULARIN	0.0733621588474751	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	SGC-CBP30	0.0743521667735908	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	VTP-A	0.0755775512264103	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	DABRAFENIB	0.0756353631509404	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	AZD1208	0.0757236560527426	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	AGI-5198	0.0761611636443705	Metabolism	METABOLISM
allcancers	low_ploidy_sensitive	Z_SCORE	ZM447439	0.0763603040880755	Cell cycle and mitosis	CELL_CYCLE_MITOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	THR-101	0.0764211975778203	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	TEMOZOLOMIDE	0.0765806203005959	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	SCHWEINFURTHIN A	0.0766268521584343	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	THR-102	0.0778428974073808	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	GLUTATHIONE	0.0780212986850025	Metabolism	METABOLISM
allcancers	low_ploidy_sensitive	Z_SCORE	TELOMERASE INHIBITOR IX	0.0780881750844388	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	AZD7762	0.078587448974246	Cell cycle and mitosis	CELL_CYCLE_MITOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	MK-8776	0.0787416088261391	Cell cycle and mitosis	CELL_CYCLE_MITOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	PEVONEDISTAT	0.0788927757814446	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	GSK3337463A	0.0793891115474427	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	CRIZOTINIB	0.0795848233123728	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	N29087-69-1	0.0797127967918635	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	123138	0.0800883536581035	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	SB216763	0.0801142055521178	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	XAV939	0.0801569586944754	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	LJI308	0.0803317869322699	Signaling	SIGNALING
