sample_id	pseudotime_bin	sample_bin_id	cell_count	bin_start	bin_end	bin_midpoint	dose	dose_mg	initial_ploidy	n_cells	mean_pseudotime	retained_for_model	exclusion_reason	library_size
2N-A2-0	17	2N-A2-0__bin17	7	0.8	0.85	0.825	30mg/kg	30	2N	95	0.467133313417435	TRUE	NA	746330
2N-A2-0	18	2N-A2-0__bin18	6	0.85	0.9	0.875	30mg/kg	30	2N	95	0.467133313417435	TRUE	NA	641745
2N-A2-0	19	2N-A2-0__bin19	1	0.9	0.95	0.925	30mg/kg	30	2N	95	0.467133313417435	FALSE	cell_count<5	101089
2N-A2-0	20	2N-A2-0__bin20	0	0.95	1	0.975	30mg/kg	30	2N	95	0.467133313417435	FALSE	cell_count<5	0
2N-A2-L	1	2N-A2-L__bin01	1	0	0.05	0.025	30mg/kg	30	2N	211	0.47728045480723	FALSE	cell_count<5	3797
2N-A2-L	2	2N-A2-L__bin02	20	0.05	0.1	0.075	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	1045627
2N-A2-L	3	2N-A2-L__bin03	16	0.1	0.15	0.125	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	371725
2N-A2-L	4	2N-A2-L__bin04	6	0.15	0.2	0.175	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	77087
2N-A2-L	5	2N-A2-L__bin05	10	0.2	0.25	0.225	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	553127
2N-A2-L	6	2N-A2-L__bin06	15	0.25	0.3	0.275	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	476698
2N-A2-L	7	2N-A2-L__bin07	6	0.3	0.35	0.325	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	102834
2N-A2-L	8	2N-A2-L__bin08	5	0.35	0.4	0.375	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	207645
2N-A2-L	9	2N-A2-L__bin09	13	0.4	0.45	0.425	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	139905
2N-A2-L	10	2N-A2-L__bin10	11	0.45	0.5	0.475	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	235650
2N-A2-L	11	2N-A2-L__bin11	21	0.5	0.55	0.525	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	521673
2N-A2-L	12	2N-A2-L__bin12	13	0.55	0.6	0.575	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	509665
2N-A2-L	13	2N-A2-L__bin13	5	0.6	0.65	0.625	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	146894
2N-A2-L	14	2N-A2-L__bin14	16	0.65	0.7	0.675	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	763078
2N-A2-L	15	2N-A2-L__bin15	8	0.7	0.75	0.725	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	546606
2N-A2-L	16	2N-A2-L__bin16	14	0.75	0.8	0.775	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	431643
2N-A2-L	17	2N-A2-L__bin17	16	0.8	0.85	0.825	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	350299
2N-A2-L	18	2N-A2-L__bin18	11	0.85	0.9	0.875	30mg/kg	30	2N	211	0.47728045480723	TRUE	NA	341793
2N-A2-L	19	2N-A2-L__bin19	4	0.9	0.95	0.925	30mg/kg	30	2N	211	0.47728045480723	FALSE	cell_count<5	60701
2N-A2-L	20	2N-A2-L__bin20	0	0.95	1	0.975	30mg/kg	30	2N	211	0.47728045480723	FALSE	cell_count<5	0
2N-A4-R	1	2N-A4-R__bin01	2	0	0.05	0.025	120mg/kg	120	2N	140	0.467617943483804	FALSE	cell_count<5	2853
2N-A4-R	2	2N-A4-R__bin02	12	0.05	0.1	0.075	120mg/kg	120	2N	140	0.467617943483804	TRUE	NA	71454
2N-A4-R	3	2N-A4-R__bin03	5	0.1	0.15	0.125	120mg/kg	120	2N	140	0.467617943483804	TRUE	NA	63231
2N-A4-R	4	2N-A4-R__bin04	6	0.15	0.2	0.175	120mg/kg	120	2N	140	0.467617943483804	TRUE	NA	40733
2N-A4-R	5	2N-A4-R__bin05	11	0.2	0.25	0.225	120mg/kg	120	2N	140	0.467617943483804	TRUE	NA	55503
2N-A4-R	6	2N-A4-R__bin06	10	0.25	0.3	0.275	120mg/kg	120	2N	140	0.467617943483804	TRUE	NA	135365
2N-A4-R	7	2N-A4-R__bin07	8	0.3	0.35	0.325	120mg/kg	120	2N	140	0.467617943483804	TRUE	NA	12311
2N-A4-R	8	2N-A4-R__bin08	6	0.35	0.4	0.375	120mg/kg	120	2N	140	0.467617943483804	TRUE	NA	46083
2N-A4-R	9	2N-A4-R__bin09	11	0.4	0.45	0.425	120mg/kg	120	2N	140	0.467617943483804	TRUE	NA	72417
2N-A4-R	10	2N-A4-R__bin10	7	0.45	0.5	0.475	120mg/kg	120	2N	140	0.467617943483804	TRUE	NA	22773
2N-A4-R	11	2N-A4-R__bin11	11	0.5	0.55	0.525	120mg/kg	120	2N	140	0.467617943483804	TRUE	NA	33670
2N-A4-R	12	2N-A4-R__bin12	5	0.55	0.6	0.575	120mg/kg	120	2N	140	0.467617943483804	TRUE	NA	13958
2N-A4-R	13	2N-A4-R__bin13	4	0.6	0.65	0.625	120mg/kg	120	2N	140	0.467617943483804	FALSE	cell_count<5	40542
2N-A4-R	14	2N-A4-R__bin14	7	0.65	0.7	0.675	120mg/kg	120	2N	140	0.467617943483804	TRUE	NA	35577
2N-A4-R	15	2N-A4-R__bin15	5	0.7	0.75	0.725	120mg/kg	120	2N	140	0.467617943483804	TRUE	NA	24235
2N-A4-R	16	2N-A4-R__bin16	7	0.75	0.8	0.775	120mg/kg	120	2N	140	0.467617943483804	TRUE	NA	33662
2N-A4-R	17	2N-A4-R__bin17	8	0.8	0.85	0.825	120mg/kg	120	2N	140	0.467617943483804	TRUE	NA	29286
2N-A4-R	18	2N-A4-R__bin18	11	0.85	0.9	0.875	120mg/kg	120	2N	140	0.467617943483804	TRUE	NA	56366
2N-A4-R	19	2N-A4-R__bin19	4	0.9	0.95	0.925	120mg/kg	120	2N	140	0.467617943483804	FALSE	cell_count<5	46584
2N-A4-R	20	2N-A4-R__bin20	0	0.95	1	0.975	120mg/kg	120	2N	140	0.467617943483804	FALSE	cell_count<5	0
2N-A4-RL	1	2N-A4-RL__bin01	17	0	0.05	0.025	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	1171148
2N-A4-RL	2	2N-A4-RL__bin02	22	0.05	0.1	0.075	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	1278172
2N-A4-RL	3	2N-A4-RL__bin03	9	0.1	0.15	0.125	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	474478
2N-A4-RL	4	2N-A4-RL__bin04	8	0.15	0.2	0.175	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	530409
2N-A4-RL	5	2N-A4-RL__bin05	19	0.2	0.25	0.225	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	897780
2N-A4-RL	6	2N-A4-RL__bin06	12	0.25	0.3	0.275	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	487004
2N-A4-RL	7	2N-A4-RL__bin07	7	0.3	0.35	0.325	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	343047
2N-A4-RL	8	2N-A4-RL__bin08	14	0.35	0.4	0.375	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	615046
2N-A4-RL	9	2N-A4-RL__bin09	14	0.4	0.45	0.425	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	607108
2N-A4-RL	10	2N-A4-RL__bin10	21	0.45	0.5	0.475	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	982056
2N-A4-RL	11	2N-A4-RL__bin11	19	0.5	0.55	0.525	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	1069401
2N-A4-RL	12	2N-A4-RL__bin12	20	0.55	0.6	0.575	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	1076474
2N-A4-RL	13	2N-A4-RL__bin13	17	0.6	0.65	0.625	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	1044248
2N-A4-RL	14	2N-A4-RL__bin14	20	0.65	0.7	0.675	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	1292463
