"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster","gene_key","lfc_value","p_val_adj_num","delta_pct","abs_logfc","abs_delta_pct"
1.2571005874108e-136,1.69979130337235,0.974,0.9,9.08908866709757e-132,"GRCh38-RNMT","RNMT",13,"RNMT",1.69979130337235,9.08908866709757e-132,0.074,1.69979130337235,0.074
2.19003911894043e-102,1.69912308309642,0.929,0.807,1.58344208377631e-97,"GRCh38-ABL2","ABL2",13,"ABL2",1.69912308309642,1.58344208377631e-97,0.122,1.69912308309642,0.122
6.14004663183679e-133,1.69467229104329,0.501,0.165,4.43937651575064e-128,"GRCh38-IL1A","IL1A",13,"IL1A",1.69467229104329,4.43937651575064e-128,0.336,1.69467229104329,0.336
1.56107562347929e-234,1.68999430670579,0.388,0.07,1.128688897288e-229,"GRCh38-CLDN14","CLDN14",13,"CLDN14",1.68999430670579,1.128688897288e-229,0.318,1.68999430670579,0.318
1.41129646138225e-114,1.67819240847473,0.97,0.91,1.02039556750859e-109,"GRCh38-NAMPT","NAMPT",13,"NAMPT",1.67819240847473,1.02039556750859e-109,0.0599999999999999,1.67819240847473,0.0599999999999999
4.4796727666963e-173,1.66990566118399,0.815,0.473,3.23889300377676e-168,"GRCh38-PDK1","PDK1",13,"PDK1",1.66990566118399,3.23889300377676e-168,0.342,1.66990566118399,0.342
1.03622896414654e-56,1.66908793288172,0.811,0.679,7.49214265657229e-52,"GRCh38-KRT17","KRT17",13,"KRT17",1.66908793288172,7.49214265657229e-52,0.132,1.66908793288172,0.132
1.42707186218869e-188,1.66644527833506,0.645,0.231,1.03180149779967e-183,"GRCh38-SIK1","SIK1",13,"SIK1",1.66644527833506,1.03180149779967e-183,0.414,1.66644527833506,0.414
2.37617611964135e-139,1.66093295080299,0.884,0.659,1.71802285802309e-134,"GRCh38-ITGA5","ITGA5",13,"ITGA5",1.66093295080299,1.71802285802309e-134,0.225,1.66093295080299,0.225
3.3482467114499e-103,1.65903735072878,0.564,0.256,2.42084933731251e-98,"GRCh38-LINC01411","LINC01411",13,"LINC01411",1.65903735072878,2.42084933731251e-98,0.308,1.65903735072878,0.308
9.83526220740244e-136,1.6417269424157,0.761,0.437,7.11109128119611e-131,"GRCh38-CCNG2","CCNG2",13,"CCNG2",1.6417269424157,7.11109128119611e-131,0.324,1.6417269424157,0.324
3.84359478372411e-109,1.63537140930976,0.983,0.923,2.77899590052821e-104,"GRCh38-CDCP1","CDCP1",13,"CDCP1",1.63537140930976,2.77899590052821e-104,0.0599999999999999,1.63537140930976,0.0599999999999999
1.52277893244808e-140,1.63190689438939,0.636,0.257,1.10099962373861e-135,"GRCh38-NT5E","NT5E",13,"NT5E",1.63190689438939,1.10099962373861e-135,0.379,1.63190689438939,0.379
2.35866470901367e-84,1.62540325151608,0.95,0.884,1.70536175791106e-79,"GRCh38-DDIT4","DDIT4",13,"DDIT4",1.62540325151608,1.70536175791106e-79,0.0659999999999999,1.62540325151608,0.0659999999999999
1.66332880917334e-121,1.62507141138503,0.99,0.925,1.20261999560851e-116,"GRCh38-SDCBP","SDCBP",13,"SDCBP",1.62507141138503,1.20261999560851e-116,0.0649999999999999,1.62507141138503,0.0649999999999999
1.5065773932167e-177,1.6226910233383,0.622,0.22,1.08928558684354e-172,"GRCh38-HDAC9","HDAC9",13,"HDAC9",1.6226910233383,1.08928558684354e-172,0.402,1.6226910233383,0.402
3.17201590311542e-92,1.62147468036358,0.899,0.766,2.29343093827051e-87,"GRCh38-EGLN3","EGLN3",13,"EGLN3",1.62147468036358,2.29343093827051e-87,0.133,1.62147468036358,0.133
2.48687857563043e-128,1.61785045832554,0.805,0.519,1.79806294775232e-123,"GRCh38-KDM3A","KDM3A",13,"KDM3A",1.61785045832554,1.79806294775232e-123,0.286,1.61785045832554,0.286
2.32721957350082e-97,1.61012267254701,0.678,0.381,1.68262629603256e-92,"GRCh38-TMEM158","TMEM158",13,"TMEM158",1.61012267254701,1.68262629603256e-92,0.297,1.61012267254701,0.297
2.73303760485671e-174,1.60058559124175,0.43,0.104,1.9760408490635e-169,"GRCh38-INHBA","INHBA",13,"INHBA",1.60058559124175,1.9760408490635e-169,0.326,1.60058559124175,0.326
3.80798433014241e-166,1.59984363257976,0.679,0.28,2.75324883037957e-161,"GRCh38-ANKRD37","ANKRD37",13,"ANKRD37",1.59984363257976,2.75324883037957e-161,0.399,1.59984363257976,0.399
9.12556139956369e-122,1.59843868646277,0.916,0.782,6.59796340311254e-117,"GRCh38-ARL8B","ARL8B",13,"ARL8B",1.59843868646277,6.59796340311254e-117,0.134,1.59843868646277,0.134
3.988533992792e-175,1.59648854833732,0.839,0.498,2.88378984746847e-170,"GRCh38-RAB8B","RAB8B",13,"RAB8B",1.59648854833732,2.88378984746847e-170,0.341,1.59648854833732,0.341
6.54420392783458e-97,1.5901562414537,0.957,0.871,4.73159032390295e-92,"GRCh38-FAM13A","FAM13A",13,"FAM13A",1.5901562414537,4.73159032390295e-92,0.086,1.5901562414537,0.086
2.54181514145808e-120,1.58890019840657,0.945,0.866,1.83778318357702e-115,"GRCh38-C4orf3","C4orf3",13,"C4ORF3",1.58890019840657,1.83778318357702e-115,0.079,1.58890019840657,0.079
2.87725486196153e-85,1.58373177569624,0.827,0.599,2.08031281029542e-80,"GRCh38-F3","F3",13,"F3",1.58373177569624,2.08031281029542e-80,0.228,1.58373177569624,0.228
