"pathway","hallmark_label","set_size","query_size","overlap","p_value","overlap_genes","p_adj","expression_score_raw","detection_score_raw","overlap_score_raw","expression_score_scaled","detection_score_scaled","overlap_score_scaled","annotation_score","annotation_rank","cluster"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","Epithelial Mesenchymal Transition",170,100,14,3.27369478022971e-11,"CXCL1;CXCL8;ENO2;IL6;INHBA;ITGA5;LOX;MMP1;MMP3;NT5E;PLOD2;PTHLH;SLC6A8;VEGFA",1.88237449863208e-10,2.17534997751015,0.647214285714286,0.111176470588235,0.794057450579168,0.456122764862833,0.373035358235834,0.541071857892612,5,"13"
"HALLMARK_HEME_METABOLISM","Heme Metabolism",154,100,7,0.000162727719495064,"BNIP3L;KDM7A;MXI1;SDCBP;SLC2A1;SLC6A8;TNS1",0.000374273754838647,2.05863391686611,0.872,0.0577272727272727,0.538058508687006,0.920028892787122,0.114729027055585,0.524272142843238,6,"13"
"HALLMARK_MYOGENESIS","Myogenesis",116,100,4,0.011510772592761,"BHLHE40;CDH13;SLC6A8;STC2",0.0176498513089002,2.05061893179351,0.88525,0.0372413793103448,0.520478856953177,0.947373852027655,0.0157259328792907,0.494526213953374,7,"13"
"HALLMARK_INFLAMMATORY_RESPONSE","Inflammatory Response",128,100,11,3.0510462676574e-09,"ADM;CCL20;CSF3;CXCL8;F3;IL1A;IL1B;IL6;INHBA;ITGA5;NAMPT",1.16956773593534e-08,2.11625743722446,0.626636363636364,0.09796875,0.66444694364995,0.413654656147691,0.309205815699469,0.462435805165703,8,"13"
"HALLMARK_UV_RESPONSE_UP","Uv Response Up",131,100,4,0.0172978967156753,"BMP2;ENO2;IL6;SLC6A8",0.0234030367329724,2.16971384531925,0.69425,0.0352671755725191,0.781695451131327,0.553193684862243,0.00618511009937481,0.447024748697648,9,"13"
"HALLMARK_IL2_STAT5_SIGNALING","Il2 Stat5 Signaling",141,100,9,1.14014739810883e-06,"BHLHE40;BMP2;CDCP1;CSF2;HK2;NDRG1;NT5E;P4HA1;SLC2A3",3.27792376956287e-06,2.00320378192757,0.745555555555556,0.0769148936170213,0.416480931317586,0.659076577351265,0.207457901472021,0.427671803380291,10,"13"
"HALLMARK_P53_PATHWAY","P53 Pathway",172,100,7,0.000320614482352749,"BMP2;CDH13;DDIT4;FAM162A;IL1A;KRT17;NDRG1",0.000670375735828476,2.00785065763847,0.766142857142857,0.0553488372093023,0.426673147012064,0.701564043221251,0.103234655256145,0.410490615163153,11,"13"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","Tnfa Signaling via Nfkb",180,100,16,3.46378457369486e-13,"BHLHE40;BMP2;CCL20;CSF2;CXCL1;CXCL3;F3;IL1A;IL1B;IL6;INHBA;NAMPT;PTGS2;SIK1;SLC2A3;VEGFA",2.65556817316606e-12,1.97485855688013,0.6091875,0.124444444444444,0.354309987749076,0.377644205964297,0.437156089437601,0.389703427716991,12,"13"
"HALLMARK_COAGULATION","Coagulation",79,100,3,0.0218560495691821,"F3;MMP1;MMP3",0.0264573231626941,2.26924412765674,0.476333333333333,0.0339873417721519,1,0.103463694837134,0,0.367821231612378,13,"13"
"HALLMARK_KRAS_SIGNALING_UP","Kras Signaling Up",134,100,11,4.96545322344465e-09,"ANGPTL4;BMP2;CCL20;CSF2;ERO1A;HDAC9;IL1B;IL33;INHBA;PTGS2;TMEM158",1.63150605913181e-08,2.06599376466912,0.539454545454545,0.096044776119403,0.554201216380036,0.233731390887515,0.299907740999145,0.362613449422232,14,"13"
"HALLMARK_UV_RESPONSE_DN","Uv Response Dn",130,100,4,0.0168650422544255,"BHLHE40;CITED2;F3;RND3",0.0234030367329724,1.81332013132551,0.88575,0.0353846153846154,0,0.948405737282014,0.00675266673653906,0.318386134672851,15,"13"
"HALLMARK_APOPTOSIS","Apoptosis",129,100,6,0.000429297199040101,"BMP2;BNIP3L;ENO2;IL1A;IL1B;IL6",0.000822819631493527,2.00936903428998,0.629833333333333,0.0532558139534884,0.430003475452174,0.420252467925567,0.0931196080726379,0.314458517150126,16,"13"
"HALLMARK_COMPLEMENT","Complement",139,100,4,0.0210116320127904,"CDH13;CXCL1;F3;IL6",0.0264573231626941,1.85878925707528,0.68125,0.0343884892086331,0.0997296174705875,0.526364668248891,0.00193864317382951,0.209344309631103,17,"13"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","Il6 Jak Stat3 Signaling",59,100,5,8.05155543640223e-05,"CSF2;CXCL1;CXCL3;IL1B;IL6",0.000205761972263612,1.99281903931362,0.4262,0.0673728813559322,0.393703576544601,0,0.161343791665351,0.185015789403317,18,"13"
"HALLMARK_ALLOGRAFT_REJECTION","Allograft Rejection",105,100,4,0.00818144847540424,"HDAC9;IL1B;IL6;INHBA",0.0138886400892471,1.88884816026994,0.53125,0.0390476190476191,0.165659253630421,0.216799091940976,0.0244550285147566,0.135637791362051,19,"13"
"HALLMARK_TGF_BETA_SIGNALING","Tgf Beta Signaling",52,100,4,0.000627924242137548,"ID1;ID2;ID3;SMAD6",0.00376754545282529,2.07325779258497,0.91775,0.0584615384615385,1,0.867906852248394,1,0.955968950749465,1,"14"
"HALLMARK_UV_RESPONSE_DN","Uv Response Dn",130,100,4,0.0168650422544255,"CAP2;CDON;ID1;IGFBP5",0.033730084508851,1.88346655762564,0.8985,0.0353846153846154,0.701263047011496,0.713329764453961,0.132694494071788,0.515762435179082,2,"14"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","Epithelial Mesenchymal Transition",170,100,5,0.00929693273300262,"CAP2;EDIL3;ID2;MGP;VCAN",0.0278907981990079,1.46085259391632,0.9342,0.0397058823529412,0.0360563116426662,1,0.295101701554424,0.443719337732363,3,"14"
"HALLMARK_ANDROGEN_RESPONSE","Androgen Response",89,100,3,0.0297479332394743,"ABCC4;AKAP12;HPGD",0.0446218998592115,1.43794557874367,0.809666666666667,0.0318539325842697,0,0,0,0,4,"14"
