sample_id,bin_id,sample_bin_id,cell_count,bin_start,bin_end,bin_midpoint,dose,dose_mg,initial_ploidy,n_cells,mean_pseudotime,n_endpoint_ploidy_cells,sample_mean_endpoint_ploidy,sample_median_endpoint_ploidy,sample_max_endpoint_ploidy,sample_mean_endpoint_ploidy_scaled,ETP_fixed_threshold_2_25_group,ETP_boundary_stress_threshold_2_375_group,ETP_reference_balanced_threshold_2_24_group,retained_for_model,exclusion_reason,library_size
2N-A1-R,5,2N-A1-R__bin05,5,0.2,0.25,0.225,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,TRUE,,257351
2N-A1-R,6,2N-A1-R__bin06,3,0.25,0.30000000000000004,0.275,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,53445
2N-A1-R,7,2N-A1-R__bin07,3,0.30000000000000004,0.35000000000000003,0.32500000000000007,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,200992
2N-A1-R,8,2N-A1-R__bin08,2,0.35000000000000003,0.4,0.375,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,49681
2N-A1-R,9,2N-A1-R__bin09,3,0.4,0.45,0.42500000000000004,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,170491
2N-A1-R,10,2N-A1-R__bin10,5,0.45,0.5,0.475,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,TRUE,,167710
2N-A1-R,11,2N-A1-R__bin11,10,0.5,0.55,0.525,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,TRUE,,365120
2N-A1-R,12,2N-A1-R__bin12,3,0.55,0.6000000000000001,0.5750000000000001,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,125085
2N-A1-R,13,2N-A1-R__bin13,5,0.6000000000000001,0.65,0.625,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,TRUE,,386113
2N-A1-R,14,2N-A1-R__bin14,3,0.65,0.7000000000000001,0.675,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,204277
2N-A1-R,15,2N-A1-R__bin15,6,0.7000000000000001,0.75,0.7250000000000001,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,TRUE,,543779
2N-A1-R,16,2N-A1-R__bin16,4,0.75,0.8,0.775,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,189843
2N-A1-R,17,2N-A1-R__bin17,6,0.8,0.8500000000000001,0.8250000000000001,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,TRUE,,450453
2N-A1-R,18,2N-A1-R__bin18,10,0.8500000000000001,0.9,0.875,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,TRUE,,785666
2N-A1-R,19,2N-A1-R__bin19,1,0.9,0.9500000000000001,0.925,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,199304
2N-A1-R,20,2N-A1-R__bin20,0,0.9500000000000001,1,0.9750000000000001,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,0
